,,,Week-By-Week Targets,,,,,,,,,,,,,,,,,,,,Averages,,,Receiving Totals,,,
49,Dorian Singer,Ari,0,8,8,7,11,11,7,7,0,13,5,6,13,6,0,0,0,0,0,0,8.5,10.8,22.4,102,66,1105,6
50,Lajohntay Wester,FlaAtl,6,7,11,7,14,15,0,7,8,5,0,6,11,5,0,0,0,0,0,0,8.5,7.0,27.8,102,62,719,8
51,Smoke Harris,LaTech,0,9,5,7,8,0,5,12,12,12,5,8,9,9,0,0,0,0,0,0,8.4,6.3,24.1,101,66,640,5
52,Malik Washington,NW,11,0,12,7,11,10,7,0,7,5,7,10,5,9,0,0,0,0,0,0,8.4,6.9,24.6,101,65,694,1
53,Javon Baker,UCF,0,9,12,10,2,0,10,1,1,9,5,10,13,4,9,0,0,0,6,0,7.2,7.9,23.0,101,56,796,5
54,Elijhah Badger,AriSt,0,4,8,8,9,2,9,0,9,11,13,10,7,10,0,0,0,0,0,0,8.3,8.7,24.4,100,70,866,7
55,Jalen Wayne,USA,0,6,15,10,3,9,0,8,12,4,7,7,6,9,0,0,0,4,0,0,7.7,8.2,22.8,100,58,815,9
56,Sam Wiglusz,Ohio,0,6,6,5,11,7,7,12,7,0,9,6,9,3,5,0,0,0,6,0,7.1,8.9,21.6,99,73,877,11
57,Malik Nabers,LSU,0,5,4,7,9,6,8,6,5,0,7,5,8,9,8,0,0,0,12,0,7.1,10.3,21.0,99,72,1017,3
58,Jaylin Lane,MiddTn,0,0,4,4,5,16,14,10,0,8,4,0,9,8,0,0,0,17,0,0,9.0,9.5,19.9,99,69,940,5
59,Tre Harris,LaTech,0,11,7,8,8,0,8,8,14,3,10,8,6,8,0,0,0,0,0,0,8.3,9.6,23.6,99,66,954,10
60,Ronnie Bell,Mich,0,2,7,8,4,3,15,6,0,8,6,8,8,7,8,0,0,0,9,0,7.1,9.0,27.0,99,62,889,4
61,Devontez Walker,KentSt,0,7,2,4,9,8,16,7,9,0,3,7,14,13,0,0,0,0,0,0,8.3,9.3,29.6,99,58,921,11
62,JuanCarlos Santana,Tulsa,0,14,7,4,9,12,9,0,5,9,4,6,7,12,0,0,0,0,0,0,8.2,8.8,24.0,98,53,859,7
63,Reynaldo Flores,UTEP,10,10,9,11,3,4,16,0,11,8,7,0,5,4,0,0,0,0,0,0,8.2,5.4,26.1,98,49,534,1
64,Nikko Remigio,Fres,0,11,6,3,0,4,2,6,8,14,6,7,8,6,8,0,8,0,0,0,6.9,8.8,20.6,97,74,852,6
65,Kris Thornton,JMU,0,17,9,0,3,6,12,13,10,0,5,8,5,9,0,0,0,0,0,0,8.8,10.5,31.0,97,59,1015,7
66,Quentin Johnston,TCU,0,6,3,0,7,5,17,14,8,7,0,6,7,0,7,0,0,0,9,0,6.9,11.1,22.4,96,60,1069,6
67,Odieu Hiliare,BGSU,0,4,12,10,5,6,5,5,4,0,10,8,11,6,0,0,0,10,0,0,7.4,7.8,22.2,96,58,747,6
68,Devaughn Vele,Utah,0,6,4,4,9,8,8,10,0,5,10,9,8,1,1,0,0,0,12,0,6.8,7.3,21.2,95,55,695,5
69,Xavier Weaver,USF,0,8,14,13,0,7,12,8,0,11,11,11,0,0,0,0,0,0,0,0,10.6,7.6,30.0,95,53,718,6
70,C.J. Johnson,ECU,0,7,2,5,6,7,5,5,13,6,0,11,6,10,0,0,0,0,11,0,7.2,10.8,19.6,94,67,1016,10
71,Daewood Davis,WestKy,7,9,0,9,7,16,8,5,5,11,4,6,7,0,0,0,0,0,0,0,7.2,9.3,15.3,94,63,872,7
72,B.J. Casteel,Nevada,3,3,10,3,4,0,12,10,8,9,0,12,13,7,0,0,0,0,0,0,7.8,6.2,23.7,94,48,581,4
73,Antwane Wells,SCar,0,8,10,2,5,7,3,0,5,8,7,4,14,11,0,0,0,0,9,0,7.2,10.0,22.6,93,68,928,6
74,Devin Voisin,USA,0,3,6,9,4,6,0,10,11,3,4,11,9,3,0,0,0,14,0,0,7.2,9.4,21.2,93,64,871,5
75,Jalon Calhoun,Duke,0,8,10,1,8,6,0,10,2,0,10,10,10,11,0,0,0,0,7,0,7.2,9.4,23.6,93,62,873,4
76,Keon Coleman,MSU,0,9,8,13,7,8,1,8,0,8,3,7,9,12,0,0,0,0,0,0,7.8,8.6,22.9,93,58,798,7
77,Jeremiah Hunter,Cal,0,10,6,9,7,8,0,7,0,7,11,7,9,11,0,0,0,0,0,0,8.4,10.5,19.9,92,60,965,5
78,Jordan Moore,Duke,0,6,3,5,9,5,10,4,6,0,3,3,20,13,0,0,0,0,5,0,7.1,7.1,23.4,92,60,656,5
79,Konata Mumpfield,Pitt,0,8,13,3,7,10,0,0,5,5,6,8,8,6,0,0,0,0,13,0,7.7,6.0,24.4,92,58,551,1
80,Jonathan Mingo,Miss,0,5,4,5,5,6,10,4,8,5,0,10,11,10,0,0,0,0,9,0,7.1,9.4,23.9,92,51,861,5
81,Brennan Presley,OkSt,0,8,6,3,0,10,6,5,9,2,8,4,13,7,0,0,0,0,10,0,7.0,8.9,17.5,91,67,813,2
82,Jalin Hyatt,Tenn,0,4,13,5,6,0,9,8,7,6,8,10,10,5,0,0,0,0,0,0,7.6,13.9,21.7,91,67,1267,15
83,Caullin Lacy,USA,0,7,7,5,3,7,0,13,10,7,4,5,2,6,0,0,0,15,0,0,7.0,9.0,20.8,91,65,816,6
84,Alex Adams,Akron,0,3,0,6,7,7,8,4,10,14,0,13,0,9,10,0,0,0,0,0,8.3,9.4,18.4,91,63,855,9
85,Jamari Thrash,GaSt,0,9,6,14,2,6,8,0,5,8,6,10,6,11,0,0,0,0,0,0,7.6,12.3,31.5,91,61,1122,7
86,Marvin Mims,Okla,0,4,7,6,9,10,4,16,0,6,5,8,6,7,0,0,0,0,3,0,7.0,11.9,22.5,91,54,1083,6
87,Elijah Spencer,CHAR,6,8,7,8,9,9,0,5,9,7,7,9,6,0,0,0,0,0,0,0,7.5,10.5,21.7,90,57,943,9
88,Thayer Thomas,NCSU,0,5,3,4,9,15,3,5,0,13,10,6,6,2,0,0,0,0,9,0,6.9,7.1,19.5,90,57,642,4
89,Jayden Reed,MSU,0,3,7,0,6,13,7,9,0,5,9,10,10,11,0,0,0,0,0,0,8.2,7.1,22.2,90,55,636,5
90,Troy Franklin,Oregon,0,3,10,5,6,8,4,0,9,6,2,7,7,15,0,0,0,0,7,0,6.8,10.0,20.9,89,61,891,9
91,Ali Jennings,ODU,0,11,13,9,8,12,0,6,15,7,8,0,0,0,0,0,0,0,0,0,9.9,10.8,21.6,89,54,959,9
92,Jerjuan Newton,Toledo,0,7,8,6,1,4,5,6,8,6,0,13,9,4,7,0,0,5,0,0,6.4,9.3,20.5,89,53,830,9
93,Bradley Rozner,Rice,0,6,4,5,10,3,0,8,7,9,10,4,8,5,0,0,10,0,0,0,6.8,9.8,22.8,89,44,876,10
94,Malik Heath,Miss,0,2,5,4,7,9,5,1,10,2,0,11,12,7,0,0,0,0,13,0,6.8,11.0,22.9,88,60,971,5
95,Luke McCaffrey,Rice,0,8,8,15,9,6,0,9,11,5,8,0,0,0,0,0,9,0,0,0,8.0,8.2,22.5,88,58,723,6
96,Jaylin Noel,IaSt,0,8,4,5,8,7,6,11,0,10,4,7,7,10,0,0,0,0,0,0,7.3,6.6,18.2,87,60,572,3
97,Tyler Scott,Cin,0,12,2,8,14,6,1,0,0,10,13,11,5,5,0,0,0,0,0,0,7.9,10.3,21.2,87,54,899,9
98,Kaden Prather,WVU,0,5,8,10,8,12,0,11,9,7,2,12,0,3,0,0,0,0,0,0,7.9,5.8,20.5,87,52,501,3
99,Michael Jefferson,UL-Laf,0,5,10,7,8,9,0,5,2,10,9,6,7,9,0,0,0,0,0,0,7.3,9.3,20.1,87,51,810,7
100,JP Richardson,OkSt,0,5,4,4,0,6,8,7,12,8,3,4,9,11,0,0,0,0,5,0,6.6,5.8,16.5,86,49,503,4
101,Jake Bobo,UCLA,0,3,3,5,5,10,5,0,10,6,4,9,10,9,0,0,0,0,6,0,6.5,9.6,20.3,85,57,817,7
102,Jerand Bradley,TxTch,0,7,14,6,5,0,9,0,5,8,3,0,4,13,0,0,0,0,11,0,7.1,8.8,15.1,85,51,744,6
103,Carlos Carriere,CentMi,0,9,9,0,18,14,12,8,4,0,4,4,0,3,0,0,0,0,0,0,7.7,6.1,22.3,85,45,520,2
104,Elijah Higgins,Stan,0,2,4,0,5,8,5,7,9,5,8,9,13,9,0,0,0,0,0,0,7.0,8.4,19.1,84,59,704,2
105,Jordan Addison,USC,0,6,8,7,6,11,6,12,0,0,0,2,13,4,9,0,0,0,0,0,7.6,10.4,16.5,84,59,875,8
106,Tez Johnson,Troy,0,4,0,6,4,7,6,7,5,0,10,10,9,7,5,0,4,0,0,0,6.5,10.3,21.6,84,56,863,4
107,Terrell Vaughn,UtahSt,2,2,5,0,9,7,4,10,6,0,9,2,9,12,0,0,0,0,7,0,6.5,7.4,21.7,84,56,624,5
108,Michael Mathison,WestKy,7,2,0,7,9,10,4,5,2,6,10,5,6,7,0,0,0,4,0,0,6.0,7.3,13.6,84,52,615,3
109,Mitchell Tinsley,PSU,0,12,5,4,9,3,0,9,6,6,8,2,8,3,0,0,0,0,9,0,6.5,6.9,20.4,84,51,577,5
110,Ricky White,UNLV,8,0,8,8,4,10,6,6,9,0,9,8,5,3,0,0,0,0,0,0,7.0,7.4,23.6,84,51,619,4
111,Barion Brown,Kty,0,4,2,7,5,5,6,9,0,3,4,4,12,6,0,0,0,0,16,0,6.4,7.6,24.3,83,50,628,4
112,Cam Camper,Ind,0,17,11,15,17,0,9,7,7,0,0,0,0,0,0,0,0,0,0,0,11.9,6.9,17.7,83,46,569,2
113,Sam James,WVU,0,9,6,2,3,12,0,6,6,11,9,7,7,5,0,0,0,0,0,0,6.9,9.0,19.6,83,46,745,6
114,Izaiah Gathings,MiddTn,0,6,11,3,6,11,4,7,0,4,0,1,10,9,0,0,0,10,0,0,6.8,6.8,16.5,82,60,559,2
115,Tre'Shaun Harrison,OreSt,0,6,8,10,5,10,9,6,3,0,7,10,4,4,0,0,0,0,0,0,6.8,7.4,25.7,82,52,604,4
116,Luke Grimm,Kansas,0,2,8,4,6,6,10,4,0,0,7,6,7,7,0,0,0,0,15,0,6.8,7.6,22.0,82,52,623,6
117,Tyrese Chambers,FIU,0,13,12,0,3,8,2,0,12,13,8,6,5,0,0,0,0,0,0,0,8.2,6.6,18.0,82,51,544,4
118,Tetairoa McMillan,Ari,0,8,13,2,6,10,7,9,0,8,7,4,6,2,0,0,0,0,0,0,6.8,8.6,18.0,82,39,702,8
119,Cole Tucker,NIU,0,6,8,5,6,11,9,7,7,0,7,5,0,10,0,0,0,0,0,0,7.4,7.8,24.7,81,45,632,4
120,Tre Tucker,Cin,0,6,1,9,8,6,9,0,5,13,7,6,6,4,0,0,0,0,0,0,6.7,8.4,19.5,80,52,672,3
121,De'zhaun Stribling,WashSt,0,10,3,4,8,7,4,11,0,4,5,6,6,12,0,0,0,0,0,0,6.7,7.5,16.1,80,51,602,5
122,Tyrone Howell,UL-Mon,0,4,4,4,4,4,5,10,9,0,16,8,6,6,0,0,0,0,0,0,6.7,10.7,24.6,80,50,852,6
123,Johnny Wilson,FlaSt,2,6,0,9,5,9,8,11,0,7,2,3,0,8,0,0,0,0,10,0,6.2,11.2,20.7,80,43,897,5
124,Nate McCollum,GaTech,0,8,2,5,7,7,9,0,9,5,9,11,0,7,0,0,0,0,0,0,7.2,8.3,20.6,79,60,655,3
125,Rufus Harvey,MissSt,0,9,7,8,6,5,5,2,9,0,7,10,1,5,0,0,0,0,5,0,6.1,6.4,12.7,79,53,505,3
126,Bru McCoy,Tenn,0,5,4,3,7,0,8,5,4,8,11,12,5,0,0,0,0,0,7,0,6.6,8.4,18.9,79,52,667,4
127,De'Corian Clark,Tx-SA,0,11,10,8,13,10,7,10,9,0,1,0,0,0,0,0,0,0,0,0,8.8,9.4,15.9,79,51,741,8
128,Malik Knowles,KanSt,0,3,4,7,8,1,8,0,5,13,8,3,7,3,3,0,0,0,6,0,5.6,9.2,20.2,79,48,725,2
129,Dalevon Campbell,Nevada,0,1,7,6,4,0,6,5,11,10,0,5,12,12,0,0,0,0,0,0,6.6,5.9,19.9,79,39,467,1
130,Jadon Haselwood,Ark,0,5,5,8,6,8,5,6,0,6,10,7,4,8,0,0,0,0,0,0,6.5,9.0,22.4,78,59,702,3
131,Keytaon Thompson,UVa,0,6,6,12,13,11,13,0,10,7,0,0,0,0,0,0,0,0,0,0,9.8,7.4,22.9,78,53,579,0
132,Yo'Heinz Tyler,BallSt,0,10,13,5,11,7,7,5,0,0,5,2,9,4,0,0,0,0,0,0,7.1,5.5,16.4,78,48,430,1
133,Chimere Dike,Wisc,0,3,7,4,2,10,11,5,6,0,5,5,3,11,0,0,0,0,6,0,6.0,8.8,24.5,78,47,689,6
134,Phillip Brooks,KanSt,0,1,7,5,10,7,5,0,5,2,5,5,6,8,7,0,0,0,5,0,5.6,7.5,19.9,78,45,587,4
135,Trea Shropshire,UAB,0,1,2,0,0,9,9,6,3,4,12,9,11,3,0,0,9,0,0,0,6.5,11.8,25.3,78,41,923,6
136,Jordan Whittington,Tex,0,4,9,5,6,3,8,2,5,0,4,11,9,3,0,0,0,0,8,0,5.9,8.5,19.0,77,50,652,1
137,Jared Brown,CoastC,0,5,4,4,6,9,6,6,0,9,11,2,0,4,8,0,0,0,3,0,5.9,10.2,21.9,77,49,789,6
138,Jesse Matthews,SDSU,0,3,6,4,7,2,9,0,5,7,6,6,2,5,0,0,0,15,0,0,5.9,6.6,23.5,77,45,508,3
139,Ladd McConkey,UGa,0,6,4,6,9,6,6,5,0,6,5,6,6,1,6,0,0,0,4,0,5.1,10.0,16.6,76,58,762,7
140,Antonio Williams,Clem,0,4,4,2,4,7,6,2,6,0,4,11,5,8,5,0,0,0,8,0,5.4,7.9,16.3,76,56,604,4
141,Corey Gammage,Marsh,0,3,4,11,3,6,0,6,7,11,6,7,1,6,0,0,5,0,0,0,5.8,10.2,21.4,76,52,774,6
142,TJ Sheffield,Purdue,0,9,0,6,4,5,4,7,5,0,3,11,5,2,5,0,0,0,10,0,5.4,6.3,13.6,76,46,480,4
143,Robert Ferrel,WashSt,0,0,0,3,8,7,8,7,0,9,6,5,4,7,0,0,11,0,0,0,6.8,7.8,15.1,75,56,582,4
144,Ashtyn Hawkins,TxSt,0,14,9,16,7,4,8,7,8,0,2,0,0,0,0,0,0,0,0,0,8.3,7.8,17.2,75,56,587,7
145,Myles Price,TxTch,0,4,6,7,16,7,0,0,0,3,7,5,6,9,0,0,0,0,5,0,6.8,6.8,13.3,75,51,513,2
146,Dante Cephas,KentSt,0,7,6,5,5,16,16,11,5,0,0,4,0,0,0,0,0,0,0,0,8.3,9.9,22.5,75,48,744,3
147,Aaron Turner,UConn,5,3,6,3,2,5,6,9,0,6,5,11,5,0,0,0,8,0,0,0,5.7,7.1,26.2,74,57,527,3
148,Dominic Lovett,Missou,0,8,6,9,6,7,4,0,5,10,2,6,1,10,0,0,0,0,0,0,6.2,11.4,19.3,74,56,846,3
149,Puka Nacua,BYU,0,1,0,0,4,0,3,13,10,11,18,0,8,6,0,0,0,0,0,0,8.2,8.4,19.2,74,48,625,5
150,Kayshon Boutte,LSU,0,6,5,8,0,2,8,8,7,0,8,6,0,4,12,0,0,0,0,0,6.7,7.3,15.7,74,48,538,2
151,Matt Landers,Ark,0,4,5,8,1,10,3,10,0,5,7,4,4,7,0,0,0,0,6,0,5.7,12.2,21.3,74,47,901,8
152,Kade Warner,KanSt,0,4,2,6,6,6,2,0,4,8,6,5,5,2,10,0,0,0,8,0,5.3,6.2,18.9,74,46,456,5
153,Devin Maddox,Toledo,0,0,2,3,9,4,8,6,6,5,0,6,3,12,5,0,0,5,0,0,5.7,7.4,17.1,74,39,548,3
154,Justin Lockhart,SJSU,0,5,10,0,5,6,3,7,0,12,5,5,9,4,0,0,0,3,0,0,6.2,7.8,17.4,74,36,578,1
155,Latrell Caples,Boise,0,6,3,5,8,1,4,0,6,5,6,2,8,5,7,0,7,0,0,0,5.2,7.5,19.6,73,51,549,4
156,Tahj Washington,USC,0,5,1,1,8,2,1,6,0,10,11,4,4,3,10,0,0,0,7,0,5.2,10.8,14.3,73,50,785,6
157,Javon Ivory,Mem,0,2,11,6,3,9,3,6,6,0,3,10,5,9,0,0,0,0,0,0,6.1,8.0,16.5,73,46,586,2
158,Isaiah Esdale,Rice,0,7,4,4,8,2,0,5,1,4,6,6,9,9,0,0,8,0,0,0,5.6,7.5,18.7,73,42,544,2
159,Dontayvion Wicks,UVa,0,11,15,12,10,8,6,0,7,4,0,0,0,0,0,0,0,0,0,0,9.1,5.9,21.5,73,30,430,2
160,Luther Burden,Missou,0,6,4,6,3,7,7,0,5,5,7,3,3,4,0,0,0,11,0,0,5.5,5.3,18.5,71,45,375,6
161,Eddie Lewis,Mem,0,8,6,1,4,4,8,7,4,0,8,6,5,4,0,0,0,0,6,0,5.5,8.7,16.0,71,42,615,7
162,Brycen Tremayne,Stan,0,5,5,0,1,3,7,5,14,4,7,3,5,12,0,0,0,0,0,0,5.9,6.9,16.2,71,38,490,3
163,Yusuf Ali,MiddTn,0,12,6,3,3,7,4,8,0,3,7,2,4,7,0,0,0,4,0,0,5.4,5.5,14.1,70,51,385,2
164,Seydou Traore,ArkSt,0,1,3,7,9,4,3,6,7,14,0,2,8,6,0,0,0,0,0,0,5.8,9.4,18.3,70,50,655,4
165,Hassan Beydoun,EastMi,0,4,10,2,4,1,4,3,14,5,0,6,8,7,0,0,0,2,0,0,5.4,6.8,18.6,70,49,473,4
166,Rara Thomas,MissSt,0,5,7,8,4,7,2,1,14,0,8,6,5,3,0,0,0,0,0,0,5.8,8.9,11.3,70,44,626,7
167,Joseph Ngata,Clem,0,3,3,7,6,4,4,3,5,0,7,3,2,6,6,0,0,0,11,0,5.0,7.5,15.1,70,41,526,2
168,Zion Bowens,Hawaii,3,0,0,0,0,0,11,6,4,12,5,12,5,12,0,0,0,0,0,0,7.8,7.1,14.6,70,35,494,4
169,Joshua Cobbs,Wyo,6,8,8,8,7,6,3,0,4,6,0,1,5,8,0,0,0,0,0,0,5.8,5.8,23.6,70,35,407,2
170,Taylor Morin,Wake,0,5,6,6,5,1,0,0,6,4,6,6,10,7,0,0,0,7,0,0,5.3,8.3,14.8,69,47,575,9
171,Donovan Ollie,WashSt,0,10,9,11,7,4,5,8,0,1,3,3,3,5,0,0,0,0,0,0,5.8,7.1,13.9,69,43,491,3
172,Ja'Corey Brooks,Ala,0,2,4,2,7,2,3,9,5,0,17,8,2,5,0,0,0,0,3,0,5.3,9.8,15.9,69,39,674,8
173,Jahmal Edrine,FlaAtl,3,14,0,6,3,9,0,7,5,8,0,1,8,5,0,0,0,0,0,0,6.3,8.3,18.8,69,39,570,6
174,Braydon Johnson,OkSt,0,10,12,5,0,4,0,9,0,0,0,0,12,12,0,0,0,0,5,0,6.9,8.2,13.3,69,32,566,3
175,Billy Bowens,Boise,0,4,10,1,6,6,4,0,1,5,2,5,7,4,9,0,5,0,0,0,4.9,6.7,18.5,69,32,462,4
176,Donny Navarro,NW,5,0,10,8,10,10,9,0,5,1,2,5,3,1,0,0,0,0,0,0,5.8,3.4,16.8,69,31,237,2
177,Miles Cross,Ohio,0,5,2,6,7,8,5,5,4,0,5,8,0,3,4,0,0,0,6,0,4.9,8.2,14.8,68,47,560,3
178,Lawrence Arnold,Kansas,0,5,5,5,4,4,6,7,3,0,2,8,1,5,0,0,0,0,13,0,5.2,10.5,18.3,68,44,716,4
179,Antoine Green,UNC,0,0,0,0,7,6,2,6,0,13,7,6,0,10,11,0,0,0,0,0,7.6,11.7,13.5,68,43,798,7
180,Ja'Lynn Polk,Wash,0,4,6,9,2,4,6,6,2,0,11,5,4,6,0,0,0,0,3,0,5.2,10.2,12.0,68,41,694,6
181,Isaiah Epps,Tulsa,0,8,4,5,9,7,8,0,5,4,5,4,3,6,0,0,0,0,0,0,5.7,6.3,16.6,68,37,429,5
182,Malachai Jones,Tulsa,0,11,7,9,6,4,5,0,2,2,3,9,5,5,0,0,0,0,0,0,5.7,6.9,16.6,68,37,470,2
