,,,Week-By-Week Targets,,,,,,,,,,,,,,,,,,,,Averages,,,Receiving Totals,,,
Rank,Name,Team,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TAR/G,YDS/TAR,TM TAR %,TAR,REC,YDS,TD
1,Xavier Hutchinson,IaSt,0,10,18,11,13,19,17,13,0,17,11,15,12,7,0,0,0,0,0,0,13.6,7.2,34.1,163,107,1171,6
2,Charlie Jones,Purdue,0,19,10,14,11,10,7,16,13,0,19,7,8,9,16,0,0,0,0,0,12.2,8.6,28.4,159,110,1361,12
3,Rashee Rice,SMU,0,12,14,19,13,0,18,6,12,15,13,8,10,17,0,0,0,0,0,0,13.1,8.6,31.2,157,96,1355,10
4,Nathaniel Dell,Hou,0,7,11,9,9,9,16,0,10,11,17,16,11,17,0,0,0,11,0,0,11.8,9.1,28.3,154,109,1398,17
5,Malachi Corley,WestKy,7,5,0,9,3,7,15,12,8,14,7,9,18,14,0,0,0,14,0,0,10.1,9.1,23.1,142,101,1293,11
6,Isaiah Winstead,ECU,0,11,11,8,14,9,16,13,7,5,0,14,9,10,0,0,0,0,10,0,10.5,7.9,28.6,137,88,1085,6
7,Khaleb Hood,GaSo,0,9,9,10,8,7,14,13,9,0,10,13,10,12,0,0,0,0,11,0,10.4,6.9,22.5,135,87,925,3
8,Zakhari Franklin,Tx-SA,0,15,12,11,11,9,8,8,10,0,9,3,5,8,12,0,12,0,0,0,9.5,8.5,26.7,133,94,1136,15
9,Jayshon Jackson,BallSt,0,8,14,12,15,13,9,14,7,0,17,7,11,6,0,0,0,0,0,0,11.1,6.2,27.9,133,73,823,3
10,Zay Flowers,BC,0,15,5,16,13,6,13,0,17,6,12,11,7,9,0,0,0,0,0,0,10.8,8.3,29.5,130,78,1077,12
11,A.T. Perry,Wake,0,5,10,11,7,11,6,0,3,7,18,9,11,14,0,0,0,17,0,0,9.9,8.5,27.7,129,81,1096,11
12,Tyrin Smith,UTEP,17,14,11,17,2,4,13,0,10,14,11,0,6,10,0,0,0,0,0,0,10.8,8.1,34.3,129,71,1039,7
13,Jacob Cowing,Ari,0,10,13,7,15,14,9,8,0,9,8,9,10,9,0,0,0,0,0,0,10.1,8.5,26.5,121,85,1034,7
14,Jalen McMillan,Wash,0,8,5,10,9,11,7,8,11,0,9,10,10,9,0,0,0,0,14,0,9.3,9.1,21.4,121,79,1098,9
15,Demario Douglas,Lib,0,7,4,13,10,6,7,10,9,0,10,14,11,12,0,0,0,8,0,0,9.3,8.2,31.0,121,79,993,6
16,Josh Downs,UNC,12,0,0,0,5,8,9,11,0,16,16,13,5,13,12,0,0,0,0,0,10.9,8.6,23.8,120,94,1029,11
17,Will Sheppard,Vandy,6,11,8,15,7,0,14,7,16,0,10,11,6,9,0,0,0,0,0,0,10.0,6.5,35.1,120,60,776,9
18,Marvin Harrison,OhioSt,0,11,9,6,6,6,9,0,10,12,8,12,10,10,0,0,0,0,10,0,9.2,10.6,29.3,119,77,1263,14
19,Brian Cobbs,UtahSt,9,4,9,0,10,12,8,4,8,0,8,9,15,15,0,0,0,0,8,0,9.2,7.8,30.7,119,76,923,5
20,Jose Barbon,Temple,0,7,12,4,3,9,0,11,13,11,8,15,8,16,0,0,0,0,0,0,9.8,7.8,25.0,117,72,918,2
21,Xavier Worthy,Tex,0,7,9,7,5,9,6,10,17,0,9,12,4,8,0,0,0,0,14,0,9.0,6.5,28.9,117,60,760,9
22,Jason Brownlee,SouMis,0,5,11,6,6,0,16,8,8,9,11,13,12,5,0,0,7,0,0,0,9.0,7.6,35.2,117,55,891,8
23,Corey Crooms,WestMi,0,11,14,8,2,10,9,10,13,0,13,11,9,6,0,0,0,0,0,0,9.7,7.0,34.8,116,57,814,5
24,Joshua Cephus,Tx-SA,0,11,12,9,7,8,11,8,14,0,8,9,2,4,12,0,0,0,0,0,8.8,8.6,23.1,115,87,985,6
25,Keylon Stokes,Tulsa,0,13,12,11,6,9,10,0,7,10,8,10,8,11,0,0,0,0,0,0,9.6,10.6,28.1,115,76,1224,8
26,Grant DuBose,CHAR,5,7,13,15,6,13,0,6,9,5,12,19,3,0,0,0,0,0,0,0,9.4,7.0,27.3,113,63,787,9
27,Jalen Moreno-Cropper,Fres,0,8,9,8,0,7,6,9,10,7,6,8,12,10,8,0,4,0,0,0,8.0,9.7,23.8,112,83,1086,5
28,Rome Odunze,Wash,0,10,0,7,9,10,17,11,9,0,10,7,3,8,0,0,0,0,11,0,9.3,10.2,19.8,112,75,1145,7
29,Shocky Jacques-Louis,Akron,0,12,5,9,6,6,14,8,14,13,0,9,0,5,11,0,0,0,0,0,9.3,8.3,22.7,112,74,931,2
30,Sam Pinckney,CoastC,0,5,11,9,12,10,10,9,0,6,5,7,0,6,15,0,0,0,7,0,8.6,8.9,31.8,112,71,996,3
31,Tory Horton,ColoSt,0,7,12,8,4,0,14,9,8,8,16,10,5,11,0,0,0,0,0,0,9.3,10.1,35.4,112,71,1131,8
32,Trey Palmer,Neb,13,4,9,11,0,9,7,12,0,7,11,10,6,12,0,0,0,0,0,0,9.3,9.4,32.8,111,71,1043,9
33,Jaylen Hall,WestKy,3,2,0,6,4,7,12,11,4,10,2,7,16,13,0,0,0,14,0,0,7.9,7.8,18.0,111,68,869,6
34,Daniel George,Akron,0,8,5,4,18,9,13,10,6,10,0,7,0,11,10,0,0,0,0,0,9.3,7.1,22.5,111,67,793,2
35,Justin Marshall,Buff,0,7,8,15,6,7,4,4,8,0,11,10,0,4,9,0,0,0,18,0,8.5,7.5,24.8,111,64,837,9
36,Mac Hippenhammer,Mia-O,0,9,6,7,5,7,4,3,15,9,0,11,8,19,0,0,8,0,0,0,8.5,6.9,33.5,111,54,769,9
37,Bryce Ford-Wheaton,WVU,0,16,14,9,8,12,0,8,7,7,5,11,6,7,0,0,0,0,0,0,9.2,6.1,25.9,110,62,675,7
38,Elijah Cooks,SJSU,0,9,7,0,3,11,4,14,0,10,11,8,9,12,0,0,0,11,0,0,9.1,9.9,25.6,109,69,1076,10
39,Isaiah Williams,Ill,10,15,5,0,9,9,4,9,0,9,7,6,7,5,0,0,0,0,12,0,8.2,6.7,27.4,107,82,715,5
40,Tyler Hudson,Lou,0,9,7,9,4,6,12,0,9,9,8,16,9,9,0,0,0,0,0,0,8.9,9.7,30.1,107,69,1034,2
41,J. Michael Sturdivant,Cal,0,4,10,10,5,7,0,12,13,10,11,8,11,6,0,0,0,0,0,0,8.9,7.1,23.1,107,65,755,7
42,Emeka Egbuka,OhioSt,0,11,8,8,8,6,7,0,9,8,4,3,10,15,0,0,0,0,9,0,8.2,10.9,26.1,106,74,1151,10
43,Jeremy Singleton,GaSo,0,9,13,11,5,9,10,9,6,0,2,0,14,17,0,0,0,0,0,0,8.8,6.8,17.5,105,66,714,2
44,Evan Stewart,TexA&M,0,9,8,0,7,9,18,0,11,13,16,8,0,6,0,0,0,0,0,0,10.5,6.2,27.3,105,53,649,2
45,Ryan O'Keefe,UCF,0,6,5,9,6,0,8,7,8,11,12,9,8,6,9,0,0,0,0,0,8.0,7.0,23.7,104,73,725,5
46,Jared Wayne,Pitt,0,5,13,4,0,9,7,0,3,14,8,8,9,13,0,0,0,0,11,0,8.7,10.2,27.6,104,60,1063,5
47,Quian Williams,Buff,0,8,11,12,9,11,1,6,10,0,10,5,0,6,5,0,0,0,9,0,7.9,7.2,23.0,103,61,743,5
48,Derwin Burgess,GaSo,0,9,22,9,8,15,7,12,2,0,13,6,0,0,0,0,0,0,0,0,10.3,7.0,17.2,103,58,717,7
