,,,Week-By-Week Targets,,,,,,,,,,,,,,,,,,,,Averages,,,Receiving Totals,,,
Rank,Name,Team,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TAR/G,YDS/TAR,TM TAR %,TAR,REC,YDS,TD
1,Lajohntay Wester,FlaAtl,0,9,15,18,16,0,12,12,11,11,17,10,12,9,0,0,0,0,0,0,12.7,7.7,37.4,152,108,1168,8
2,Brennan Presley,OkSt,0,9,4,3,6,0,8,14,10,6,9,9,19,14,14,0,0,0,19,0,10.3,6.9,26.3,144,101,991,6
3,Malik Washington,UVa,0,7,6,13,13,12,9,0,15,15,16,11,9,17,0,0,0,0,0,0,11.9,10.0,37.4,143,110,1426,9
4,Rome Odunze,Wash,0,8,11,11,5,9,0,12,10,9,6,10,11,12,12,0,0,0,6,9,9.4,11.6,25.6,141,92,1640,13
5,Ricky White,UNLV,0,4,6,18,11,6,0,8,13,10,9,12,10,11,9,0,0,0,12,0,9.9,10.7,34.8,139,88,1483,8
6,Khaleb Hood,GaSo,0,6,10,12,11,16,0,14,12,9,7,9,8,12,0,0,11,0,0,0,10.5,6.9,24.2,137,101,948,5
7,Tory Horton,ColoSt,0,13,0,16,11,11,5,22,11,6,10,7,11,13,0,0,0,0,0,0,11.3,8.4,27.6,136,96,1136,8
8,Isaiah Williams,Ill,0,8,8,12,13,8,11,11,6,0,17,15,15,8,0,0,0,0,0,0,11.0,8.0,32.4,132,82,1055,5
9,Tetairoa McMillan,Ari,0,6,12,8,5,9,11,9,0,11,5,15,11,15,0,0,0,0,14,0,10.1,10.7,28.5,131,90,1402,10
10,Malik Nabers,LSU,0,13,7,13,13,8,10,11,7,0,16,9,9,9,0,0,0,0,5,0,10.0,12.1,31.9,130,89,1569,14
11,Terrell Vaughn,UtahSt,0,17,12,13,13,1,10,13,9,0,8,9,6,9,0,0,0,9,0,0,9.9,7.2,30.5,129,89,933,11
12,Pofele Ashlock,Hawaii,9,14,8,8,11,9,0,12,9,2,11,14,9,10,0,0,0,0,0,0,9.7,6.6,23.9,126,83,832,9
13,Joshua Cephus,Tx-SA,0,16,9,9,10,0,8,9,9,7,10,6,11,10,0,0,0,11,0,0,9.6,9.2,29.3,125,89,1151,10
14,Luke McCaffrey,Rice,0,7,12,5,15,8,8,0,10,6,6,10,10,17,0,0,0,0,10,0,9.5,8.0,29.2,124,71,992,13
15,Caullin Lacy,USA,0,7,11,7,9,13,9,0,11,11,11,9,10,14,0,0,0,0,0,0,10.2,10.8,29.5,122,91,1316,7
