,,,Week-By-Week Targets,,,,,,,,,,,,,,,,,,,,Averages,,,Receiving Totals,,,
16,Luther Burden,Missou,0,8,10,11,12,13,17,5,8,0,7,5,15,8,0,0,0,0,3,0,9.4,9.9,33.5,122,86,1212,9
17,Xavier Restrepo,Mia-Fl,0,6,9,6,9,0,13,18,7,7,6,6,10,8,0,0,0,0,17,0,9.4,9.0,28.2,122,85,1092,6
18,Xavier Worthy,Tex,0,10,10,6,3,7,10,0,7,10,14,14,7,7,10,0,0,0,6,0,8.6,8.4,26.0,121,75,1014,5
19,Jabre Barber,Troy,0,2,6,11,9,9,8,10,0,13,3,12,7,8,7,0,0,16,0,0,8.6,8.3,27.0,121,75,999,5
20,Jacob Cowing,Ari,0,4,12,12,12,12,13,11,0,6,9,6,3,11,0,0,0,0,9,0,9.2,7.1,26.1,120,90,848,13
21,Lincoln Victor,WashSt,0,13,9,8,0,0,0,4,20,11,15,16,8,16,0,0,0,0,0,0,10.9,7.2,24.0,120,89,860,5
22,Derwin Burgess,GaSo,0,9,10,12,10,10,0,8,6,11,5,14,11,6,0,0,6,0,0,0,9.1,6.9,20.9,118,74,813,6
23,Sean Atkins,USF,0,8,7,8,9,5,11,10,8,0,10,10,13,10,0,0,0,8,0,0,9.0,9.0,26.5,117,92,1054,7
24,Marvin Harrison,OhioSt,0,7,12,7,7,0,13,13,16,11,7,9,6,9,0,0,0,0,0,0,9.8,10.4,29.5,117,67,1211,14
25,Will Pauling,Wisc,0,5,7,2,5,0,11,12,11,9,16,14,11,3,0,0,0,0,10,0,8.9,7.2,25.1,116,74,837,6
26,Daniel Jackson,Minn,0,16,4,7,6,5,7,0,12,10,6,15,8,14,0,0,0,0,6,0,8.9,7.2,37.4,116,59,831,8
27,Troy Franklin,Oregon,0,9,9,7,10,7,0,11,8,10,10,3,9,13,9,0,0,0,0,0,8.8,12.0,22.2,115,81,1383,14
28,Malachi Corley,WestKy,0,6,0,13,15,13,12,0,12,8,4,7,12,7,0,0,4,0,0,0,9.4,8.7,20.9,113,79,984,11
29,Sam Pinckney,CoastC,0,17,7,3,9,10,0,9,7,4,11,9,10,6,0,0,0,10,0,0,8.6,9.2,27.7,112,72,1027,8
30,Jordan Moore,Duke,0,9,4,7,13,6,0,5,4,13,5,11,12,17,0,0,0,6,0,0,8.6,7.5,32.4,112,62,835,8
31,Elic Ayomanor,Stan,0,3,4,7,8,8,0,19,12,13,9,7,7,15,0,0,0,0,0,0,9.3,9.0,26.9,112,62,1013,6
32,Drake Stoops,Okla,0,4,4,8,7,8,8,0,9,5,14,13,5,14,0,0,0,0,12,0,8.5,8.7,24.9,111,84,962,10
33,Noah Smith,SamHou,0,7,3,0,2,15,17,11,14,10,8,7,15,2,0,0,0,0,0,0,9.3,7.1,25.9,111,79,783,6
34,Ja'Lynn Polk,Wash,0,3,6,6,11,7,0,12,13,10,7,6,5,4,6,0,0,0,5,10,7.4,10.4,20.1,111,69,1159,9
35,Kenneth Womack,WestMi,0,4,6,7,5,8,15,7,19,8,0,17,4,10,0,0,0,0,0,0,9.2,6.3,28.4,110,76,691,1
36,Tez Johnson,Oregon,0,3,7,6,4,2,0,8,7,7,13,11,7,12,8,0,0,0,13,0,7.7,10.9,20.8,108,86,1182,10
37,Kris Mitchell,FIU,2,12,10,5,10,0,10,7,13,9,0,6,10,14,0,0,0,0,0,0,9.0,10.4,29.4,108,64,1118,7
38,Kevin Concepcion,NCSU,0,5,11,7,10,3,15,10,0,7,9,3,8,9,0,0,0,0,9,0,8.2,7.9,28.7,106,71,839,10
39,Roc Taylor,Mem,0,7,4,10,10,6,0,12,9,6,8,7,11,7,0,0,0,0,8,0,8.1,10.3,22.3,105,69,1083,4
40,Xavier Weaver,Colo,0,8,12,12,13,12,4,10,0,8,7,10,8,0,0,0,0,0,0,0,9.5,8.7,22.4,104,68,908,4
41,Steven McBride,Hawaii,9,7,11,6,5,8,0,9,8,4,11,7,8,11,0,0,0,0,0,0,8.0,9.8,19.7,104,63,1024,9
42,Jeremiah Hunter,Cal,0,8,8,9,10,11,6,4,0,12,7,3,6,12,0,0,8,0,0,0,8.0,7.2,24.2,104,63,750,7
43,Robert Lewis,GaSt,0,8,6,7,6,11,0,5,6,18,3,7,10,16,0,0,0,0,0,0,8.6,8.5,28.5,103,70,877,7
44,Xzavier Henderson,Cin,0,8,2,13,11,9,0,4,11,9,7,4,13,12,0,0,0,0,0,0,8.6,7.6,28.5,103,58,782,3
45,Elijah Sarratt,JMU,0,3,2,7,5,5,0,8,9,9,9,14,16,6,0,0,0,9,0,0,7.8,11.7,24.3,102,82,1191,8
46,Jalen Royals,UtahSt,0,6,4,7,14,7,8,9,7,0,9,5,10,10,0,0,0,6,0,0,7.8,10.6,24.1,102,71,1080,15
47,Elijhah Badger,AriSt,0,5,6,8,12,7,16,0,11,4,3,15,15,0,0,0,0,0,0,0,9.3,7.0,24.2,102,65,713,3
48,Rashod Owens,OkSt,0,2,1,2,2,0,7,12,9,7,16,11,6,6,6,0,0,0,15,0,7.3,8.8,18.6,102,63,895,5
49,Kole Wilson,TxSt,0,6,5,4,4,3,13,6,0,11,5,7,16,11,0,0,0,0,10,0,7.8,7.4,23.8,101,66,747,8
50,Malachi Fields,UVa,0,8,8,15,7,8,5,0,4,7,11,10,6,11,0,0,0,0,0,0,8.3,8.1,26.2,100,58,811,5
51,Joey Hobert,TxSt,0,8,3,5,9,12,9,18,0,6,13,0,10,0,0,0,0,0,6,0,9.0,9.0,23.3,99,76,895,8
52,Squirrel White,Tenn,0,7,8,5,7,9,0,6,12,6,2,8,12,14,0,0,0,0,3,0,7.6,8.1,24.2,99,67,803,2
53,Ja'Mori Maclin,NorTx,0,5,7,7,0,7,9,10,10,10,10,6,6,12,0,0,0,0,0,0,8.3,10.1,21.8,99,57,1004,11
54,Daniel George,Akron,0,7,5,8,3,6,6,11,15,0,15,8,6,9,0,0,0,0,0,0,8.3,5.3,23.5,99,52,529,1
55,Smoke Harris,LaTech,11,10,3,4,13,4,13,12,0,3,6,8,11,0,0,0,0,0,0,0,8.2,8.1,23.3,98,83,796,4
56,Jamari Thrash,Lou,0,9,6,6,6,5,9,18,0,9,0,4,6,8,12,0,0,0,0,0,8.2,8.8,24.9,98,63,858,6
57,Samuel Brown,Hou,0,6,12,8,9,14,0,6,8,11,9,7,8,0,0,0,0,0,0,0,8.2,8.3,24.4,98,62,815,3
58,Anthony Simpson,UMass,5,6,6,8,8,10,8,11,0,8,5,0,13,10,0,0,0,0,0,0,8.2,8.1,28.0,98,57,792,3
59,Jasaiah Gathings,Akron,0,4,9,9,10,6,5,4,3,0,14,13,12,9,0,0,0,0,0,0,8.2,5.9,23.3,98,55,575,1
60,Silas Bolden,OreSt,0,7,5,12,8,8,5,9,0,6,7,4,10,11,0,0,0,0,6,0,7.5,7.6,25.8,98,54,746,5
61,Xavier Legette,SCar,0,12,6,10,5,7,0,6,2,6,12,12,9,10,0,0,0,0,0,0,8.1,12.9,24.4,97,71,1255,7
62,Logan Loya,UCLA,0,4,6,0,10,0,10,11,5,9,8,5,13,12,0,0,4,0,0,0,7.5,6.8,24.0,97,59,655,5
63,Josh Kelly,WashSt,0,8,3,7,11,0,10,5,8,6,5,12,10,11,0,0,0,0,0,0,8.0,9.6,19.2,96,61,923,8
64,Erik Brooks,Fres,0,12,11,15,5,3,4,6,0,5,3,8,10,7,0,0,6,0,0,0,7.3,8.3,19.0,95,60,788,5
65,Kaedin Robinson,App,0,4,7,5,7,10,0,3,8,2,6,6,6,10,10,0,10,0,0,0,6.7,9.6,20.0,94,67,905,10
66,Jahmal Banks,Wake,0,8,5,8,10,0,14,11,4,9,5,5,6,8,0,0,0,0,0,0,7.8,7.0,29.1,93,59,653,4
67,Sam Wiglusz,Ohio,16,0,6,12,3,0,7,7,13,7,0,2,6,7,0,0,7,0,0,0,7.8,7.1,24.7,93,56,660,3
68,Tre Harris,Miss,0,9,2,0,2,15,6,0,8,8,15,4,6,5,0,0,0,0,13,0,7.8,10.6,23.6,93,54,985,8
69,Cam Johnson,NW,0,9,3,9,10,9,5,0,4,7,7,6,8,8,0,0,0,8,0,0,7.2,7.7,24.9,93,54,715,6
70,Tyrone Howell,UL-Mon,0,14,8,5,0,9,7,3,11,8,4,10,9,5,0,0,0,0,0,0,7.8,6.3,26.9,93,49,590,7
71,Kelly Akharaiyi,UTEP,7,2,8,8,5,11,0,10,7,8,7,0,11,9,0,0,0,0,0,0,7.8,11.1,29.5,93,48,1033,7
72,Jaylin Noel,IaSt,0,7,11,0,12,7,11,3,0,11,5,5,7,4,0,0,0,0,9,0,7.7,8.9,24.5,92,66,820,7
73,Jacolby George,Mia-Fl,0,7,7,6,5,0,8,8,5,8,8,9,7,9,0,0,0,0,5,0,7.1,9.4,21.3,92,57,864,8
74,Adonai Mitchell,Tex,0,6,5,4,4,13,4,0,3,4,12,6,6,4,8,0,0,0,13,0,6.6,9.2,19.7,92,55,845,11
75,Deion Burks,Purdue,0,9,4,8,13,7,8,8,0,5,9,7,5,9,0,0,0,0,0,0,7.7,6.8,24.2,92,47,629,7
76,Javon Baker,UCF,0,6,7,8,5,7,8,0,7,7,5,6,10,2,0,0,0,13,0,0,7.0,12.5,25.5,91,52,1139,7
77,Ricky Pearsall,Fla,0,14,7,9,6,3,5,13,0,9,9,8,5,2,0,0,0,0,0,0,7.5,10.7,23.1,90,65,965,4
78,Tanner Knue,EastMi,0,9,7,8,0,9,6,10,4,11,0,7,13,3,0,0,3,0,0,0,7.5,5.3,26.0,90,50,479,3
79,Keon Coleman,FlaSt,0,11,6,3,9,0,5,11,6,12,0,9,5,6,7,0,0,0,0,0,7.5,7.3,20.6,90,50,658,11
80,Eric McAlister,Boise,0,15,7,8,7,10,9,5,0,10,19,0,0,0,0,0,0,0,0,0,10.0,9.7,25.0,90,47,873,5
81,Will Sheppard,Vandy,8,8,14,9,10,8,7,4,0,5,10,2,0,5,0,0,0,0,0,0,7.5,7.6,23.7,90,47,684,8
82,Brian Thomas,LSU,0,9,7,8,7,10,5,2,3,0,6,8,4,8,0,0,0,0,12,0,6.8,13.2,21.8,89,68,1177,17
83,Kyle Williams,WashSt,0,6,4,2,7,0,11,11,7,12,5,9,6,9,0,0,0,0,0,0,7.4,9.5,17.8,89,61,842,6
84,Reggie Brown,JMU,0,5,7,8,8,5,0,6,8,13,3,9,8,4,0,0,0,5,0,0,6.8,11.8,21.2,89,53,1054,9
85,Jimmy Horn,Colo,0,13,9,10,4,8,8,6,0,10,6,4,5,5,0,0,0,0,0,0,7.3,6.4,18.9,88,58,567,6
86,CJ Daniels,Lib,0,3,6,7,2,0,9,6,7,5,6,9,2,5,9,0,0,0,11,0,6.2,12.3,29.6,87,55,1067,10
87,KeAndre Lambert-Smith,PSU,0,7,6,5,11,8,0,9,13,8,12,4,0,3,0,0,1,0,0,0,6.7,7.7,21.4,87,53,673,4
88,Jalen Moss,Fres,0,7,4,10,9,4,11,7,0,11,4,7,4,3,0,0,5,0,0,0,6.6,8.2,17.2,86,55,706,6
89,Phillip Brooks,KanSt,0,7,9,8,10,0,8,5,8,5,6,5,4,11,0,0,0,0,0,0,7.2,6.8,21.0,86,53,589,5
90,Ashtyn Hawkins,TxSt,0,8,7,4,8,5,11,8,0,5,3,2,11,6,0,0,0,0,7,0,6.5,10.3,20.0,85,55,874,3
91,Jerjuan Newton,Toledo,0,8,4,6,7,2,6,6,7,0,3,6,7,4,9,0,0,0,10,0,6.1,8.2,23.0,85,52,696,9
92,Jalon Calhoun,Duke,0,10,4,6,7,9,0,1,5,10,8,7,6,10,0,0,0,2,0,0,6.5,7.8,24.6,85,50,666,4
93,Barion Brown,Kty,0,6,10,5,7,7,4,7,0,7,9,3,10,4,0,0,0,0,6,0,6.5,6.3,22.9,85,43,539,4
94,Jeshaun Jones,MD,0,6,7,8,2,8,7,6,0,10,6,8,4,6,0,0,0,0,6,0,6.5,9.4,17.9,84,56,790,4
95,Demeer Blankumsee,Mem,0,6,3,3,11,9,0,9,1,6,9,8,12,4,0,0,0,0,3,0,6.5,10.7,17.9,84,53,901,7
96,Jayden Higgins,IaSt,0,1,14,6,4,7,1,9,0,9,5,6,7,2,0,0,0,0,13,0,6.5,11.7,22.4,84,53,983,6
97,Cyrus Allen,LaTech,8,1,0,10,11,4,6,11,0,5,7,10,11,0,0,0,0,0,0,0,7.6,9.3,20.0,84,46,778,4
98,Bub Means,Pitt,0,3,11,4,4,4,0,6,17,6,10,5,5,9,0,0,0,0,0,0,7.0,8.6,23.9,84,41,721,6
99,Jamaal Pritchett,USA,0,7,5,0,6,7,6,0,6,16,7,5,3,4,0,0,0,11,0,0,6.4,10.6,20.0,83,57,883,8
100,Trayvon Rudolph,NIU,0,4,5,1,5,6,5,4,13,0,10,8,9,4,0,0,0,9,0,0,6.4,6.4,23.0,83,51,531,2
101,Brett Buckman,UConn,0,3,11,10,8,5,2,0,7,2,11,15,7,2,0,0,0,0,0,0,6.9,5.9,21.7,83,46,488,2
102,Corey Rucker,ArkSt,0,4,11,7,3,4,7,0,8,9,3,3,3,11,0,0,0,10,0,0,6.4,8.5,22.4,83,36,705,2
103,Dayton Wade,Miss,0,3,10,5,6,10,7,0,1,9,6,5,9,6,0,0,0,0,5,0,6.3,10.1,20.8,82,55,830,4
104,Elijah Metcalf,MiddTn,0,4,7,3,14,11,5,7,6,0,11,4,4,6,0,0,0,0,0,0,6.8,7.7,18.9,82,54,634,6
105,Eric Singleton Jr.,GaTech,0,2,6,11,9,7,3,0,0,9,8,12,5,7,0,0,0,3,0,0,6.8,8.7,22.5,82,48,714,6
106,Lewis Bond,BC,0,7,6,5,8,9,2,0,8,4,8,3,6,9,0,0,0,0,6,0,6.2,8.0,22.9,81,52,646,7
107,Kobe Hudson,UCF,0,4,7,9,6,2,1,0,4,8,8,5,9,12,0,0,0,6,0,0,6.2,11.1,22.7,81,44,900,8
108,Cameron Ross,UConn,0,4,11,7,4,9,5,0,10,7,7,4,6,7,0,0,0,0,0,0,6.8,6.8,21.2,81,44,552,2
109,Jared Brown,CoastC,0,9,8,4,7,11,0,2,4,6,3,8,10,8,0,0,0,0,0,0,6.7,9.3,19.8,80,58,740,4
110,Andrew Armstrong,Ark,0,7,6,9,7,5,9,5,8,0,4,5,8,7,0,0,0,0,0,0,6.7,9.6,24.7,80,56,764,5
111,Ainias Smith,TexA&M,0,3,7,8,10,4,8,2,0,7,10,7,2,12,0,0,0,0,0,0,6.7,9.9,19.1,80,53,795,2
112,Theo Wease,Missou,0,6,2,11,3,13,8,7,3,0,11,2,4,2,0,0,0,0,8,0,6.2,8.5,22.0,80,49,682,6
113,Bryce Kirtz,NW,0,0,5,8,12,6,5,0,7,3,3,10,5,8,0,0,0,8,0,0,6.7,8.8,21.4,80,49,701,5
114,Nick Nash,SJSU,8,11,2,10,8,0,8,3,3,11,0,5,4,3,0,0,0,4,0,0,6.2,9.1,21.7,80,48,728,8
115,Tai Felton,MD,0,4,5,5,6,9,8,6,0,9,5,7,8,6,0,0,0,0,2,0,6.2,9.0,17.0,80,48,723,6
116,Jaylen Johnson,ECU,0,8,8,6,8,8,0,4,10,10,5,4,6,3,0,0,0,0,0,0,6.7,5.8,21.0,80,45,466,2
117,Odieu Hiliare,BGSU,0,8,6,5,5,8,5,0,2,0,5,3,10,7,0,0,0,0,16,0,6.2,6.7,23.3,80,45,532,4
118,Jacob De Jesus,UNLV,0,4,6,6,4,5,0,3,9,5,1,4,5,7,10,0,0,0,10,0,5.6,7.7,19.8,79,60,606,2
119,Chase Sowell,ECU,0,0,2,6,5,10,0,12,6,9,4,8,9,8,0,0,0,0,0,0,6.6,7.9,20.7,79,47,622,1
120,Justus Ross-Simmons,ColoSt,0,7,0,7,11,6,5,0,5,13,6,6,7,6,0,0,0,0,0,0,6.6,9.2,16.1,79,45,724,3
121,Jakarius Caston,SouMis,0,7,5,6,5,7,11,0,7,10,4,7,4,6,0,0,0,0,0,0,6.6,7.9,22.6,79,33,621,6
122,Jalil Farooq,Okla,0,2,2,6,6,10,6,0,6,5,10,5,9,4,0,0,0,0,7,0,6.0,8.9,17.5,78,45,694,2
123,Nico Ragaini,Iowa,0,6,3,3,2,4,2,4,8,0,3,11,8,10,6,0,0,0,8,0,5.6,3.3,22.9,78,31,255,0
124,Tahj Washington,USC,2,3,4,0,2,9,5,8,8,6,9,6,8,0,0,0,0,0,7,0,5.9,13.8,17.2,77,59,1062,8
125,Travis Hunter,Colo,0,14,7,2,0,0,0,19,0,5,11,6,4,9,0,0,0,0,0,0,8.6,9.4,16.6,77,57,721,5
126,Phoenix Sproles,JMU,0,2,9,1,4,3,0,5,10,7,4,5,5,13,0,0,0,9,0,0,5.9,5.7,18.3,77,52,442,5
127,Casey Washington,Ill,0,5,4,6,2,2,8,5,8,0,3,7,15,12,0,0,0,0,0,0,6.4,8.7,18.9,77,49,670,4
128,Donaven McCulley,Ind,0,2,6,8,4,7,0,4,3,6,8,13,7,9,0,0,0,0,0,0,6.4,8.4,21.1,77,48,644,6
129,Isaiah Bond,Ala,0,6,4,8,3,1,9,5,4,0,7,4,6,8,7,0,0,0,5,0,5.5,8.7,24.3,77,48,668,4
130,Miles Cross,Ohio,12,1,3,0,4,0,11,5,9,12,0,8,5,7,0,0,0,0,0,0,7.0,8.0,20.4,77,47,617,5
131,JP Richardson,TCU,0,8,1,8,3,4,6,9,6,0,10,4,7,11,0,0,0,0,0,0,6.4,7.0,15.5,77,46,536,3
132,Montorie Foster,MSU,0,3,4,4,11,11,0,7,5,7,8,3,8,6,0,0,0,0,0,0,6.4,7.5,21.2,77,43,576,3
133,Dante Wright,Temple,0,12,10,5,0,2,10,4,3,0,4,6,12,9,0,0,0,0,0,0,7.0,6.6,15.4,77,39,507,4
134,Junior Vandeross,Toledo,0,13,3,2,3,5,5,9,2,0,4,2,5,4,10,0,0,0,9,0,5.4,8.7,20.6,76,47,664,4
135,Jordan Watkins,Miss,0,6,8,6,13,6,8,0,0,6,7,4,8,3,0,0,0,0,0,0,5.8,9.9,19.0,75,53,741,3
136,Lideatrick Griffin,MissSt,0,4,7,6,11,5,4,0,4,5,11,4,6,8,0,0,0,0,0,0,6.3,8.8,22.3,75,50,658,4
137,Kamdyn Benjamin,Tulsa,0,1,4,2,7,2,5,0,5,4,8,13,16,8,0,0,0,0,0,0,6.3,9.7,23.4,75,47,727,6
138,Konata Mumpfield,Pitt,0,5,4,4,12,4,0,9,9,7,8,7,3,3,0,0,0,0,0,0,6.3,7.7,21.3,75,44,576,5
139,Dane Key,Kty,0,8,9,3,7,2,6,3,0,8,6,6,5,6,0,0,0,0,6,0,5.8,8.5,20.2,75,42,636,6
140,Da'Quan Felton,VaTech,0,4,6,11,7,7,2,4,0,8,4,4,10,6,0,0,2,0,0,0,5.8,8.9,21.5,75,38,667,8
141,J. Michael Sturdivant,UCLA,0,10,2,2,7,0,13,6,8,1,7,2,6,4,0,0,7,0,0,0,5.8,8.0,18.6,75,36,597,4
142,Eugene Wilson,Fla,0,2,4,6,0,0,10,9,0,12,9,8,9,5,0,0,0,0,0,0,7.4,7.3,19.0,74,61,538,6
143,Anthony Gould,OreSt,0,3,0,5,6,6,9,9,0,6,3,4,11,12,0,0,0,0,0,0,6.7,9.7,19.5,74,44,718,2
144,Monaray Baldwin,Baylor,0,5,1,3,7,8,9,0,10,12,4,9,6,0,0,0,0,0,0,0,6.2,8.4,17.0,74,38,623,4
145,Zae Baines,Temple,0,8,6,5,11,9,0,2,3,0,9,6,8,7,0,0,0,0,0,0,6.7,6.0,14.8,74,36,442,1
146,Dominic Lovett,UGa,0,6,4,8,5,4,3,10,0,5,7,6,3,6,2,0,0,0,4,0,5.2,8.4,16.2,73,54,613,4
147,Devaughn Vele,Utah,0,3,10,0,2,5,0,5,7,10,10,6,15,0,0,0,0,0,0,0,7.3,8.1,22.9,73,43,593,3
148,Luke Floriea,KentSt,0,7,3,2,2,5,2,7,2,0,6,17,8,12,0,0,0,0,0,0,6.1,5.5,23.9,73,39,405,4
149,Jerand Bradley,TxTch,0,14,9,8,10,3,2,9,5,0,4,4,3,2,0,0,0,0,0,0,6.1,5.9,15.6,73,36,431,4
150,Mac Dalena,Fres,0,5,8,3,3,6,10,1,0,4,8,9,5,7,0,0,3,0,0,0,5.5,7.1,14.4,72,47,509,3
151,Chris Brazzell,Tulane,0,4,3,4,6,5,0,4,3,6,5,5,9,10,8,0,0,0,0,0,5.5,9.9,20.1,72,44,711,5
152,Chase Roberts,BYU,0,7,7,3,11,8,0,6,4,6,8,5,4,3,0,0,0,0,0,0,6.0,8.0,18.4,72,42,573,5
153,Devontez Walker,UNC,0,0,0,0,0,0,8,8,16,6,3,11,12,8,0,0,0,0,0,0,9.0,9.7,15.9,72,41,699,7
154,Trond Grizzell,Cal,0,3,6,4,5,5,3,4,0,9,12,2,10,3,0,0,6,0,0,0,5.5,8.2,16.7,72,39,593,5
155,Bryson Green,Wisc,0,5,6,5,3,0,3,9,7,10,7,4,0,0,0,0,0,0,13,0,6.5,6.7,15.6,72,32,480,2
156,Dalvin Smith,WestKy,0,11,1,0,0,5,5,0,4,10,5,6,8,4,0,0,12,0,0,0,6.5,7.2,13.1,71,50,513,6
157,Johnny Wilson,FlaSt,0,9,5,7,11,0,4,0,6,0,0,8,6,11,4,0,0,0,0,0,7.1,8.7,16.3,71,41,617,2
158,Marlyn Johnson,Buff,0,6,8,8,6,4,5,3,7,0,11,5,1,7,0,0,0,0,0,0,5.9,7.0,18.8,71,40,495,4
159,Cornelius Johnson,Mich,0,6,6,4,2,3,4,2,4,0,7,2,5,5,9,0,0,0,4,7,4.7,8.6,19.4,70,47,604,1
160,Louis Brown,ColoSt,0,18,0,20,8,0,24,12,12,16,12,6,2,10,0,0,0,0,0,0,5.8,6.9,14.2,70,47,481,5
161,Louis Brown IV,ColoSt,0,18,0,20,8,0,24,12,12,16,12,6,2,10,0,0,0,0,0,0,5.8,6.9,14.2,70,47,481,5
162,Brenden Rice,USC,1,4,1,0,9,7,6,6,6,4,5,10,11,0,0,0,0,0,0,0,5.8,11.3,15.6,70,45,791,12
163,A.J. Henning,NW,0,7,5,8,9,1,0,0,6,6,5,4,6,6,0,0,0,7,0,0,5.8,6.0,18.8,70,45,418,4
164,Chrishon McCray,KentSt,0,6,6,3,3,14,10,11,11,0,6,0,0,0,0,0,0,0,0,0,7.8,8.7,23.0,70,41,610,4
165,Chris Lewis,Troy,0,1,9,8,5,2,3,4,0,6,5,6,6,6,5,0,0,4,0,0,5.0,10.5,15.6,70,32,735,10
166,Caleb Medford,NM,0,2,2,5,4,7,0,7,3,11,4,5,11,9,0,0,0,0,0,0,5.8,7.9,20.1,70,30,551,2
167,Colbie Young,Mia-Fl,0,4,8,7,3,0,5,5,8,3,8,7,7,4,0,0,0,0,0,0,5.8,8.2,16.0,69,47,563,5
168,J.J. Jones,UNC,0,2,8,4,8,0,4,4,9,4,4,3,10,5,0,0,0,0,4,0,5.3,10.3,15.2,69,46,711,3
169,Nate McCollum,UNC,0,0,1,21,5,0,8,7,10,2,0,4,6,0,0,0,0,0,5,0,6.9,6.8,15.2,69,44,469,1
170,Tayvion Robinson,Kty,0,5,6,5,4,4,6,2,0,6,6,7,9,2,0,0,0,0,7,0,5.3,8.0,18.6,69,41,552,4
171,Jaylin Lane,VaTech,0,6,7,0,5,5,8,6,0,8,5,4,7,3,0,0,0,0,5,0,5.8,7.8,19.8,69,41,538,6
172,Tailique Williams,GaSt,0,3,4,5,6,3,0,7,7,6,5,9,5,4,0,0,0,4,0,0,5.2,9.0,18.8,68,49,615,6
173,Gage Larvadain,Mia-O,0,12,12,2,1,0,0,11,11,4,0,6,0,0,4,0,5,0,0,0,6.8,10.0,23.5,68,42,679,6
174,Taylor Morin,Wake,0,6,6,8,8,0,1,10,3,2,5,7,1,11,0,0,0,0,0,0,5.7,9.1,21.3,68,41,617,2
175,Tiaquelin Mims,SouMis,0,4,6,2,7,6,4,0,2,16,6,3,5,7,0,0,0,0,0,0,5.7,6.5,19.5,68,39,445,2
176,Perry Carter,JacSt,0,4,4,0,5,6,7,6,4,4,8,0,4,9,0,0,7,0,0,0,5.2,9.9,19.8,68,38,672,4
177,Holden Willis,MiddTn,0,2,2,0,10,8,8,6,6,0,4,5,10,6,0,0,0,0,0,0,6.1,10.4,15.4,67,46,697,5
178,Braden Smith,Cin,0,6,7,4,6,6,0,8,7,5,6,5,3,4,0,0,0,0,0,0,5.6,8.3,18.6,67,43,557,4
179,Pat Bryant,Ill,0,6,5,3,7,6,6,3,3,0,9,7,7,5,0,0,0,0,0,0,5.6,8.4,16.4,67,43,560,7
180,Kaden Prather,MD,0,4,7,3,8,6,7,10,0,5,4,6,4,1,0,0,0,0,2,0,5.2,9.9,14.3,67,42,666,5
181,Beaux Collins,Clem,0,7,9,3,8,4,7,0,8,10,5,5,1,0,0,0,0,0,0,0,6.1,7.6,14.3,67,38,510,3
182,Isaac TeSlaa,Ark,0,4,4,8,5,5,7,7,4,0,9,6,6,2,0,0,0,0,0,0,5.6,5.2,20.7,67,34,351,2
183,Boobie Curry,Buff,0,4,4,8,3,7,6,3,9,0,8,5,5,5,0,0,0,0,0,0,5.6,4.5,17.8,67,29,303,1
