,,,Week-By-Week Targets,,,,,,,,,,,,,,,,,,,,Averages,,,Receiving Totals,,,
Rank,Name,Team,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TAR/G,YDS/TAR,TM TAR %,TAR,REC,YDS,TD
1,Preston Williams,ColoSt,15,11,21,15,11,0,9,14,16,18,0,17,10,18,0,0,0,0,0,0,14.6,7.7,36.4,175,96,1345,14
2,Trevon Brown,ECU,0,17,10,0,15,8,8,22,18,0,22,27,8,9,10,0,0,0,0,0,14.5,6.5,33.0,174,74,1123,9
3,Rondale Moore,Purdue,0,16,6,13,10,9,0,6,18,17,10,13,15,15,0,0,0,0,12,0,12.3,7.9,32.9,160,114,1258,12
4,Tylan Wallace,OkSt,0,7,15,9,14,6,11,9,0,17,14,17,13,12,0,0,0,0,14,0,12.2,9.4,33.2,158,86,1491,12
5,John Ursua,Hawaii,11,13,16,11,8,21,9,12,12,7,12,0,10,10,0,0,0,0,0,0,11.7,8.8,28.5,152,89,1343,16
6,Andy Isabella,UMass,5,6,12,12,9,18,16,0,18,7,15,16,17,0,0,0,0,0,0,0,12.6,11.2,38.1,151,102,1698,13
7,James Proche,SMU,0,6,11,18,11,6,16,0,13,10,16,8,19,16,0,0,0,0,0,0,12.5,8.0,34.5,150,93,1199,12
8,Tyre Brady,Marsh,0,15,14,0,11,15,16,16,9,0,11,9,9,7,6,0,0,7,0,0,11.2,6.9,35.5,145,71,1002,9
9,Olamide Zaccheaus,UVa,0,10,11,10,8,15,0,4,13,11,7,11,12,10,0,0,0,0,14,0,10.5,7.8,40.4,136,93,1058,9
10,Jalen Reagor,TCU,0,8,10,12,17,10,0,13,7,13,11,18,4,10,0,0,0,0,2,0,10.4,7.9,35.5,135,72,1061,9
11,KeeSean Johnson,Fres,0,9,10,12,0,6,10,8,11,9,9,11,11,10,13,0,5,0,0,0,9.6,10.0,31.8,134,95,1340,8
12,Dillon Mitchell,Oregon,0,5,3,5,17,9,0,15,14,15,13,11,11,2,0,0,0,0,13,0,10.2,8.9,31.9,133,75,1184,10
13,Jonathan Duhart,ODU,0,15,10,9,14,13,11,14,9,9,0,9,4,16,0,0,0,0,0,0,11.1,7.9,29.2,133,74,1045,9
14,Antoine Wesley,TxTch,0,10,5,18,9,14,0,8,11,13,14,11,9,10,0,0,0,0,0,0,11.0,10.7,25.4,132,88,1410,9
15,Tyler Johnson,Minn,0,13,10,12,9,0,13,14,15,5,11,5,12,6,0,0,0,0,6,0,10.1,8.9,39.6,131,78,1169,12
16,Antonio Gandy-Golden,Lib,0,8,9,0,11,18,15,0,13,0,14,9,10,14,10,0,0,0,0,0,11.9,7.9,30.1,131,71,1037,10
