,,,Week-By-Week Targets,,,,,,,,,,,,,,,,,,,,Averages,,,Receiving Totals,,,
17,Greg Dortch,Wake,0,18,12,19,8,11,7,0,5,10,13,6,10,11,0,0,0,0,0,0,10.8,8.3,31.3,130,89,1078,8
18,Adrian Hardy,LaTech,0,8,11,0,14,14,5,8,6,9,5,10,15,14,0,0,0,11,0,0,10.0,8.8,28.8,130,75,1145,6
19,Lil'Jordan Humphrey,Tex,0,9,9,9,7,5,11,10,0,8,10,14,7,6,11,0,0,0,0,8,8.9,9.5,26.8,124,86,1176,9
20,Jakobi Meyers,NCSU,0,15,0,0,6,4,10,0,10,10,11,13,10,10,19,0,0,0,4,0,10.2,8.6,25.3,122,92,1047,4
21,Kalija Lipscomb,Vandy,0,7,11,19,12,12,4,6,7,7,0,10,11,9,0,0,0,0,7,0,9.4,7.5,30.8,122,87,916,9
22,Cedric Byrd,Hawaii,14,13,5,7,10,7,4,11,8,7,10,0,7,8,0,0,0,11,0,0,8.7,8.0,22.8,122,79,970,9
23,A.J. Brown,Miss,0,9,9,8,8,14,10,8,14,0,11,8,16,6,0,0,0,0,0,0,10.1,10.9,28.4,121,85,1320,6
24,David Sills,WVU,0,12,4,0,13,8,14,3,0,10,11,12,12,12,0,0,0,0,9,0,10.0,8.2,27.8,120,65,986,15
25,Kelvin Harmon,NCSU,0,10,12,0,9,10,11,0,6,14,4,17,11,6,9,0,0,0,0,0,9.9,10.0,24.6,119,81,1186,7
26,Damonte Coxie,Mem,0,6,10,7,9,11,2,11,12,0,13,9,4,6,8,0,0,11,0,0,8.5,9.9,31.0,119,72,1174,7
27,Marquez Stevenson,Hou,0,7,5,13,7,0,7,9,13,11,6,10,8,11,0,0,0,9,0,0,8.9,8.8,25.1,116,75,1019,9
28,Austin Trammell,Rice,6,12,9,0,12,10,5,7,6,15,17,9,5,2,0,0,0,0,0,0,8.8,5.5,32.5,115,62,632,3
29,N'Keal Harry,AriSt,0,9,9,14,8,8,5,0,14,7,9,9,15,7,0,0,0,0,0,0,9.5,9.5,31.7,114,73,1088,9
30,Sean Modster,Boise,0,9,8,7,0,14,13,8,3,10,8,6,14,6,8,0,0,0,0,0,8.8,8.6,25.4,114,68,978,8
31,Stanley Morgan,Neb,0,0,8,8,3,8,13,5,13,10,10,10,13,12,0,0,0,0,0,0,9.4,8.9,29.5,113,70,1004,7
32,Hakeem Butler,IaSt,0,0,10,10,9,8,4,9,0,8,8,4,14,9,6,0,0,0,14,0,8.7,11.7,33.1,113,60,1318,9
33,Parris Campbell,OhioSt,0,5,7,3,9,9,12,11,11,0,4,6,6,9,8,0,0,0,0,12,8.0,9.5,20.9,112,90,1063,12
34,Kirk Merritt,ArkSt,0,6,10,4,9,11,0,15,5,6,8,12,7,7,0,0,0,0,12,0,8.6,9.0,25.1,112,83,1005,7
35,Scott Miller,BGSU,0,20,7,0,7,16,5,14,8,0,11,10,8,5,0,0,0,0,0,0,10.1,10.3,28.8,111,71,1148,9
36,DaMarkus Lodge,Miss,0,9,0,7,10,7,9,12,12,0,12,11,15,7,0,0,0,0,0,0,10.1,7.9,26.1,111,65,877,4
37,Laviska Shenault,Colo,0,12,14,5,0,13,16,14,0,0,0,13,13,10,0,0,0,0,0,0,12.2,9.2,28.6,110,86,1011,6
38,T.J. Rahming,Duke,0,6,7,6,5,5,0,4,8,14,10,13,12,3,0,0,0,0,17,0,8.5,7.4,24.6,110,75,811,8
39,Jalen Hurd,Baylor,0,6,10,14,5,13,16,10,0,5,9,8,8,6,0,0,0,0,0,0,9.2,8.6,23.8,110,69,946,4
40,Quez Watkins,SouMis,0,8,13,0,8,12,0,12,8,8,7,17,11,5,0,0,0,0,0,0,9.9,8.2,28.5,109,72,889,9
41,Rico Bussey,NorTx,0,10,11,11,5,15,11,4,9,9,0,9,9,6,0,0,0,0,0,0,9.1,9.3,22.9,109,68,1017,12
42,Collin Johnson,Tex,0,7,5,11,9,6,8,14,0,13,4,0,4,8,14,0,0,0,0,6,8.4,9.0,23.6,109,68,985,7
43,Travis Fulgham,ODU,0,2,3,9,14,6,13,7,10,14,0,18,2,11,0,0,0,0,0,0,9.1,9.9,24.0,109,63,1083,9
44,Johnathan Boone,NMSt,4,16,3,10,7,0,6,7,9,15,7,0,12,13,0,0,0,0,0,0,9.1,6.6,21.5,109,59,715,3
45,K.J. Osborn,Buff,0,10,8,7,6,9,10,10,15,0,8,3,0,3,10,0,0,9,0,0,8.3,8.3,27.3,108,53,892,7
46,Justin Hall,BallSt,0,8,12,2,13,4,11,6,13,9,12,0,12,5,0,0,0,0,0,0,8.9,5.8,24.1,107,69,622,0
47,Flynn Nagel,NW,0,6,18,8,0,7,14,15,12,10,6,4,1,0,4,0,0,0,2,0,8.2,7.3,21.7,107,68,780,2
48,Riley Miller,BallSt,0,5,14,4,12,16,14,6,5,8,9,0,7,7,0,0,0,0,0,0,8.9,8.2,24.1,107,61,878,7
49,Teddy Veal,LaTech,0,4,5,0,8,7,6,9,13,12,6,11,12,0,0,0,0,13,0,0,8.8,6.8,23.5,106,70,716,1
50,Aaron Fuller,Wash,0,12,9,10,4,9,10,3,8,6,11,0,2,0,7,0,0,0,0,15,7.6,8.2,27.2,106,58,874,4
51,JoJo Ward,Hawaii,3,7,4,3,13,19,6,4,8,7,8,0,11,10,0,0,0,3,0,0,7.6,8.2,19.9,106,51,865,9
52,Jerry Jeudy,Ala,0,7,4,4,8,4,4,5,9,0,13,11,8,7,7,0,0,0,5,8,6.9,12.6,24.4,104,68,1315,14
53,Jovon Durante,FlaAtl,0,8,13,7,10,5,9,0,12,7,6,10,12,5,0,0,0,0,0,0,8.7,8.4,29.4,104,65,873,5
54,Papi White,Ohio,0,12,0,10,11,8,6,7,3,6,4,10,12,7,0,0,0,8,0,0,8.0,9.5,36.0,104,62,987,9
55,Reggie Roberson,SMU,0,7,6,0,8,5,0,0,14,17,12,10,16,9,0,0,0,0,0,0,10.4,7.7,23.9,104,52,802,6
56,Marquise Brown,Okla,0,8,10,12,0,5,9,0,7,2,10,9,9,11,10,0,0,0,0,0,8.5,12.9,27.2,102,75,1318,10
57,Tyler Vaughns,USC,0,12,13,7,10,3,0,8,2,7,7,14,5,14,0,0,0,0,0,0,8.5,6.6,26.9,102,58,674,6
58,Tay Martin,WashSt,0,11,10,16,4,9,9,0,10,7,3,5,9,3,0,0,0,0,5,0,7.8,6.8,15.3,101,69,685,8
59,Deebo Samuel,SCar,0,9,10,0,11,8,9,11,0,3,7,6,6,14,7,0,0,0,0,0,8.4,8.7,23.9,101,62,882,11
60,Miles Boykin,ND,0,2,9,4,2,14,13,5,0,5,11,8,10,8,0,0,0,0,9,0,7.7,8.7,24.9,100,59,872,8
61,Rashod Bateman,Minn,0,7,7,6,11,0,11,6,10,6,12,5,9,4,0,0,0,0,6,0,7.7,7.0,30.2,100,51,704,6
62,Ty Lee,MiddTn,0,6,8,3,0,8,6,7,9,7,9,11,7,7,7,0,4,0,0,0,7.1,8.9,21.2,99,71,883,7
63,K.J. Hill,OhioSt,0,6,5,7,5,7,7,10,14,0,7,7,9,6,2,0,0,0,0,7,7.1,8.9,18.5,99,70,885,6
64,Kaleb Fossum,Nevada,0,7,7,4,18,6,18,8,6,5,0,3,6,9,0,0,0,0,2,0,7.6,7.4,21.1,99,70,734,1
65,Ron'quavion Tarver,UtahSt,0,6,8,5,14,0,4,8,5,10,6,9,7,8,0,0,9,0,0,0,7.6,7.2,22.4,99,66,709,8
66,Justin McInnis,ArkSt,0,5,7,9,3,9,0,11,9,6,14,5,5,7,0,0,0,0,9,0,7.6,7.6,22.1,99,61,748,5
67,Anthony Johnson,Buff,0,4,9,7,4,0,0,4,8,0,13,6,11,9,13,0,0,11,0,0,8.3,10.2,25.0,99,57,1011,11
68,JJ Arcega-Whiteside,Stan,0,8,6,5,5,9,13,0,9,13,2,0,0,12,9,0,0,0,6,0,8.1,10.9,23.7,97,63,1059,14
69,Tyron Johnson,OkSt,0,2,8,5,9,3,8,8,0,2,14,14,8,6,0,0,0,0,10,0,7.5,8.7,20.4,97,53,845,7
70,Damon Hazelton,VaTech,0,6,5,0,12,8,17,12,0,7,5,7,9,0,1,0,0,0,8,0,7.5,8.3,23.8,97,51,802,8
71,DJ Stubbs,Lib,0,10,4,0,9,8,17,6,13,0,9,5,5,8,3,0,0,0,0,0,8.1,6.5,22.3,97,50,631,1
72,Jamarius Way,USA,0,6,11,14,11,9,5,4,0,7,5,7,10,7,0,0,0,0,0,0,8.0,8.9,31.5,96,61,855,8
73,Greg Campbell,Tx-SA,0,6,6,7,13,7,3,0,8,0,11,5,13,17,0,0,0,0,0,0,8.7,6.9,26.4,96,58,658,2
74,Jalen Guyton,NorTx,0,12,13,3,8,9,3,10,8,3,0,6,7,7,0,0,7,0,0,0,7.4,8.4,20.1,96,54,805,6
75,Tee Higgins,Clem,0,6,6,4,2,10,5,0,9,10,4,6,8,9,6,0,0,0,6,4,6.3,9.9,19.9,95,59,936,12
76,Steven Sims Jr.,Kansas,0,9,6,5,8,11,7,0,8,4,9,6,6,16,0,0,0,0,0,0,7.9,5.6,26.5,95,53,535,4
77,Jamal Custis,Syr,0,10,6,7,3,8,8,0,13,5,11,7,2,6,0,0,0,0,9,0,7.3,9.5,22.2,95,51,906,6
78,Tyre McCants,USF,0,10,11,6,4,0,6,12,9,2,13,6,7,4,0,0,0,4,0,0,7.2,6.6,23.4,94,59,622,3
79,McLane Mannix,Nevada,0,6,13,8,10,4,7,8,5,5,0,10,5,13,0,0,0,0,0,0,7.8,9.3,20.0,94,50,875,7
80,Andre Williams,Akron,0,0,5,5,9,0,12,7,11,9,14,3,8,11,0,0,0,0,0,0,8.5,6.9,26.7,94,46,649,6
81,Timmy Hernandez,OreSt,0,5,2,19,5,8,8,0,5,11,8,4,6,12,0,0,0,0,0,0,7.8,7.1,22.9,93,58,661,3
82,Denzel Mims,Baylor,0,5,12,0,4,16,10,6,0,7,1,9,5,7,0,0,0,0,11,0,7.8,8.5,20.1,93,55,794,8
83,Bryan Edwards,SCar,0,4,10,0,4,7,12,8,0,5,4,7,5,11,9,0,0,0,7,0,7.2,9.1,22.0,93,55,846,7
84,Justin Jefferson,LSU,0,8,3,9,4,6,9,8,7,0,9,7,7,8,0,0,0,0,0,8,7.2,9.4,26.3,93,54,875,6
85,Diontae Johnson,Toledo,0,2,0,8,7,6,9,8,6,8,7,12,5,5,0,0,0,10,0,0,7.2,8.2,24.8,93,49,761,8
86,JD Spielman,Neb,0,0,7,7,7,11,15,10,9,6,9,11,0,0,0,0,0,0,0,0,9.2,8.9,24.0,92,66,818,8
87,D.J. Brown,NIU,0,8,7,5,15,6,7,7,0,2,6,2,11,6,6,0,0,3,0,0,6.5,5.5,24.1,91,57,496,5
88,Cody Thompson,Toledo,0,5,0,3,7,4,7,8,4,9,7,16,2,7,0,0,0,12,0,0,7.0,7.1,24.3,91,48,647,10
89,Darrell Stewart,MSU,0,11,7,0,5,0,4,0,8,12,6,5,9,11,0,0,0,0,13,0,8.3,4.5,19.7,91,48,413,1
90,CeeDee Lamb,Okla,0,2,9,4,5,4,8,0,6,4,9,5,8,7,8,0,0,0,11,0,6.4,12.9,24.0,90,65,1158,11
91,Johnathon Johnson,Missou,0,4,10,5,8,0,6,6,4,7,6,7,9,3,0,0,0,0,15,0,6.9,8.2,20.9,90,59,737,5
92,Johnathan Lloyd,Duke,0,2,6,7,3,9,0,5,8,9,8,8,10,7,0,0,0,0,8,0,6.9,6.7,20.1,90,51,604,5
93,Isaiah Hodgins,OreSt,0,3,6,18,3,1,0,0,4,17,12,5,6,14,0,0,0,0,0,0,8.1,9.8,21.9,89,59,876,5
94,Victor Tucker,CHAR,0,10,8,13,13,2,0,12,12,7,0,3,5,4,0,0,0,0,0,0,8.1,8.0,30.8,89,54,712,2
95,Gabriel Davis,UCF,0,9,15,0,6,9,6,8,0,0,2,3,5,9,9,0,0,0,0,8,7.4,9.2,25.1,89,53,815,7
96,Ventell Bryant,Temple,0,5,5,8,5,9,1,8,9,0,11,11,9,2,0,0,0,0,6,0,6.8,7.8,21.1,89,51,690,3
97,Sean Riley,Syr,0,3,7,7,7,5,9,0,9,13,10,4,6,6,0,0,0,0,2,0,6.8,8.6,20.6,88,64,756,3
98,Kahlil Lewis,Cin,0,5,1,4,8,5,4,0,5,18,6,8,11,12,0,0,0,0,1,0,6.8,8.9,25.7,88,56,782,9
99,Trevon Bradford,OreSt,0,7,3,0,8,4,13,0,4,9,12,9,10,9,0,0,0,0,0,0,8.0,7.4,21.6,88,56,649,6
100,Nyqwan Murray,FlaSt,0,8,8,4,6,7,5,0,11,11,6,9,7,6,0,0,0,0,0,0,7.3,8.5,20.6,88,54,744,3
101,Marcus Armstrong-Brown,Hawaii,3,0,7,5,5,8,8,9,4,7,9,0,1,12,0,0,0,10,0,0,6.8,6.5,16.5,88,50,573,2
102,Penny Hart,GaSt,0,7,7,9,7,8,12,0,8,10,7,5,5,3,0,0,0,0,0,0,7.3,7.6,26.6,88,49,669,2
103,Anthony Ratliff-Williams,UNC,0,9,10,0,7,5,0,7,15,10,7,7,6,5,0,0,0,0,0,0,8.0,7.8,22.6,88,42,689,2
104,Shun Brown,Ari,0,1,15,5,4,7,6,11,3,12,5,0,10,8,0,0,0,0,0,0,7.3,7.5,25.2,87,64,655,6
105,Blake Banham,EastMi,0,8,8,10,2,8,7,6,3,12,9,4,0,2,0,0,7,0,0,0,6.6,8.8,24.2,86,60,758,5
106,T.J. Vasher,TxTch,0,9,3,10,6,0,0,2,7,10,12,9,8,10,0,0,0,0,0,0,7.8,8.0,16.6,86,54,687,7
107,Jauan Wesley,NIU,0,4,12,2,7,13,4,11,0,5,5,3,6,3,5,0,0,6,0,0,6.1,7.2,22.8,86,54,619,2
108,Darnell Mooney,Tulane,0,12,6,6,5,8,10,0,3,7,3,10,5,9,0,0,2,0,0,0,6.6,11.5,31.2,86,48,993,8
109,B.J. Farrow,Lib,0,9,5,0,12,9,4,16,1,0,0,6,6,6,12,0,0,0,0,0,7.8,6.3,19.8,86,40,546,5
110,Ryan Davis,Auburn,0,8,4,7,6,2,10,11,3,0,5,14,4,5,0,0,0,0,6,0,6.5,6.4,24.3,85,69,546,1
111,Britain Covey,Utah,0,7,10,14,0,6,8,7,6,7,3,8,2,6,1,0,0,0,0,0,6.5,7.5,22.8,85,60,637,1
112,Lucky Jackson,WestKy,0,5,6,6,10,10,0,8,6,7,8,5,11,3,0,0,0,0,0,0,7.1,6.5,20.3,85,50,552,4
113,Marcus Green,UL-Mon,0,10,8,6,5,7,9,6,6,0,6,3,10,9,0,0,0,0,0,0,7.1,10.1,23.2,85,50,855,8
114,Terren Encalade,Tulane,0,12,3,5,7,6,9,0,7,7,6,3,7,6,0,0,7,0,0,0,6.5,8.6,30.8,85,44,727,5
115,Amon-Ra St. Brown,USC,0,8,6,12,5,5,0,9,0,4,7,6,9,13,0,0,0,0,0,0,7.6,8.9,22.2,84,60,750,3
116,Damion Willis,Troy,0,6,9,3,5,6,6,6,0,6,13,5,0,0,0,0,0,19,0,0,7.6,10.4,24.1,84,56,876,10
117,Mike Carrigan,KentSt,0,11,8,7,9,5,5,7,5,0,4,4,9,10,0,0,0,0,0,0,7.0,7.1,21.1,84,45,597,5
118,Ja'Deion High,TxTch,0,8,4,7,9,9,0,6,9,10,3,8,4,6,0,0,0,0,0,0,6.9,9.7,16.0,83,62,804,4
119,Patrick Smith,MiddTn,0,2,7,11,0,6,8,5,2,5,11,3,6,5,7,0,5,0,0,0,5.9,6.8,17.7,83,57,565,6
120,Isaac Zico,Purdue,0,4,0,7,7,9,0,9,4,9,6,5,10,7,0,0,0,0,6,0,6.9,9.0,17.0,83,46,743,6
121,Keith Corbin,Hou,0,3,9,13,5,0,2,3,9,2,4,14,0,13,0,0,0,6,0,0,6.9,8.3,18.0,83,40,691,10
122,Jayden Reed,WestMi,0,9,4,4,7,11,10,10,2,6,5,0,6,8,0,0,0,0,0,0,6.8,9.7,22.2,82,56,797,8
123,OJ Clark,NMSt,10,6,4,7,2,0,11,8,5,5,5,0,10,9,0,0,0,0,0,0,6.8,6.2,16.2,82,52,512,1
124,Sage Surratt,Wake,0,20,6,7,0,2,0,0,9,0,7,14,8,4,0,0,0,5,0,0,8.2,7.1,19.8,82,41,581,4
125,Easop Winston,WashSt,0,6,4,10,8,7,9,0,4,4,9,7,4,3,0,0,0,0,6,0,6.2,8.1,12.3,81,52,654,8
126,Dezmon Patmon,WashSt,0,5,5,7,6,7,3,0,6,11,6,11,3,2,0,0,0,0,8,0,6.2,10.2,12.1,80,61,816,5
127,Trent Irwin,Stan,0,6,7,5,2,6,9,0,8,10,8,8,0,9,2,0,0,0,0,0,6.7,8.6,19.5,80,60,685,2
128,Emeka Emezie,NCSU,0,7,5,0,9,6,0,0,3,9,3,11,7,4,6,0,0,0,10,0,6.7,7.7,16.6,80,53,616,5
129,Vic Wharton,Cal,0,4,6,5,0,8,4,10,10,6,8,3,0,8,8,0,0,0,0,0,6.7,6.3,20.7,80,50,502,1
130,Isaiah McKoy,KentSt,0,0,7,9,9,15,10,11,8,0,6,0,5,0,0,0,0,0,0,0,8.9,5.3,20.1,80,42,423,3
131,Aaron Cephus,Rice,4,9,7,0,7,7,7,6,5,12,3,13,0,0,0,0,0,0,0,0,7.3,7.1,22.6,80,40,565,5
132,Justin Hobbs,Tulsa,0,8,4,5,15,0,10,0,4,7,5,7,7,8,0,0,0,0,0,0,7.3,6.0,26.6,80,39,480,3
133,Olabisi Johnson,ColoSt,9,7,7,7,11,0,5,9,2,7,0,0,8,7,0,0,0,0,0,0,7.2,10.1,16.4,79,54,796,4
134,A.J. Richardson,Boise,0,4,5,10,0,9,7,5,7,4,5,7,1,6,9,0,0,0,0,0,6.1,10.4,17.6,79,54,825,8
135,Antwan Dixon,KentSt,0,6,0,7,11,8,7,3,7,0,8,6,7,9,0,0,0,0,0,0,7.2,6.7,19.8,79,52,532,2
136,Hasise Dubois,UVa,0,4,6,7,5,9,0,6,8,4,4,6,6,5,0,0,0,0,9,0,6.1,7.3,23.4,79,52,578,5
137,Quartney Davis,TexA&M,0,0,3,6,8,1,4,12,0,12,9,6,3,12,0,0,0,0,3,0,6.6,7.4,18.8,79,45,585,7
138,Cody White,MSU,0,6,12,0,5,4,0,0,0,0,5,13,10,11,0,0,0,0,13,0,8.8,7.0,17.1,79,42,555,2
139,KJ Hamler,PSU,0,4,8,3,4,10,0,7,7,7,3,8,9,7,0,0,0,0,0,2,6.1,9.5,22.8,79,42,754,5
140,Spencer Tears,NIU,0,0,0,5,8,0,4,6,0,6,4,8,10,9,10,0,0,9,0,0,7.2,5.3,20.9,79,40,422,4
141,Brandon Presley,UNLV,0,6,2,2,3,0,10,9,11,12,8,3,8,5,0,0,0,0,0,0,6.6,5.5,25.1,79,35,434,3
142,Isaiah Harper,ODU,0,9,7,3,4,3,9,11,4,4,0,9,4,11,0,0,0,0,0,0,6.5,6.1,17.1,78,55,479,1
143,Nick Easley,Iowa,0,0,4,11,2,0,9,6,4,11,6,9,1,5,0,0,0,0,0,10,6.5,6.3,19.9,78,52,494,5
144,Isaiah Zuber,KanSt,0,6,4,9,15,8,9,7,0,3,0,3,5,9,0,0,0,0,0,0,6.5,7.9,29.7,78,52,619,5
145,Chase Claypool,ND,0,7,8,4,6,4,7,5,0,5,10,3,9,6,0,0,0,0,4,0,6.0,8.2,19.4,78,50,639,4
146,Ben Skowronek,NW,0,7,8,10,0,6,8,10,2,5,1,4,3,3,10,0,0,0,1,0,5.6,7.2,15.8,78,45,562,3
147,Corey Sutton,App,0,8,3,0,6,5,0,4,6,7,1,6,5,9,7,0,11,0,0,0,6.0,9.9,26.5,78,44,773,10
148,Michael Pittman,USC,0,4,7,10,4,5,0,7,8,9,0,0,11,13,0,0,0,0,0,0,7.8,9.7,20.6,78,41,758,6
149,Jack Sorenson,Mia-O,0,4,4,5,6,10,3,6,9,0,10,7,10,3,0,0,0,0,0,0,6.4,9.6,22.3,77,53,742,2
150,Romeo Doubs,Nevada,0,0,3,6,6,9,5,7,6,8,0,9,9,6,0,0,0,0,2,0,5.8,7.4,16.2,76,43,562,2
151,Shawn Poindexter,Ari,0,8,12,2,4,3,5,9,12,5,2,0,4,10,0,0,0,0,0,0,6.3,10.0,22.0,76,42,759,11
152,Tamorrion Terry,FlaSt,0,3,3,6,2,7,7,0,3,9,8,12,9,7,0,0,0,0,0,0,6.3,9.8,17.8,76,35,744,8
153,Corey Lacanaria,BallSt,0,3,10,7,9,11,9,4,6,1,5,0,4,6,0,0,0,0,0,0,6.3,7.0,16.9,75,49,524,3
154,Justyn Ross,Clem,0,2,0,5,3,4,6,0,8,4,3,5,5,7,5,0,0,0,8,10,5.4,13.3,15.7,75,46,1000,9
155,Desmond Dan,NMSt,3,14,7,2,0,0,7,4,5,13,2,0,5,13,0,0,0,0,0,0,6.3,6.5,14.8,75,37,491,3
156,Gary Jennings,WVU,0,6,7,0,4,11,5,7,0,3,5,7,9,10,0,0,0,0,0,0,6.7,12.4,17.2,74,54,917,13
157,Dillon Stoner,OkSt,0,6,7,7,3,0,1,1,0,5,6,9,11,9,0,0,0,0,9,0,6.2,8.1,15.5,74,48,603,2
158,K.D. Nixon,Colo,0,6,8,9,0,2,6,11,6,15,2,0,3,5,0,0,0,0,0,0,6.6,8.7,19.0,73,52,636,4
159,Keylon Stokes,Tulsa,0,2,9,7,6,0,7,6,9,5,2,6,7,7,0,0,0,0,0,0,6.1,7.9,24.3,73,41,575,2
160,D'Wayne Eskridge,WestMi,0,11,8,0,0,10,2,7,2,7,3,0,6,13,0,0,0,4,0,0,6.6,10.6,19.7,73,38,776,3
161,Amari Rodgers,Clem,0,4,8,3,6,6,2,0,1,6,3,7,9,5,2,0,0,0,7,3,4.8,8.0,15.1,72,55,575,4
162,Theo Howard,UCLA,0,6,3,5,0,5,11,2,4,8,11,2,7,8,0,0,0,0,0,0,6.0,9.4,18.8,72,51,677,4
163,Chris Finke,ND,0,4,2,8,6,2,5,8,0,3,6,8,6,11,0,0,0,0,3,0,5.5,7.9,17.9,72,49,571,2
164,Donovan Peoples-Jones,Mich,0,7,4,4,3,5,4,5,3,0,5,10,4,8,0,0,0,0,10,0,5.5,8.5,22.0,72,47,612,8
165,Branden Mack,Temple,0,12,5,6,0,7,5,7,7,0,7,3,4,2,0,0,0,0,7,0,6.0,8.3,17.1,72,44,601,5
166,Tre Nixon,UCF,0,7,5,0,8,7,9,8,6,0,9,5,4,0,4,0,0,0,0,0,6.5,7.8,20.3,72,40,562,4
167,Jaylen Smith,Lou,0,6,4,8,7,10,3,3,0,11,7,6,4,3,0,0,0,0,0,0,6.0,7.6,19.7,72,36,550,1
168,Ryheem Malone,UL-Laf,0,5,0,9,4,6,8,6,6,2,3,2,3,8,4,0,5,0,0,0,5.1,7.4,22.3,71,44,525,4
169,Taj Harris,Syr,0,0,2,0,4,5,10,0,9,8,3,8,13,4,0,0,0,0,5,0,6.5,8.0,16.6,71,40,565,3
170,Mathew Sexton,EastMi,0,5,4,11,7,10,0,1,4,2,10,6,0,10,0,0,1,0,0,0,5.9,5.9,19.9,71,37,419,3
171,Darius Slayton,Auburn,0,5,0,6,4,8,12,5,4,0,11,4,0,6,0,0,0,0,6,0,6.5,9.4,20.3,71,35,670,5
172,Andre Baccellia,Wash,0,6,4,3,1,4,2,2,4,7,2,0,5,6,8,0,0,0,0,16,5.0,8.3,18.0,70,55,584,0
173,Nick Westbrook,Ind,0,7,3,4,3,7,9,3,7,5,0,5,7,10,0,0,0,0,0,0,5.8,8.4,15.2,70,42,590,4
174,Devin Duvernay,Tex,0,7,3,3,3,8,7,5,0,7,8,4,4,3,3,0,0,0,0,5,5.0,7.8,15.2,70,41,546,4
175,Ricky Smalling,Ill,0,6,0,7,7,0,3,5,4,8,6,7,5,12,0,0,0,0,0,0,6.4,5.8,23.2,70,33,406,5
176,Henry Ruggs,Ala,0,3,4,4,4,5,1,6,5,0,8,0,7,8,7,0,0,0,3,4,4.9,10.7,16.2,69,46,741,11
177,Willie Wright,FlaAtl,0,7,8,6,6,5,6,0,6,10,1,5,6,3,0,0,0,0,0,0,5.8,6.9,19.5,69,46,474,2
178,Dazz Newsome,UNC,0,3,5,0,7,5,0,7,10,5,5,9,2,11,0,0,0,0,0,0,6.3,7.3,17.7,69,44,506,2
179,Jamire Calvin,WashSt,0,8,7,7,11,5,2,0,2,3,5,6,6,0,0,0,0,0,7,0,5.8,7.2,10.5,69,42,497,1
180,Quin Jernighan,WestKy,0,3,9,6,6,9,0,3,0,0,8,9,10,6,0,0,0,0,0,0,6.9,6.3,16.5,69,41,437,1
181,Chris Platt,Baylor,0,5,6,6,5,5,7,9,0,4,0,4,7,8,0,0,0,0,3,0,5.8,7.4,14.9,69,36,511,1
182,Van Jefferson,Fla,0,7,6,3,0,4,7,8,0,0,14,2,6,4,0,0,0,0,8,0,6.3,7.3,20.4,69,35,503,6
