,,,Week-By-Week Targets,,,,,,,,,,,,,,,,,,,,Averages,,,Receiving Totals,,,
29,JoJo Ward,Hawaii,5,0,14,10,4,7,0,5,10,9,9,10,6,5,4,6,0,0,10,0,7.6,9.9,18.2,114,65,1134,11
30,Taysir Mack,Pitt,0,13,4,16,11,11,16,0,5,5,7,0,11,11,0,0,0,0,4,0,9.5,6.5,22.8,114,63,736,3
31,Jaelon Darden,NorTx,0,13,11,3,6,11,0,8,15,10,10,8,0,5,13,0,0,0,0,0,9.4,6.5,25.5,113,76,736,12
32,Bryan Edwards,SCar,0,7,7,11,15,10,0,7,11,12,16,17,0,0,0,0,0,0,0,0,11.3,7.2,24.8,113,71,816,6
33,Austin Trammell,Rice,0,7,9,11,8,9,14,0,15,8,10,0,4,11,7,0,0,0,0,0,9.4,6.4,35.8,113,60,726,4
34,Seth Williams,Auburn,0,10,2,0,6,10,9,0,6,13,11,0,20,8,10,0,0,0,0,7,9.3,7.4,28.9,112,59,830,8
35,Ja'Marr Chase,LSU,0,3,10,0,11,0,6,10,11,13,0,11,10,8,9,6,0,0,3,0,8.5,14.0,19.8,111,75,1559,18
36,Jerry Jeudy,Ala,0,13,12,9,8,10,0,9,6,9,0,8,8,3,7,0,0,0,0,8,8.5,10.6,27.4,110,77,1163,10
37,Tyler Vaughns,USC,0,14,7,10,8,6,0,7,7,11,17,7,1,6,0,0,0,0,9,0,8.5,8.3,22.3,110,74,912,6
38,Emeka Emezie,NCSU,0,10,5,23,7,7,0,9,6,0,9,9,12,6,7,0,0,0,0,0,9.2,5.2,24.1,110,56,576,2
39,Easop Winston,WashSt,0,5,6,6,13,4,0,17,7,7,0,11,13,9,4,0,0,0,7,0,8.4,8.9,15.8,109,85,970,11
40,Jahcour Pearson,WestKy,0,8,7,8,0,6,9,7,10,8,8,16,0,7,5,0,0,0,10,0,8.4,7.4,23.9,109,76,804,7
41,Andrew Parchment,Kansas,0,9,6,11,8,10,8,0,11,10,5,0,7,14,10,0,0,0,0,0,9.1,7.6,28.5,109,65,831,7
42,Hasise Dubois,UVa,0,5,4,7,5,9,0,8,9,11,8,3,0,4,9,11,0,0,14,0,7.6,9.9,21.3,107,75,1062,6
43,Trishton Jackson,Syr,0,9,9,5,8,11,0,15,8,10,11,0,5,4,12,0,0,0,0,0,8.9,9.6,28.1,107,66,1023,11
44,Brandon Arconado,WashSt,0,8,10,10,3,0,0,0,9,15,0,16,11,6,5,0,0,0,13,0,9.6,10.5,15.3,106,78,1109,7
45,Amon-Ra St. Brown,USC,0,6,9,1,7,6,0,11,5,9,12,11,7,12,0,0,0,0,10,0,8.2,9.8,21.5,106,77,1042,6
46,Kirk Merritt,ArkSt,0,0,8,8,12,8,14,0,5,5,7,0,11,2,14,0,0,12,0,0,8.8,7.6,23.5,106,70,806,12
47,Tutu Atwell,Lou,0,11,3,7,10,0,12,11,7,9,0,8,6,6,5,0,0,0,11,0,8.2,12.0,36.1,106,69,1272,12
48,Cody White,MSU,0,9,7,5,6,10,9,5,0,8,0,9,10,13,6,0,0,0,9,0,8.2,8.7,23.2,106,66,922,6
49,Siaosi Mariner,UtahSt,0,8,6,0,12,8,2,0,8,5,9,13,7,12,7,0,0,9,0,0,8.2,9.3,21.9,106,63,987,10
50,Keylon Stokes,Tulsa,0,9,2,13,8,0,8,6,11,13,8,5,0,13,9,0,0,0,0,0,8.8,9.9,24.2,105,62,1040,6
51,Tamorrion Terry,FlaSt,0,7,9,11,2,7,0,8,11,7,5,8,5,0,12,0,0,0,0,13,8.1,11.3,24.8,105,60,1188,9
52,Tim Jones,SouMis,0,6,7,4,3,2,0,9,10,13,0,7,13,9,10,0,0,0,0,11,8.0,8.7,24.0,104,73,902,3
53,Terrell Jana,UVa,0,6,4,8,6,5,0,8,2,9,16,12,0,4,7,8,0,0,9,0,7.4,8.4,20.7,104,73,878,3
54,Whop Philyor,Ind,0,10,6,8,4,17,0,12,3,19,5,0,3,0,12,0,0,0,0,5,8.7,9.6,22.3,104,70,1002,5
55,Quez Watkins,SouMis,0,0,0,9,6,6,0,8,9,9,0,6,10,18,8,0,0,0,0,15,8.7,11.3,24.0,104,64,1178,6
56,Jonathan Adams,ArkSt,0,16,11,14,5,8,3,0,7,6,5,0,7,8,6,0,0,8,0,0,8.0,8.2,23.1,104,62,851,5
57,Kendall Hinton,Wake,0,11,2,0,0,8,0,19,8,0,8,15,2,11,14,0,0,0,5,0,9.4,9.7,22.7,103,73,1001,4
58,Brandon Aiyuk,AriSt,0,7,6,7,13,4,0,8,4,8,0,10,17,11,8,0,0,0,0,0,8.6,11.6,27.4,103,65,1192,8
59,Dazz Newsome,UNC,0,6,3,11,8,6,12,0,11,5,7,0,15,0,8,0,0,0,10,0,8.5,10.0,24.2,102,72,1018,10
60,Sage Surratt,Wake,0,11,9,12,9,7,0,17,14,0,15,8,0,0,0,0,0,0,0,0,11.3,9.8,22.5,102,66,1001,11
61,Kaylon Geiger,Troy,0,5,0,8,8,10,7,0,6,7,12,9,12,11,6,0,0,0,0,0,8.4,8.6,21.4,101,77,873,5
62,Deshaunte Jones,IaSt,0,16,0,6,3,9,12,2,7,11,0,7,8,8,2,0,0,0,10,0,7.8,8.7,21.1,101,76,877,2
63,Bailey Gaither,SJSU,0,6,12,0,3,9,4,8,9,6,10,11,0,12,11,0,0,0,0,0,8.4,8.0,20.4,101,52,812,6
64,Hutch White,TxSt,0,8,13,10,8,5,0,6,0,7,8,11,12,3,9,0,0,0,0,0,8.3,6.2,23.4,100,67,618,2
65,Quartney Davis,TexA&M,0,10,11,0,8,9,0,13,3,8,0,0,8,12,11,0,0,0,7,0,9.1,6.2,22.5,100,54,616,4
66,Justyn Ross,Clem,0,6,16,9,0,6,0,8,6,5,6,5,4,0,11,4,0,0,12,0,7.5,8.1,19.6,98,61,789,8
67,Rashod Bateman,Minn,0,8,9,7,0,6,3,4,10,8,0,7,11,10,10,0,0,0,0,5,7.5,12.4,30.8,98,60,1219,11
68,Khalil Shakir,Boise,0,12,8,5,4,0,11,5,3,0,2,8,7,7,9,9,0,7,0,0,6.9,9.0,21.3,97,63,872,6
69,Tony Nicholson,NMSt,0,12,4,12,11,8,8,11,0,3,0,8,9,5,6,0,0,0,0,0,8.1,6.6,21.7,97,60,644,6
70,Bradley Rozner,Rice,0,3,11,3,12,8,7,0,9,12,7,0,11,8,6,0,0,0,0,0,8.1,7.9,30.7,97,55,770,5
71,C.J. Johnson,ECU,0,6,3,3,7,2,13,0,12,6,21,1,0,11,12,0,0,0,0,0,8.1,9.4,22.1,97,54,908,4
72,Shemar Thornton,FIU,0,7,3,7,13,0,5,2,6,9,8,11,0,10,10,0,0,6,0,0,7.5,6.9,25.3,97,51,668,5
73,Jhamon Ausbon,TexA&M,0,10,9,6,9,13,0,9,7,6,6,0,4,12,3,0,0,0,2,0,7.4,9.1,21.6,96,66,872,5
74,Marquez Stevenson,Hou,0,9,8,6,8,9,0,10,6,10,5,0,7,4,14,0,0,0,0,0,8.0,9.4,31.7,96,52,907,9
75,Sam Crawford,Tulsa,0,5,13,7,10,0,7,3,6,11,6,7,0,15,5,0,0,0,0,0,7.9,8.2,21.9,95,59,777,5
76,Kobe Smith,SDSU,0,4,9,7,12,0,8,7,6,10,0,9,7,9,3,0,0,4,0,0,7.3,7.3,24.6,95,58,691,4
77,CeeDee Lamb,Okla,0,4,6,1,0,8,4,16,3,9,0,11,0,6,5,9,0,0,12,0,7.2,14.1,24.9,94,62,1327,14
78,Cameron Ross,UConn,0,0,4,0,7,9,10,6,15,10,10,5,0,10,8,0,0,0,0,0,8.5,7.7,25.1,94,60,723,4
79,Quintez Cephus,Wisc,0,5,8,0,3,5,4,3,7,4,0,7,8,6,8,15,0,0,0,11,6.7,9.6,27.3,94,59,901,7
80,Dezmon Patmon,WashSt,0,10,7,2,9,9,0,11,5,8,0,2,10,7,9,0,0,0,5,0,7.2,8.1,13.6,94,58,762,8
81,Austin Watkins,UAB,0,5,5,0,8,9,8,6,9,0,6,6,3,6,4,7,0,12,0,0,6.7,11.6,28.3,94,57,1092,6
82,KJ Hamler,PSU,0,4,7,9,0,8,4,10,7,10,0,13,4,5,8,0,0,0,5,0,7.2,9.6,25.9,94,56,904,8
83,Tre Nixon,UCF,0,11,3,8,10,2,9,0,7,4,10,12,0,4,7,0,0,7,0,0,7.2,8.8,20.8,94,49,830,7
84,Aaron Fuller,Wash,0,7,7,7,8,11,18,7,0,0,8,5,0,7,2,0,0,6,0,0,7.8,7.5,22.8,93,59,702,6
85,Jalen Reagor,TCU,0,11,0,5,7,2,7,0,10,5,12,9,6,8,11,0,0,0,0,0,7.8,6.6,23.8,93,43,611,5
86,Jauan Jennings,Tenn,0,8,6,1,9,0,9,5,11,8,7,7,0,13,4,0,0,0,0,4,7.1,10.5,26.4,92,59,969,8
87,DeVonta Smith,Ala,0,5,5,12,3,12,0,11,1,5,0,11,7,4,10,0,0,0,0,5,7.0,13.8,22.7,91,68,1256,14
88,Thomas Hennigan,App,0,8,4,0,9,6,0,5,4,8,13,2,6,5,11,6,0,4,0,0,6.5,8.5,25.0,91,61,773,6
89,Kyle Philips,UCLA,0,5,5,2,4,7,9,0,14,6,4,0,10,16,9,0,0,0,0,0,7.6,7.5,22.0,91,60,681,5
90,Victor Tucker,CHAR,0,3,12,4,4,11,0,2,13,12,4,8,0,8,4,0,0,6,0,0,7.0,10.0,28.7,91,52,909,7
91,John Hightower,Boise,0,4,6,6,7,0,9,10,4,0,6,3,8,7,9,6,0,6,0,0,6.5,10.4,20.0,91,51,943,8
92,Tyler Snead,ECU,0,5,1,4,7,5,1,0,4,9,5,20,0,19,10,0,0,0,0,0,7.5,8.4,20.5,90,66,759,5
93,OJ Clark,NMSt,0,12,7,7,8,13,7,4,0,2,0,5,8,11,6,0,0,0,0,0,7.5,5.1,20.2,90,58,457,1
94,Johnny Johnson,Oregon,0,7,7,11,3,0,3,5,6,4,1,0,6,16,7,10,0,0,0,4,6.4,9.3,20.3,90,57,836,7
95,Dyami Brown,UNC,0,6,7,7,8,7,9,0,4,4,10,0,7,4,7,0,0,0,10,0,6.9,11.5,21.3,90,51,1034,12
96,Antonio Nunn,Buff,0,0,9,10,6,4,5,0,6,10,11,0,5,8,6,0,0,10,0,0,7.5,7.6,32.8,90,49,687,6
97,Darrell Stewart,MSU,0,9,13,15,10,11,11,13,0,3,0,0,0,0,0,0,0,0,5,0,10.0,7.7,19.7,90,49,697,4
98,Ja'Marcus Bradley,UL-Laf,0,10,8,3,7,3,0,5,9,0,0,8,5,6,6,10,0,0,0,8,6.8,10.3,22.1,88,60,906,10
99,La'Michael Pettway,IaSt,0,4,0,6,5,3,1,10,8,12,0,4,15,8,5,0,0,0,7,0,6.8,7.7,18.4,88,55,676,6
100,Darnell Mooney,Tulane,0,4,11,5,5,0,4,8,8,7,3,0,8,7,12,0,0,0,0,6,6.8,8.1,26.9,88,48,713,5
101,Blake Proehl,ECU,0,7,8,6,6,3,6,0,8,3,11,7,0,8,14,0,0,0,0,0,7.3,7.7,19.8,87,54,670,4
102,Justin Hall,BallSt,0,14,6,6,13,0,5,11,4,5,0,4,5,5,8,0,0,0,0,0,7.2,8.0,23.3,86,61,684,6
103,Deangelo Antoine,FlaAtl,0,1,1,3,12,7,0,3,11,11,8,11,0,6,3,9,0,0,0,0,6.6,9.0,17.9,86,61,771,5
104,Malik Williams,App,0,2,8,0,7,6,0,6,7,7,12,3,11,2,6,2,0,7,0,0,6.1,7.0,23.6,86,55,598,4
105,Tylan Wallace,OkSt,0,7,10,7,9,11,15,0,15,12,0,0,0,0,0,0,0,0,0,0,9.6,10.5,24.1,86,53,903,8
106,Skyy Moore,WestMi,0,2,5,8,4,6,14,4,2,9,0,7,6,0,13,0,0,0,6,0,6.6,9.3,21.2,86,51,802,3
107,Tony Gaiter,FIU,0,4,4,1,10,0,9,3,4,8,8,12,0,6,13,0,0,4,0,0,6.6,7.5,22.4,86,50,647,4
108,K.J. Osborn,Mia-Fl,4,0,8,5,3,0,6,8,8,10,9,4,0,7,5,0,0,0,8,0,6.5,6.4,19.9,85,50,547,5
109,Randal Grimes,UNLV,0,2,9,7,0,11,12,3,9,12,10,0,1,9,0,0,0,0,0,0,7.7,8.2,22.4,85,44,696,7
110,Josh Johnson,Tulsa,0,5,2,1,12,0,13,9,10,8,9,3,0,9,4,0,0,0,0,0,7.1,5.8,19.6,85,44,495,1
111,Michael Wilson,Stan,0,7,4,8,6,3,6,0,5,7,0,4,10,7,17,0,0,0,0,0,7.0,8.0,19.0,84,56,672,5
112,Ronnie Bell,Mich,0,7,8,0,9,8,3,3,8,3,2,0,11,4,9,0,0,0,0,9,6.5,9.0,20.9,84,48,758,1
113,Dylan Drummond,EastMi,0,5,5,8,7,0,8,8,7,3,5,0,7,3,6,0,0,0,11,0,6.4,5.9,18.2,83,55,493,3
114,T.J. Vasher,TxTch,0,12,9,13,0,5,10,7,8,6,0,0,0,3,10,0,0,0,0,0,8.3,6.2,16.1,83,42,515,6
115,JaCorey Sullivan,CentMi,0,0,2,1,4,5,6,5,10,9,9,0,11,0,6,9,0,5,0,0,6.3,9.9,18.0,82,57,808,3
116,Laviska Shenault,Colo,0,5,7,13,1,0,0,8,6,15,6,8,0,9,4,0,0,0,0,0,7.5,9.3,20.6,82,56,764,4
117,Kalija Lipscomb,Vandy,0,7,11,0,11,9,13,3,4,0,0,4,5,7,8,0,0,0,0,0,7.5,6.2,22.2,82,47,511,3
118,Dontay Demus,MD,0,5,5,12,0,1,6,15,7,8,6,2,0,6,9,0,0,0,0,0,6.8,7.6,24.8,82,41,625,6
119,Isaiah McKoy,KentSt,0,4,9,8,6,0,3,9,11,8,0,0,0,7,8,0,0,8,0,0,7.4,10.8,23.1,81,56,872,8
120,Tee Higgins,Clem,0,8,4,9,2,9,0,3,4,2,5,7,5,0,5,10,0,0,7,0,5.7,13.9,16.0,80,56,1115,13
121,Dante Wright,ColoSt,0,5,8,7,8,8,10,6,0,7,4,0,7,6,3,0,0,0,0,0,6.6,10.2,18.2,79,57,805,4
122,Renard Bell,WashSt,0,3,3,5,8,9,0,12,6,2,0,6,2,10,11,0,0,0,2,0,6.1,7.3,11.4,79,54,579,6
123,Riley Lees,NW,0,4,0,2,6,10,10,0,7,1,9,13,8,4,5,0,0,0,0,0,6.6,5.4,26.2,79,51,430,2
124,Nico Ragaini,Iowa,0,3,6,8,0,2,9,12,8,7,0,10,3,3,4,0,0,0,4,0,6.1,5.6,19.4,79,46,439,2
125,Shi Smith,SCar,0,10,3,8,6,2,0,8,9,14,0,0,11,0,8,0,0,0,0,0,7.9,6.2,17.4,79,43,489,2
126,Nate Stewart,Akron,0,8,9,6,10,8,0,7,9,6,5,0,1,6,4,0,0,0,0,0,6.6,6.7,21.0,79,37,529,3
127,Jordan Nathan,UtahSt,0,9,4,0,6,4,6,0,2,3,10,5,4,8,6,0,0,11,0,0,6.0,7.4,16.1,78,56,581,1
128,Tony Brown,Colo,0,4,9,3,9,0,10,8,5,7,8,4,0,8,3,0,0,0,0,0,6.5,9.1,19.5,78,56,707,5
129,JD Spielman,Neb,0,3,6,8,11,3,3,6,0,5,10,0,8,9,6,0,0,0,0,0,6.5,11.5,24.1,78,49,898,5
130,Isaiah Wright,Temple,0,9,0,8,15,5,12,8,5,4,0,0,2,7,3,0,0,0,0,0,6.5,5.7,16.7,78,47,442,5
131,Adrian Hardy,LaTech,0,11,4,8,11,12,0,8,0,4,0,13,0,0,3,0,0,0,4,0,7.8,6.8,17.0,78,42,534,1
132,Dillon Stoner,OkSt,0,5,4,5,8,3,7,0,2,2,7,0,7,11,13,0,0,0,3,0,5.9,7.8,21.6,77,52,599,5
133,Micah Simon,BYU,0,5,8,6,2,8,0,4,3,0,4,7,9,3,11,0,0,0,7,0,5.9,8.0,17.1,77,51,616,2
134,George Pickens,UGa,0,2,5,7,2,0,4,9,5,0,1,7,2,5,2,11,0,0,0,15,5.5,9.4,18.8,77,49,727,8
135,Keenen Johnson,Tulsa,0,1,3,3,12,0,6,10,11,5,5,7,0,7,7,0,0,0,0,0,6.4,7.4,17.8,77,46,568,3
136,Stephon Robinson,Kansas,0,5,5,3,7,3,7,0,10,8,8,0,10,8,3,0,0,0,0,0,6.4,9.4,20.2,77,45,727,8
137,Taj Harris,Syr,0,8,8,3,6,7,0,3,8,6,4,0,6,8,10,0,0,0,0,0,6.4,7.3,20.2,77,37,559,2
138,K.J. Hill,OhioSt,0,4,9,2,3,5,8,0,2,4,0,6,5,4,4,9,0,0,11,0,5.4,8.4,19.1,76,57,636,10
139,Chris Olave,OhioSt,0,7,3,5,3,5,3,0,6,8,0,9,5,4,4,8,0,0,6,0,5.4,11.2,19.1,76,49,849,12
140,Ihmir Smith-Marsette,Iowa,0,5,5,5,0,5,7,9,5,6,0,5,8,8,3,0,0,0,5,0,5.8,9.5,18.6,76,44,722,5
141,Riley Miller,BallSt,0,10,8,5,11,0,3,8,5,2,0,2,9,4,9,0,0,0,0,0,6.3,8.1,20.6,76,43,612,6
142,Ty Scott,CentMi,0,9,2,8,9,11,1,1,1,8,2,0,6,0,3,7,0,8,0,0,5.4,8.6,16.7,76,37,650,5
143,Romeo Doubs,Nevada,0,11,2,0,2,4,0,9,9,8,15,7,0,7,0,0,0,1,0,0,6.8,8.7,15.5,75,44,649,4
144,Myron Mitchell,UAB,0,6,6,0,5,8,7,6,6,0,9,4,2,7,3,3,0,3,0,0,5.4,7.4,22.6,75,34,554,4
145,Jaivon Heiligh,CoastC,0,10,2,9,4,7,0,13,2,0,13,2,7,2,3,0,0,0,0,0,6.2,6.7,22.8,74,46,497,3
146,Tyquan Thornton,Baylor,0,3,2,0,5,14,5,6,2,0,8,8,2,0,6,5,0,0,0,8,5.7,10.6,16.9,74,45,782,5
147,Thayer Thomas,NCSU,0,9,6,7,8,9,0,2,10,0,6,1,11,1,4,0,0,0,0,0,6.2,4.5,16.2,74,31,334,3
148,Beau Corrales,UNC,0,2,4,2,9,5,8,0,10,5,5,0,9,1,8,0,0,0,5,0,5.6,7.9,17.3,73,40,575,6
149,Connor Wedington,Stan,0,8,5,8,6,6,6,0,8,8,0,6,11,0,0,0,0,0,0,0,6.5,7.0,16.3,72,51,506,1
150,Jesse Matthews,SDSU,0,4,7,5,2,0,2,11,4,3,0,6,10,4,8,0,0,6,0,0,5.5,8.8,18.7,72,48,633,2
151,Michael Lawrence,NorTx,0,4,7,4,5,15,0,2,6,7,7,3,0,8,4,0,0,0,0,0,6.0,9.2,16.3,72,48,661,3
152,Kawaan Baker,USA,0,8,4,7,4,6,6,0,9,6,0,6,2,5,9,0,0,0,0,0,6.0,8.0,25.9,72,35,574,3
153,Jaylon Redd,Oregon,0,9,4,4,3,0,11,5,6,5,6,0,4,0,8,6,0,0,0,0,5.9,6.5,16.0,71,50,465,7
154,Ty Lee,MiddTn,0,5,6,5,0,3,3,13,9,6,1,0,9,5,6,0,0,0,0,0,5.9,7.4,19.9,71,47,525,3
155,Tay Martin,WashSt,0,5,3,8,11,3,0,0,6,5,0,6,7,10,5,0,0,0,2,0,5.9,7.9,10.3,71,43,564,4
156,Keith Mixon,WestMi,0,2,6,1,6,6,10,4,7,3,0,7,11,0,4,0,0,0,3,0,5.4,7.1,17.2,70,50,500,2
157,Van Jefferson,Fla,3,0,4,8,6,3,2,10,4,0,3,5,8,0,5,0,0,0,9,0,5.4,9.4,15.2,70,49,657,6
158,Kavious Price,KentSt,0,4,6,7,7,0,0,3,6,12,0,6,4,6,7,0,0,2,0,0,5.8,7.3,20.0,70,48,508,3
159,Mike Carrigan,KentSt,0,0,0,6,7,0,1,2,12,12,0,4,11,9,1,0,0,5,0,0,6.4,8.1,20.0,70,44,570,5
160,Danzel McKinley-Lewis,Toledo,0,8,0,4,3,6,2,3,9,4,0,3,13,6,9,0,0,0,0,0,5.8,8.8,20.9,70,36,615,1
161,Zane Pope,Fres,0,7,8,0,9,4,0,4,5,2,7,7,9,5,2,0,0,0,0,0,5.8,7.6,18.4,69,47,525,1
162,R.J. Turner,TxTch,0,2,5,5,0,3,6,8,12,1,0,8,4,8,7,0,0,0,0,0,5.8,9.5,13.3,69,45,654,3
163,Jack Sorenson,Mia-O,0,9,0,2,4,1,0,0,0,4,0,6,3,7,6,13,0,0,0,14,6.3,8.2,20.8,69,44,568,4
164,Cameron Dollar,CHAR,0,8,5,2,3,12,0,2,5,9,5,11,0,3,0,0,0,4,0,0,5.8,8.7,21.8,69,41,599,2
165,Reggie Todd,Troy,0,6,0,5,2,11,9,0,6,5,5,4,2,7,7,0,0,0,0,0,5.8,9.7,14.6,69,38,666,5
166,John Mitchell,FlaAtl,0,3,8,8,7,5,0,4,9,4,4,5,0,6,1,2,0,3,0,0,4.9,7.1,14.3,69,38,488,5
167,Mike Harley,Mia-Fl,2,0,7,5,3,0,10,4,5,7,3,7,0,4,8,0,0,4,0,0,5.3,7.0,16.1,69,38,485,3
168,Jacob Cowing,UTEP,0,4,4,0,1,4,5,0,3,5,3,6,14,9,11,0,0,0,0,0,5.8,8.0,21.7,69,31,550,3
169,Marlon Williams,UCF,0,4,0,3,2,5,1,0,7,4,7,6,0,11,8,0,0,10,0,0,5.7,10.5,15.0,68,51,717,6
170,Kedarian Jones,Mem,0,4,2,5,0,5,3,7,2,4,5,0,6,8,6,2,0,0,9,0,4.9,9.0,15.8,68,39,609,4
171,Nico Collins,Mich,0,4,3,0,5,5,5,0,9,3,5,0,7,7,6,0,0,0,0,9,5.7,10.7,16.9,68,37,729,7
172,Damon Hazelton,VaTech,0,0,0,0,0,2,6,14,6,0,10,9,0,3,11,0,0,0,0,7,7.6,7.8,21.9,68,31,527,8
173,Markis McCray,UL-Mon,0,4,7,0,5,4,11,6,2,0,4,10,4,5,5,0,0,0,0,0,5.6,8.7,16.7,67,47,580,6
174,Arthur Jackson,EastMi,0,2,7,3,2,0,6,5,9,7,1,0,3,7,5,0,0,0,10,0,5.2,10.9,14.7,67,46,732,7
175,Khalil McClain,Troy,0,3,0,6,7,7,4,0,2,13,3,9,6,1,6,0,0,0,0,0,5.6,8.4,14.2,67,45,562,7
176,Erik Ezukanma,TxTch,0,4,4,6,0,2,3,4,7,3,0,6,9,7,12,0,0,0,0,0,5.6,9.9,13.0,67,42,664,4
177,Jarrin Pierce,MiddTn,0,6,5,4,0,7,7,6,11,1,4,0,4,4,8,0,0,0,0,0,5.6,8.4,18.8,67,42,562,4
178,Aleva Hifo,BYU,0,7,6,5,10,8,0,4,4,0,3,4,0,2,5,0,0,0,9,0,5.6,7.2,14.9,67,42,483,3
179,Zach Jackson,UL-Mon,0,6,3,0,7,2,6,6,4,0,7,7,8,6,5,0,0,0,0,0,5.6,5.9,16.7,67,30,392,1
180,Deven Thompkins,UtahSt,0,2,7,0,2,6,6,0,9,8,4,6,5,5,0,0,0,6,0,0,5.5,8.1,13.6,66,40,536,4
181,Mike Woods,Ark,0,6,8,3,8,8,0,5,4,4,5,5,0,5,5,0,0,0,0,0,5.5,6.4,16.3,66,33,423,4
182,Devin Carter,NCSU,0,1,2,5,1,7,0,5,10,0,13,3,7,8,4,0,0,0,0,0,5.5,6.9,14.4,66,32,456,0
