,,,Week-By-Week Targets,,,,,,,,,,,,,,,,,,,,Averages,,,Receiving Totals,,,
Rank,Name,Team,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TAR/G,YDS/TAR,TM TAR %,TAR,REC,YDS,TD
1,James Proche,SMU,0,9,9,4,15,9,16,0,14,16,18,19,0,11,13,0,0,17,0,0,13.1,7.2,35.1,170,111,1225,15
2,Cedric Byrd,Hawaii,21,0,17,10,8,7,0,9,12,10,13,7,8,9,11,8,0,0,6,0,10.4,7.0,24.9,156,98,1097,10
3,Jadan Blue,Temple,0,12,0,8,14,6,11,7,9,8,0,13,17,19,10,0,0,0,12,0,11.2,7.3,31.3,146,95,1067,4
4,Omar Bayless,ArkSt,0,13,9,12,7,13,11,0,14,12,9,0,8,10,10,0,0,16,0,0,11.1,11.5,31.9,144,93,1653,17
5,Antonio Gandy-Golden,Lib,0,10,13,11,8,8,5,0,13,12,9,19,0,16,8,0,0,10,0,0,10.9,9.8,31.8,142,79,1396,10
6,Michael Pittman,USC,0,10,7,11,11,6,0,6,10,8,12,16,12,16,0,0,0,0,11,0,10.5,9.4,27.6,136,101,1275,11
7,Lucky Jackson,WestKy,0,11,9,12,0,4,5,7,5,18,13,7,0,11,10,0,0,0,22,0,10.3,8.5,29.3,134,94,1133,4
8,Gabriel Davis,UCF,0,9,8,7,15,6,23,0,12,10,7,12,0,10,14,0,0,0,0,0,11.1,9.3,29.4,133,72,1241,12
9,David Bell,Purdue,0,2,5,4,0,15,7,10,18,7,9,19,0,21,14,0,0,0,0,0,10.9,7.9,25.7,131,86,1035,7
10,Devin Duvernay,Tex,0,10,14,7,14,0,8,8,10,13,0,11,12,11,8,0,0,0,0,4,10.0,10.7,27.6,130,106,1386,9
11,Maurice Ffrench,Pitt,0,12,13,15,9,11,12,0,7,12,14,0,0,0,10,0,0,0,14,0,11.7,6.6,25.9,129,96,850,4
12,Jared Smart,Hawaii,8,0,9,8,10,5,0,6,16,2,11,6,9,10,11,6,0,0,12,0,8.6,8.8,20.6,129,87,1129,5
13,Isaiah Hodgins,OreSt,0,11,14,9,0,14,11,17,7,0,8,7,8,11,10,0,0,0,0,0,10.6,9.2,31.0,127,86,1171,13
14,Warren Jackson,ColoSt,0,14,9,9,20,0,0,12,0,16,10,0,12,12,13,0,0,0,0,0,12.7,8.8,29.2,127,77,1119,8
15,Damonte Coxie,Mem,0,7,9,6,0,5,4,15,7,9,11,0,8,6,9,16,0,0,15,0,9.1,10.0,29.5,127,76,1276,9
16,Justin Jefferson,LSU,0,6,11,6,2,0,11,10,8,9,0,8,12,5,7,9,0,0,18,0,8.7,11.8,21.7,122,102,1434,18
17,Kalil Pimpleton,CentMi,0,10,5,8,21,8,6,7,10,8,6,0,10,0,6,9,0,8,0,0,8.7,7.3,26.8,122,82,894,6
18,Tyler Johnson,Minn,0,5,6,12,0,8,7,5,10,7,0,8,14,9,15,0,0,0,0,15,9.3,10.9,38.1,121,86,1318,13
19,Elijah Cooks,Nevada,0,13,4,10,4,7,0,10,9,5,7,3,0,8,22,0,0,0,0,17,9.2,7.8,24.5,119,76,926,8
20,Chase Claypool,ND,0,8,0,8,14,8,4,5,0,9,17,7,9,12,7,0,0,0,11,0,9.2,8.7,29.4,119,66,1037,13
21,Jason-Matthew Sharsh,Hawaii,11,0,7,3,7,10,0,5,5,4,12,7,7,10,11,10,0,0,9,0,7.9,7.7,18.8,118,87,913,5
22,Tre Walker,SJSU,0,0,0,0,16,15,12,9,4,7,14,14,0,17,10,0,0,0,0,0,11.8,9.8,23.9,118,79,1161,2
23,Elijah Moore,Miss,0,6,8,10,20,7,4,15,10,0,11,5,14,0,7,0,0,0,0,0,9.8,7.3,36.3,117,67,850,6
24,Denzel Mims,Baylor,0,8,10,0,7,15,9,7,3,0,7,10,8,10,7,6,0,0,0,10,8.4,8.7,26.7,117,66,1020,12
25,Joe Reed,UVa,0,11,4,11,4,15,0,9,10,12,9,7,0,6,8,0,0,0,10,0,8.9,5.9,23.1,116,77,679,7
26,Sam James,WVU,0,11,6,15,8,0,8,6,10,0,8,21,4,9,9,0,0,0,0,0,9.6,5.9,25.4,115,69,677,2
27,Branden Mack,Temple,0,11,0,11,10,8,12,12,5,9,0,2,10,9,7,0,0,0,9,0,8.8,7.9,24.7,115,59,904,7
28,Cornelius McCoy,GaSt,0,7,11,4,13,0,11,6,9,6,0,7,6,10,11,0,0,0,0,13,8.8,6.6,30.3,114,70,757,5
