,,,Week-By-Week Targets,,,,,,,,,,,,,,,,,,,,Averages,,,Receiving Totals,,,
Rank,Name,Team,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TAR/G,YDS/TAR,TM TAR %,TAR,REC,YDS,TD
1,DeVonta Smith,Ala,0,0,0,0,12,8,14,13,10,15,0,0,14,7,10,4,18,0,8,15,11.4,12.5,35.2,148,117,1856,23
2,Jonathan Adams,ArkSt,0,10,10,0,0,10,14,22,8,8,11,0,17,10,0,0,0,0,0,0,12.0,9.3,26.5,120,79,1111,12
3,Calvin Austin,Mem,0,5,0,0,0,9,0,17,14,11,9,0,13,5,17,11,0,8,0,0,10.8,8.8,28.8,119,63,1053,11
4,Jaelon Darden,NorTx,0,8,0,10,0,20,20,13,0,0,0,0,7,16,12,12,0,0,0,0,13.1,10.1,35.4,118,74,1190,19
5,Jalen Tolbert,USA,0,10,10,0,7,0,0,13,6,9,10,12,12,13,12,0,0,0,0,0,10.4,9.5,33.3,114,64,1085,8
6,Zay Flowers,BC,0,0,0,8,5,14,10,12,4,10,11,13,0,8,11,0,0,0,0,0,9.6,8.4,27.5,106,56,892,9
7,Seth Williams,Auburn,0,0,0,0,12,9,9,14,10,6,0,0,8,9,5,11,0,0,13,0,9.6,7.2,29.7,106,47,760,4
8,Marlon Williams,UCF,0,0,0,12,18,17,0,17,13,9,0,8,11,0,0,0,0,0,0,0,13.1,9.9,25.9,105,71,1039,10
9,Amari Rodgers,Clem,0,0,7,2,0,8,10,7,10,8,14,0,0,11,5,0,10,0,11,0,8.6,9.9,21.6,103,77,1020,7
10,Elijah Moore,Miss,0,0,0,0,13,11,11,15,9,15,0,13,0,15,0,0,0,0,0,0,12.8,11.7,30.6,102,86,1193,8
11,Billy Kemp,UVa,0,0,0,0,13,14,17,13,9,6,0,5,4,0,6,13,0,0,0,0,10.0,6.4,26.7,100,67,644,1
12,Taj Harris,Syr,0,0,16,4,6,0,8,15,0,6,11,0,3,20,11,0,0,0,0,0,10.0,7.3,32.1,100,58,733,5
13,Dax Milne,BYU,0,3,0,0,9,9,8,11,7,9,6,0,6,0,8,10,0,9,0,0,7.9,12.5,25.6,95,70,1188,8
14,Tylan Wallace,OkSt,0,0,0,6,11,11,0,0,11,14,0,0,11,11,12,0,0,0,7,0,9.4,9.8,28.7,94,59,922,6
15,Jaylon Robinson,UCF,0,0,0,9,12,9,0,14,7,9,0,5,13,8,0,0,0,8,0,0,9.4,10.4,23.2,94,55,979,6
16,Romeo Doubs,Nevada,0,0,0,0,0,0,0,0,18,7,13,10,12,1,12,14,0,6,0,0,10.3,10.8,26.3,93,58,1002,9
17,Whop Philyor,Ind,0,0,0,0,0,0,0,0,9,7,21,6,9,9,8,0,0,0,24,0,11.6,5.3,32.2,93,54,495,3
18,Jaivon Heiligh,CoastC,0,0,4,4,0,10,0,11,10,7,6,0,5,4,3,13,0,15,0,0,7.7,10.8,32.4,92,65,998,10
19,Xavier Hutchinson,IaSt,0,0,12,0,5,5,10,0,9,8,2,0,8,3,8,0,15,0,7,0,7.7,8.4,25.1,92,64,771,4
20,Kaylon Geiger,Troy,0,0,0,3,9,0,9,9,7,12,10,0,7,4,7,14,0,0,0,0,8.3,8.3,20.4,91,64,752,3
21,Jaquarii Roberson,Wake,0,0,7,8,0,3,0,9,6,9,0,16,0,0,0,14,0,0,17,0,9.9,10.4,29.5,89,62,926,8
22,Jordan Addison,Pitt,0,0,8,9,10,5,11,13,6,0,13,0,0,9,0,5,0,0,0,0,8.9,7.5,21.2,89,60,666,4
23,Jahan Dotson,PSU,0,0,0,0,0,0,0,0,5,12,18,8,11,9,6,13,7,0,0,0,9.9,9.9,29.8,89,52,884,8
24,Anthony Schwartz,Auburn,0,0,0,0,5,15,13,12,10,5,0,0,4,10,5,9,0,0,0,0,8.8,7.2,24.6,88,54,636,3
25,Zakhari Franklin,Tx-SA,0,0,0,0,9,6,10,19,7,9,0,8,6,5,0,0,0,9,0,0,8.8,7.9,24.5,88,49,694,7
