,,,Week-By-Week Targets,,,,,,,,,,,,,,,,,,,,Averages,,,Receiving Totals,,,
Rank,Name,Team,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,TAR/G,YDS/TAR,TM TAR %,TAR,REC,YDS,TD
1,Steve Ishmael,Syr,0,0,21,14,17,13,10,11,10,0,19,21,11,13,0,0,0,0,0,0,14.5,7.7,0.0,174,105,1347,7
2,Michael Gallup,ColoSt,0,0,15,11,0,11,11,16,16,11,5,17,10,0,0,0,18,0,0,0,12.9,8.4,0.0,168,100,1413,7
3,Trey Quinn,SMU,0,0,8,12,10,19,19,0,21,9,19,11,6,8,0,0,0,11,0,0,12.2,7.8,0.0,159,114,1236,13
4,Anthony Miller,Mem,0,0,0,11,13,9,18,15,17,8,11,0,10,4,20,0,0,0,7,0,11.6,9.7,0.0,151,96,1462,18
5,Ervin Philips,Syr,0,0,9,6,17,21,10,9,17,0,18,13,8,10,0,0,0,0,0,0,12.1,6.2,0.0,145,89,904,4
6,Olamide Zaccheaus,UVa,0,0,18,11,7,0,16,6,11,15,13,8,8,8,0,0,0,0,12,0,10.9,6.3,0.0,142,85,895,5
7,Gary Jennings,WVU,0,0,4,9,7,0,14,12,10,10,9,18,14,4,0,0,0,0,6,0,10.7,7.9,0.0,139,97,1096,1
8,KeeSean Johnson,Fres,0,0,12,12,0,11,4,7,7,10,10,12,9,8,12,0,0,18,0,0,9.9,7.3,0.0,139,77,1013,8
9,Cedrick Wilson,Boise,0,0,12,4,19,0,6,6,5,10,8,11,7,13,13,0,14,0,0,0,9.7,11.1,0.0,136,83,1511,7
10,D.J. Moore,MD,0,0,9,0,12,13,8,17,12,6,11,12,14,14,0,0,0,0,0,0,11.3,7.6,0.0,136,80,1033,8
11,Deontay Burnett,USC,0,0,12,11,15,9,4,15,12,10,2,8,7,0,3,0,0,0,19,0,9.6,8.3,0.0,135,86,1114,9
12,Anthony Johnson,Buff,0,0,4,5,9,7,18,13,11,15,0,12,12,8,0,0,0,0,0,0,11.2,10.1,0.0,134,76,1356,14
13,Courtland Sutton,SMU,0,0,14,7,5,12,20,0,8,10,12,12,9,9,0,0,0,10,0,0,10.3,8.1,0.0,134,68,1085,12
14,Allen Lazard,IaSt,0,0,15,9,0,13,6,4,6,11,10,13,6,13,0,0,0,0,15,0,10.2,7.1,0.0,132,71,941,10
15,Ty Lee,MiddTn,0,0,11,7,12,11,8,8,10,0,10,12,16,10,0,0,8,0,0,0,9.9,7.4,0.0,129,79,955,5
16,Simmie Cobbs,Ind,0,0,8,0,4,8,12,11,12,12,8,10,7,19,0,0,0,0,0,0,10.7,6.6,0.0,128,72,841,8
17,Jaleel Scott,NMSt,0,0,10,9,6,14,0,9,0,8,11,0,8,13,17,0,0,0,8,0,10.3,8.7,0.0,124,76,1079,9
18,Keke Coutee,TxTch,0,0,0,16,12,5,9,8,9,6,16,4,3,14,0,0,0,15,0,0,9.5,11.6,0.0,123,93,1429,10
19,N'Keal Harry,AriSt,0,0,8,17,10,7,0,14,11,7,13,11,0,6,0,0,0,0,11,0,9.4,9.4,0.0,122,82,1142,8
20,James Washington,OkSt,0,0,3,7,9,12,0,11,7,13,12,1,18,12,0,0,0,0,10,0,9.3,12.8,0.0,121,74,1549,13
21,Penny Hart,GaSt,0,0,0,12,15,0,13,14,12,13,14,6,0,11,3,0,3,0,0,0,10.1,9.3,0.0,121,74,1121,8
22,Justin Hall,BallSt,0,0,9,10,9,21,16,0,4,12,8,9,12,8,0,0,0,0,0,0,10.0,6.7,0.0,120,78,801,3
