,,,Fantasy,,Passing,,,,,,Rushing,,
Name,Team,G,Pts,Pts/G,COMP,ATT,YDS,TD,INT,YPA,ATT,YDS,TD
Kyle Trask,Florida,12,409.2,34.1,301,437,4283,43,8,9.80,64,50,3
Zach Wilson,BYU,12,405.2,33.8,247,336,3692,33,3,10.99,70,254,10
Mac Jones,Alabama,13,395.6,30.4,311,402,4500,41,4,11.19,35,14,1
Malik Willis,Liberty,10,370.9,37.1,170,265,2250,20,6,8.49,141,944,14
Matt Corral,Mississippi,10,357.5,35.7,231,326,3337,29,14,10.24,112,506,4
Sam Howell,North Carolina,12,350.0,29.2,237,348,3586,30,7,10.30,92,146,5
Dillon Gabriel,Central Florida,10,335.4,33.5,248,413,3570,32,4,8.64,72,169,2
Grayson McCall,Coastal Carolina,11,327.3,29.8,172,250,2488,26,3,9.95,111,569,7
Trevor Lawrence,Clemson,10,322.8,32.3,231,334,3153,24,5,9.44,68,203,8
Desmond Ridder,Cincinnati,10,322.0,32.2,186,281,2296,19,6,8.17,98,592,12
Sam Ehlinger,Texas,10,318.0,31.8,194,322,2566,26,5,7.97,113,377,8
Spencer Rattler,Oklahoma,11,315.6,28.7,214,317,3031,28,7,9.56,81,160,6
Brady White,Memphis,11,314.5,28.6,254,420,3380,31,10,8.05,63,88,2
Malik Cunningham,Louisville,11,313.8,28.5,195,304,2617,20,12,8.61,131,609,7
D'Eriq King,Miami,11,305.7,27.8,211,329,2686,23,5,8.16,130,538,4
Ian Book,Notre Dame,12,304.0,25.3,228,353,2830,15,3,8.02,116,485,9
Brock Purdy,Iowa State,12,281.7,23.5,243,365,2750,19,9,7.53,87,382,5
Shane Buechele,SMU,10,269.3,26.9,242,370,3095,23,6,8.36,58,105,2
Brennan Armstrong,Virginia,9,263.5,29.3,157,268,2117,18,11,7.90,126,552,5
Justin Fields,Ohio State,8,261.3,32.7,158,225,2100,22,6,9.33,81,383,5
Cornelious Brown,Georgia State,10,254.0,25.4,178,304,2278,17,10,7.49,98,301,7
Levi Lewis,Louisiana-Lafayette,11,253.2,23.0,177,297,2274,19,7,7.66,55,335,5
Chevan Cordeiro,Hawaii,9,250.5,27.8,195,313,2083,14,6,6.65,116,483,7
Bo Nix,Auburn,11,249.6,22.7,214,357,2415,12,7,6.76,108,388,7
Asher O'Hara,Middle Tenn. St,9,248.7,27.6,192,287,1960,12,8,6.83,175,601,7
Kellen Mond,Texas A&M,10,243.5,24.4,188,297,2282,19,3,7.68,74,294,4
Max Duggan,TCU,10,242.4,24.2,146,240,1795,10,4,7.48,116,526,10
Carson Strong,Nevada,9,241.4,26.8,249,355,2858,27,4,8.05,33,-95,0
Michael Pratt,Tulane,10,241.2,24.1,140,254,1806,20,8,7.11,115,229,8
Frank Harris,UTSA,11,237.1,21.6,159,250,1630,12,6,6.52,95,528,9
Kenny Pickett,Pittsburgh,9,234.9,26.1,203,332,2408,13,9,7.25,81,145,8
Zac Thomas,Appalachian State,12,232.7,19.4,186,291,2189,20,11,7.52,90,312,2
Jeff Sims,Georgia Tech,10,231.3,23.1,141,257,1881,13,13,7.32,120,492,6
Phil Jurkovec,Boston College,10,228.9,22.9,205,336,2558,17,5,7.61,77,150,3
