,,,Fantasy,,Passing,,,,,,Rushing,,
Hendon Hooker,Virginia Tech,8,220.6,27.6,98,150,1339,9,5,8.93,120,620,9
Clayton Tune,Houston,8,219.8,27.5,170,285,2048,15,10,7.19,72,253,5
Sean Clifford,Penn State,9,209.7,23.3,152,251,1883,16,9,7.50,99,335,3
Grant Wells,Marshall,10,206.0,20.6,165,270,2091,18,9,7.74,54,174,2
Drew Plitt,Ball State,8,205.1,25.6,164,250,2164,17,6,8.66,80,49,4
Feleipe Franks,Arkansas,9,199.8,22.2,163,238,2107,17,4,8.85,105,204,1
Preston Hutchinson,Eastern Michigan,6,199.7,33.3,126,198,1662,12,6,8.39,87,206,8
Spencer Sanders,Oklahoma State,9,195.4,21.7,155,247,2007,14,8,8.13,101,269,2
Trae Self,Stephen F. Austin,10,195.1,19.5,154,264,2008,15,7,7.61,68,107,4
Charlie Brewer,Baylor,9,193.3,21.5,198,321,1958,14,8,6.10,107,154,4
Jarret Doege,West Virginia,10,186.4,18.6,239,374,2587,14,4,6.92,40,-101,2
Kaleb Eleby,Western Michigan,6,185.6,30.9,99,153,1715,18,2,11.21,34,38,4
Holton Ahlers,East Carolina,8,185.0,23.1,165,269,1921,18,9,7.14,54,109,1
Bailey Hockman,North Carolina State,10,181.3,18.1,171,266,2088,13,11,7.85,58,-22,3
Layne Hatcher,Arkansas State,11,180.4,16.4,116,194,2058,19,2,10.61,43,15,0
Breylin Smith,Central Arkansas,8,177.7,22.2,174,310,1861,19,10,6.00,52,26,1
Peyton Ramsey,Northwestern,9,177.4,19.7,172,282,1733,12,8,6.15,84,247,3
Jason Bean,North Texas,8,177.2,22.1,79,145,1131,14,5,7.80,56,346,5
Jake Haener,Fresno State,6,176.9,29.5,150,232,2021,14,5,8.71,57,18,3
Jordan Travis,Florida State,8,175.2,21.9,72,131,1056,6,6,8.06,97,559,7
Sam Hartman,Wake Forest,9,175.1,19.5,159,273,2224,13,5,8.15,63,-1,2
Tyrrell Pigrome,Western Kentucky,11,173.9,15.8,171,297,1603,9,2,5.40,105,337,4
Brady McBride,Texas State,9,172.9,19.2,173,282,1925,17,7,6.83,64,76,0
Nick Starkel,San Jose State,8,172.7,21.6,163,254,2174,17,7,8.56,13,-40,0
Tyler Shough,Oregon,7,170.9,24.4,106,167,1559,13,6,9.34,66,271,2
Logan Bonner,Arkansas State,11,169.4,15.4,156,262,1863,18,6,7.11,34,25,0
Gunnar Watson,Troy,9,164.5,18.3,211,301,2141,16,7,7.11,30,-66,0
Chase Brice,Duke,11,163.8,14.9,193,352,2170,10,15,6.16,91,93,1
Adrian Martinez,Nebraska,7,162.9,23.3,108,151,1055,4,3,6.99,91,521,7
Connor Bazelak,Missouri,10,160.8,16.1,218,324,2366,7,6,7.30,44,20,2
Terry Wilson,Kentucky,10,159.8,16.0,125,200,1187,7,4,5.94,104,424,5
Kedon Slovis,USC,6,158.4,26.4,177,264,1921,17,7,7.28,23,-57,0
Dustin Crum,Kent,4,155.1,38.8,83,113,1181,12,2,10.45,44,240,4
Bailey Zappe,Houston Baptist,4,154.1,38.5,141,215,1833,15,1,8.53,19,14,0
Dorian Thompson-Robinson,UCLA,5,152.6,30.5,90,138,1120,12,4,8.12,55,306,3
Desmond Trotter,South Alabama,10,152.2,15.2,160,248,1917,11,4,7.73,84,3,2
Michael Penix,Indiana,6,151.5,25.2,124,220,1645,14,4,7.48,18,25,2
Austin Aune,North Texas,8,149.4,18.7,101,185,1650,13,4,8.92,27,29,2
Will Howard,Kansas State,9,145.3,16.1,90,168,1178,8,10,7.01,78,364,3
Will Rogers,Mississippi State,9,144.7,16.1,239,346,1976,11,7,5.71,30,-41,1
Zach Smith,Tulsa,9,143.2,15.9,147,263,1947,13,10,7.40,36,-62,0
Ken Seals,Vanderbilt,9,139.2,15.5,186,288,1928,12,10,6.69,41,-52,0
Luke Anthony,Louisiana Tech,9,138.9,15.4,138,221,1479,16,5,6.69,49,-58,1
Parker McKinney,Eastern Kentucky,6,130.9,21.8,102,160,1358,12,5,8.49,59,150,0
Sam Noyer,Colorado,6,129.9,21.6,88,160,1101,6,7,6.88,52,208,5
Spencer Petras,Iowa,8,126.1,15.8,140,245,1569,9,5,6.40,32,-4,2
Davis Mills,Stanford,5,125.1,25.0,129,195,1508,7,3,7.73,30,37,3
Noah Vedral,Rutgers,7,123.1,17.6,136,221,1253,9,8,5.67,68,193,1
Kyle Vantrease,Buffalo,7,122.1,17.4,96,154,1326,7,3,8.61,11,38,4
Alan Bowman,Texas Tech,8,120.4,15.1,150,232,1602,10,7,6.91,10,3,0
Jordan McCloud,South Florida,8,118.3,14.8,120,194,1341,9,2,6.91,62,74,1
Colby Suits,Louisiana-Monroe,8,114.6,14.3,151,248,1537,8,7,6.20,35,57,0
Graham Mertz,Wisconsin,7,113.7,16.2,118,193,1238,9,5,6.41,36,38,2
Collin Hill,South Carolina,8,110.6,13.8,127,215,1411,6,6,6.56,43,-66,4
Max Johnson,LSU,6,109.4,18.2,88,150,1069,8,1,7.13,54,119,2
Chris Reynolds,UNC Charlotte,6,108.7,18.1,96,175,1305,8,2,7.46,50,36,0
Stetson Bennett,Georgia,8,108.4,13.5,86,155,1179,8,6,7.61,24,54,2
Jarrett Guarantano,Tennessee,7,105.3,15.0,103,166,1112,6,4,6.70,41,17,4
Ross Bowers,Northern Illinois,6,102.4,17.1,123,212,1365,10,2,6.44,20,-59,0
Henry Colombi,Texas Tech,6,101.6,16.9,109,166,1065,8,4,6.42,51,103,1
Tyler Vitt,Texas State,7,101.6,14.5,74,122,933,9,6,7.65,37,129,1
Jayden Daniels,Arizona State,4,101.4,25.3,49,84,701,5,1,8.35,33,223,4
Hajj-Malik Williams,Campbell,4,99.3,24.8,53,100,662,3,3,6.62,53,216,4
Eli Peters,Toledo,4,96.6,24.2,88,129,1106,9,2,8.57,25,53,0
Max Gilliam,UNLV,6,96.1,16.0,89,148,786,5,4,5.31,61,248,2
Myles Brennan,LSU,3,96.0,32.0,79,131,1112,11,3,8.49,17,-36,0
DJ Uiagalelei,Clemson,9,95.7,10.6,78,117,914,5,0,7.81,28,60,4
Nick Tronti,Florida Atlantic,9,95.2,10.6,89,167,905,6,3,5.42,70,139,2
Taulia Tagovailoa,Maryland,4,95.0,23.7,75,122,1011,7,7,8.29,26,44,2
Anthony Russo,Temple,3,94.5,31.5,92,135,868,9,6,6.43,22,31,2
JT Daniels,Georgia,4,94.5,23.6,80,119,1231,10,2,10.34,10,-71,0
Levi Williams,Wyoming,6,93.9,15.6,59,119,877,1,3,7.37,56,100,6
Tanner Morgan,Minnesota,7,93.2,13.3,106,183,1374,7,5,7.51,25,-35,0
Peyton Mansell,,6,93.2,15.5,104,167,1237,5,4,7.41,52,53,1
Hank Bachmeier,Boise State,5,92.9,18.6,96,156,1150,6,2,7.37,27,-6,2
Jack Abraham,Southern Miss,5,91.8,18.4,97,149,1224,7,4,8.21,29,26,0
Tyhier Tyler,Army,7,90.5,12.9,2,4,53,0,0,13.25,139,578,5
Rocky Lombardi,Michigan State,6,90.4,15.1,84,157,1090,8,9,6.94,32,39,0
Joe Milton,Michigan,6,88.6,14.8,80,141,1077,4,4,7.64,38,109,1
Gavin Hardison,UTEP,7,87.8,12.5,108,199,1419,5,5,7.13,25,-32,0
Jack Plummer,Purdue,3,87.0,29.0,88,124,938,8,2,7.56,16,21,1
Jake Bentley,Utah,5,85.4,17.1,77,124,882,6,6,7.11,34,113,1
Carter Bradley,Toledo,4,82.6,20.6,55,89,849,9,5,9.54,18,41,0
Chase Garbers,California,4,82.1,20.5,85,136,771,6,3,5.67,39,75,2
K.J. Costello,Mississippi State,6,81.7,13.6,134,209,1283,6,11,6.14,24,-65,0
Haaziq Daniels,Air Force,6,81.4,13.6,30,54,433,3,3,8.02,55,297,3
Rex Culpepper,Syracuse,10,81.0,8.1,94,190,1028,9,8,5.41,26,-64,0
Christian Anderson,Army,7,80.7,11.5,20,47,215,1,4,4.57,94,419,4
Jayden de Laura,Washington State,4,79.7,19.9,78,129,886,5,4,6.87,28,34,2
Dylan Morris,Washington,4,78.6,19.6,67,110,897,4,3,8.15,17,57,2
Mike Collins,Rice,3,77.6,25.9,53,86,802,10,1,9.33,30,-25,0
Devin Leary,North Carolina State,4,77.2,19.3,66,110,890,8,2,8.09,19,7,0
Jacob Free,Troy,6,76.8,12.8,88,152,1051,6,5,6.91,14,-58,1
TJ Finley,LSU,5,76.5,15.3,80,140,941,5,5,6.72,29,34,1
Bryson Lucero,UAB,7,76.0,10.9,79,146,969,7,8,6.64,8,-5,0
Zerrick Cooper,Jacksonville State,4,75.9,19.0,54,81,671,1,1,8.28,31,83,5
Tyler Johnston,UAB,5,73.6,14.7,57,97,843,7,1,8.69,14,34,0
Braxton Burmeister,Virginia Tech,6,72.6,12.1,48,84,687,2,1,8.18,46,182,2
Chance Nolan,Oregon State,5,71.6,14.3,46,91,537,6,2,5.90,30,147,1
Tristan Gebbia,Oregon State,4,70.4,17.6,80,129,824,3,3,6.39,19,-16,2
Skylar Thompson,Kansas State,3,69.1,23.0,40,64,626,4,0,9.78,19,38,3
Will Levis,Penn State,8,69.1,8.6,33,55,421,1,0,7.65,82,260,3
Jeremy Hunt,Louisiana-Monroe,8,68.9,8.6,70,129,742,6,4,5.75,35,18,1
Aidan O'Connell,Purdue,3,67.4,22.5,88,136,916,7,2,6.74,12,-64,0
Noah Johnson,South Florida,6,63.6,10.6,48,77,459,3,1,5.96,41,106,3
Andrew Peasley,Utah State,5,61.1,12.2,37,69,391,4,3,5.67,22,195,1
Tate Whatley,Southern Miss,4,60.7,15.2,37,65,460,3,2,7.08,19,36,4
Jalon Daniels,Kansas,7,59.9,8.6,76,152,718,1,4,4.72,73,20,3
Tevaka Tuioti,New Mexico,2,59.8,29.9,37,66,475,4,1,7.20,19,140,1
Dalen Morris,Navy,9,58.3,6.5,33,65,579,3,2,8.91,68,46,2
Jemel Jones,Army,5,57.6,11.5,9,19,156,2,2,8.21,42,238,3
Grant Gunnell,Arizona,4,57.5,14.4,64,93,625,6,2,6.72,23,22,0
Daniel Richardson,Central Michigan,5,56.3,11.3,63,99,714,4,2,7.21,14,-14,1
Miles Kendrick,Kansas,7,54.9,7.8,73,120,647,6,5,5.39,42,-15,0
Dennis Grosel,Boston College,3,54.6,18.2,37,54,568,6,3,10.52,7,22,0
Patrick O'Brien,Colorado State,4,54.6,13.6,45,80,591,3,2,7.39,23,10,2
Brandon Peters,Illinois,5,53.1,10.6,39,80,429,3,0,5.36,24,136,1
Emory Jones,Florida,9,52.8,5.9,18,32,221,2,1,6.91,32,217,2
Ty Brock,Central Michigan,5,52.8,10.6,38,65,351,2,2,5.40,25,118,2
Payton Thorne,Michigan State,4,51.8,13.0,48,85,582,3,3,6.85,25,47,1
Chance Lovertich,South Alabama,6,51.7,8.6,47,86,619,5,2,7.20,19,7,0
Zach Gibson,Akron,6,50.9,8.5,76,132,784,4,5,5.94,48,-43,0
Chase Griffin,UCLA,4,50.6,12.6,40,62,451,6,2,7.27,18,40,0
Calvin Brownholtz,UTEP,7,50.2,7.2,18,37,255,2,4,6.89,27,114,3
Matt McDonald,Bowling Green,5,49.5,9.9,54,123,712,1,6,5.79,27,39,1
Carson Baker,San Diego State,6,49.0,8.2,59,104,617,3,3,5.93,25,1,1
Tommy DeVito,Syracuse,4,48.0,12.0,48,96,593,4,2,6.18,43,23,0
Cade McNamara,Michigan,4,48.0,12.0,43,71,425,5,0,5.99,5,7,1
Trey Lowe,Southern Miss,4,46.1,11.5,36,59,433,2,3,7.34,44,104,1
Lowell Narcisse,UTSA,4,45.5,11.4,35,56,417,3,0,7.45,32,126,0
KJ Jefferson,Arkansas,5,45.5,9.1,20,41,295,3,0,7.20,28,67,2
Aaron Allen,Louisiana Tech,10,45.1,4.5,73,121,602,4,8,4.98,17,-10,0
Isaiah Velez,Eastern Kentucky,2,44.6,22.3,33,51,461,3,2,9.04,16,35,1
Harrison Bailey,Tennessee,6,42.1,7.0,48,68,578,4,2,8.50,23,-28,0
Shane Illingworth,Oklahoma State,4,41.9,10.5,41,70,554,4,1,7.91,12,-18,0
Brett Gabbert,Miami (OH),2,41.0,20.5,23,35,384,4,0,10.97,7,58,0
Lindell Stone,Virginia,4,40.7,10.2,60,102,449,4,3,4.40,8,25,0
Kevaris Thomas,Western Kentucky,3,39.4,13.1,37,70,369,3,2,5.27,24,29,1
Jordon Brookshire,San Diego State,3,38.6,12.9,42,74,410,2,2,5.54,45,101,0
Jack Sears,Boise State,3,38.4,12.8,23,27,332,3,0,12.30,9,38,1
Casey Thompson,Texas,3,38.4,12.8,12,17,225,6,0,13.24,8,31,0
Isaiah Chavez,New Mexico,2,37.7,18.8,19,28,251,2,0,8.96,22,111,1
Luke Doty,South Carolina,7,37.4,5.3,43,71,405,2,3,5.70,41,91,0
Jason Shelley,Utah State,4,35.8,9.0,51,99,420,2,2,4.24,33,68,0
Artur Sitkowski,Rutgers,4,34.4,8.6,52,81,444,3,0,5.48,14,2,0
Fred Payton,Coastal Carolina,6,34.4,5.7,18,36,283,3,2,7.86,15,82,0
Justin Tomlin,Georgia Southern,7,33.8,4.8,11,25,161,0,3,6.44,38,197,1
Kurtis Rourke,Ohio,3,33.0,11.0,30,44,386,3,0,8.77,14,17,0
Keon Howard,Tulane,5,33.0,6.6,25,58,314,1,1,5.41,15,73,1
AJ Mayer,Miami (OH),2,32.5,16.3,23,49,328,4,1,6.69,7,1,0
Anthony Brown,Oregon,2,32.2,16.1,15,23,164,2,0,7.13,7,40,2
J.T. Shrout,Tennessee,4,32.2,8.0,24,42,315,4,3,7.50,8,4,0
N'Kosi Perry,Miami,5,29.8,6.0,26,47,348,3,1,7.40,12,4,0
Armani Rogers,Ohio,3,29.8,9.9,5,9,48,1,0,5.33,19,114,2
Jack Tuttle,Indiana,3,29.8,9.9,44,72,362,2,1,5.03,15,37,0
Will Plummer,Arizona,3,28.9,9.6,43,80,388,0,3,4.85,29,95,0
Davis Brin,Tulsa,2,28.5,14.3,19,29,268,2,0,9.24,4,11,1
Collin Schlee,Kent,3,28.2,9.4,7,13,113,2,0,8.69,12,85,1
Re-al Mitchell,Temple,3,27.3,9.1,26,52,238,1,2,4.58,34,114,0
Lucas Johnson,San Diego State,2,27.2,13.6,14,24,184,1,0,7.67,8,80,1
Tanner Mordecai,Oklahoma,4,26.4,6.6,32,40,395,2,1,9.88,11,-14,0
Quincy Patterson,Virginia Tech,3,25.4,8.5,7,10,93,2,0,9.30,15,67,1
James Blackman,Florida State,4,25.2,6.3,43,76,366,2,3,4.82,18,-11,0
Chubba Purdy,Florida State,3,24.7,8.2,27,53,219,2,1,4.13,19,57,0
John Rhys Plumlee,Mississippi,6,24.6,4.1,5,7,65,1,0,9.29,25,94,0
Chris Ferguson,Liberty,6,24.1,4.0,19,37,197,4,0,5.32,4,-18,0
Xavier Arline,Navy,5,22.4,4.5,4,12,27,0,0,2.25,59,210,0
Ben Bryant,Cincinnati,5,21.0,4.2,11,14,90,1,0,6.43,6,65,1
Mason Garcia,East Carolina,3,19.9,6.6,10,23,104,0,0,4.52,19,87,1
JaCobian Morgan,Syracuse,3,19.8,6.6,31,49,285,2,2,5.82,12,-25,0
Dom Shoffner,UNC Charlotte,4,19.7,4.9,2,4,32,2,0,8.00,21,101,0
Joey Yellen,Pittsburgh,4,19.6,4.9,35,78,402,1,3,5.15,5,-45,0
Warren Bryan,Air Force,3,19.5,6.5,3,6,38,0,0,6.33,23,116,1
Max Bortenschlager,Florida International,5,19.2,3.8,22,48,284,2,1,5.92,10,-30,0
Baylor Romney,BYU,5,19.2,3.8,24,35,261,1,1,7.46,7,21,0
Cade Fennegan,Boise State,3,19.1,6.4,15,28,182,2,1,6.50,9,20,0
Eric Najarian,Maryland,1,18.7,18.7,12,23,218,2,0,9.48,7,-2,0
Josh Adkins,UTSA,4,18.4,4.6,18,33,270,1,0,8.18,2,9,0
Chandler Morris,Oklahoma,5,18.4,3.7,3,5,39,0,0,7.80,5,44,2
Andrew Bunch,Southeast Missouri State,1,18.2,18.2,6,15,53,1,2,3.53,9,115,0
Brendon Lewis,Colorado,1,18.1,18.1,6,10,95,0,0,9.50,9,73,1
Will Koch,Massachusetts,3,18.0,6.0,24,40,166,1,1,4.15,21,62,0
Kaylan Wiggins,Florida International,3,18.0,6.0,11,30,81,0,1,2.70,16,79,1
Stone Norton,Florida International,5,17.5,3.5,25,52,252,3,0,4.85,17,-71,0
Cade Ballard,Army,2,17.3,8.7,2,4,106,1,0,26.50,9,20,1
Doug Brumfield,UNLV,2,17.3,8.6,9,21,151,0,0,7.19,14,37,1
Hunter Dekkers,Iowa State,3,17.1,5.7,5,7,118,1,0,16.86,3,12,1
Tanner McGee,South Alabama,1,16.1,16.1,6,8,145,2,0,18.13,4,8,0
Austin Kendall,West Virginia,2,16.0,8.0,11,23,164,2,0,7.13,2,-2,0
Miller Mosley,Georgia Southern,2,15.5,7.7,6,15,131,1,2,8.73,13,49,0
Gunnar Holmberg,Duke,6,15.0,2.5,18,25,161,0,2,6.44,23,9,1
Stone Earle,,2,14.7,7.3,21,33,173,1,0,5.24,13,20,0
Trad Beatty,Temple,2,14.5,7.3,17,27,230,1,1,8.52,10,-10,0
Jaden Johnson,Missouri State,3,14.1,4.7,39,79,383,0,4,4.85,43,-51,0
Mike Wright,Vanderbilt,4,14.1,3.5,6,10,51,1,1,5.10,14,15,1
Nick Patti,Pittsburgh,2,14.0,7.0,2,5,17,0,0,3.40,7,11,2
Ira Armstead,Virginia,3,13.8,4.6,1,3,9,0,0,3.00,10,68,1
Luke Zban,Marshall,3,13.5,4.5,6,8,38,1,0,4.75,9,76,0
Kare' Lyles,,1,13.5,13.5,15,27,152,1,2,5.63,3,19,0
Michael Kern,Wake Forest,4,13.4,3.3,12,24,253,0,0,10.54,8,7,0
Drayton Arnold,UT-Chattanooga,1,13.2,13.2,9,23,90,0,0,3.91,13,27,1
Justin Rogers,UNLV,2,13.2,6.6,14,22,161,1,0,7.32,10,11,0
Isaiah Sanders,Stanford,2,12.6,6.3,0,0,0,0,0,0.00,3,6,2
Andrew Haidet,Northern Illinois,4,12.5,3.1,3,6,44,1,0,7.33,3,3,1
Matthew Downing,TCU,4,12.4,3.1,17,30,168,1,1,5.60,11,0,0
Anthony Richardson,Florida,3,11.5,3.8,1,2,27,1,1,13.50,7,61,0
Garrett Dzuro,Massachusetts,3,11.4,3.8,15,36,220,0,2,6.11,12,4,0
Haynes King,Texas A&M,2,11.3,5.6,2,4,59,1,1,14.75,6,43,0
Hunter Helms,Clemson,3,11.2,3.7,9,12,77,2,0,6.42,2,-7,0
C.J. Stroud,Ohio State,1,10.8,10.8,0,0,0,0,0,0.00,1,48,1
Ben Finley,North Carolina State,1,10.3,10.3,13,20,143,1,2,7.15,2,-9,0
Nick Gerber,,1,10.2,10.2,16,36,174,0,1,4.83,11,15,0
D'Wan Mathis,Georgia,3,10.2,3.4,12,30,89,1,3,2.97,18,17,0
Dustin Fletcher,Northern Illinois,3,9.9,3.3,0,0,0,0,0,0.00,16,99,0
Rodney Thompson,Northern Illinois,2,9.7,4.9,1,2,34,0,0,17.00,6,20,1
Bryce Young,Alabama,7,9.5,1.4,13,22,156,1,0,7.09,9,-23,0
Terrance Gipson,SMU,4,9.4,2.4,3,3,30,0,0,10.00,7,19,1
Jacob Huesman,Appalachian State,2,8.5,4.3,3,4,34,0,0,8.50,1,8,1
Blaise Bentsen,Houston Baptist,4,8.5,2.1,1,1,5,0,0,5.00,6,22,1
Jack Miller,Ohio State,1,8.3,8.3,0,0,0,0,0,0.00,2,23,1
Drew Lisk,Utah,1,8.2,8.2,15,26,152,0,0,5.85,1,6,0
Jack West,Stanford,1,7.8,7.8,13,19,154,0,0,8.11,1,1,0
Zion Webb,Jacksonville State,3,7.8,2.6,13,18,115,0,0,6.39,5,20,0
Johnathan Bennett,Liberty,4,7.6,1.9,4,5,77,1,1,15.40,2,-3,0
Ben Gulbranson,Oregon State,1,7.2,7.2,6,9,64,1,0,7.11,0,0,0
Ben Wooldridge,Fresno State,2,7.2,3.6,8,16,117,0,0,7.31,2,13,0
Chase Wolf,Wisconsin,3,7.0,2.3,6,8,29,1,2,3.63,4,15,0
Matt Myers,Buffalo,2,6.9,3.4,2,2,11,0,0,5.50,3,3,1
Mitch Griffis,Wake Forest,3,6.6,2.2,4,13,56,1,0,4.31,2,-2,0
Brady Cook,Missouri,2,6.6,3.3,6,7,72,1,0,10.29,1,-10,0
Kason Martin,North Texas,2,6.5,3.2,5,6,49,1,0,8.17,0,0,0
Mike DiLiello,Middle Tenn. St,1,6.4,6.4,3,4,35,1,0,8.75,2,6,0
Daniel Karlin,Duke,1,6.1,6.1,0,0,0,0,0,0.00,1,1,1
Kamal Gray,Temple,1,6.1,6.1,10,21,95,0,2,4.52,2,13,0
Gunner Cruz,Washington State,1,6.0,6.0,5,7,34,1,0,4.86,2,3,0
Cammon Cooper,Washington State,2,6.0,3.0,11,16,99,0,0,6.19,4,10,0
Cade Fortin,South Florida,2,5.9,2.9,4,8,39,0,0,4.88,4,39,0
Knox Kadum,Virginia Tech,1,5.8,5.8,4,6,68,0,0,11.33,6,24,0
Connor Genal,New Mexico,2,5.3,2.7,11,18,98,0,2,5.44,1,4,0
Mikele Colasurdo,Georgia State,2,5.3,2.6,1,3,25,1,0,8.33,0,0,0
Tate Rodemaker,Florida State,4,5.2,1.3,17,29,130,0,3,4.48,8,-13,0
Garrett Greene,West Virginia,2,5.2,2.6,3,4,24,0,0,6.00,6,40,0
Mike Fallon,Massachusetts,1,5.2,5.2,7,12,41,0,1,3.42,4,31,0
Dequan Finn,Toledo,4,5.1,1.3,0,1,0,0,0,0.00,10,51,0
Thomas MacVittie,Kansas,2,5.1,2.6,6,10,24,0,1,2.40,8,39,0
Brian Maurer,Tennessee,4,4.6,1.1,2,6,9,0,0,1.50,5,41,0
Seth Boomer,Tulsa,1,4.5,4.5,7,13,60,0,1,4.62,4,15,0
Westin Elliott,Louisiana Tech,1,4.4,4.4,1,1,7,1,0,7.00,0,0,0
Jaiave Magalei,Louisiana-Lafayette,1,3.8,3.8,3,4,20,1,0,5.00,1,-12,0
Chase Cunningham,Middle Tenn. St,2,3.7,1.8,9,17,73,0,2,4.29,2,0,0
Andrew Marty,Northwestern,3,3.6,1.2,0,0,0,0,0,0.00,5,24,0
Jacolby Criswell,North Carolina,4,3.4,0.9,3,4,16,0,1,4.00,9,26,0
Taisun Phommachanh,Clemson,4,3.4,0.8,5,17,17,0,1,1.00,7,25,0
Katravis Marsh,South Florida,4,3.3,0.8,14,31,92,0,3,2.97,4,-13,0
Rhett Rodriguez,Arizona,1,3.1,3.1,7,16,52,0,2,3.25,1,5,0
Tanner McKee,Stanford,1,3.1,3.1,3,7,62,0,0,8.86,0,0,0
Ben Brittain,Air Force,2,3.1,1.5,1,1,31,0,0,31.00,4,15,0
Aveon Smith,Miami (OH),1,3.0,3.0,1,1,3,0,0,3.00,3,28,0
Justin Ibieta,Tulane,1,2.9,2.9,0,0,0,0,0,0.00,3,29,0
Bryce Carpenter,Coastal Carolina,2,2.9,1.5,0,0,0,0,0,0.00,4,11,0
Logan Holgorsen,Houston,3,2.6,0.9,4,9,57,0,0,6.33,2,-3,0
JD Head,Louisiana Tech,1,2.5,2.5,9,14,78,0,1,5.57,2,-14,0
Ethan Bullock,Oklahoma State,2,2.4,1.2,11,20,74,0,1,3.70,6,-13,0
T.J. DeShields,Akron,2,2.3,1.2,7,16,54,0,1,3.38,2,-4,0
Gerry Bohanon,Baylor,2,2.3,1.1,1,1,7,0,0,7.00,4,19,0
Jacob Zeno,Baylor,1,2.2,2.2,5,8,18,0,0,2.25,4,13,0
Tyler Lytle,Colorado,2,2.2,1.1,4,7,13,0,0,1.86,1,15,0
Jack Lindsey,Arkansas,1,2.0,2.0,0,0,0,0,0,0.00,1,20,0
Eli Gainey,South Alabama,1,1.9,1.9,6,9,38,0,0,4.22,0,0,0
CJ Harris,Ohio,1,1.8,1.8,1,1,4,0,0,4.00,3,16,0
Jordan Weeks,UTSA,2,1.8,0.9,9,27,74,0,1,2.74,8,-19,0
Ryan Hilinski,South Carolina,2,1.7,0.9,4,6,34,0,0,5.67,2,0,0
Matt Robinson,Illinois,2,1.6,0.8,3,4,22,0,0,5.50,4,5,0
Kaymen Cureton,Eastern Kentucky,1,1.6,1.6,0,0,0,0,0,0.00,1,16,0
Christian Parrish,Army,3,1.6,0.5,0,0,0,0,0,0.00,5,16,0
