,,,Fantasy,,Passing,,,,,,Rushing,,
Name,Team,G,Pts,Pts/G,COMP,ATT,YDS,TD,INT,YPA,ATT,YDS,TD
Alan Bowman,Michigan,3,0.5,0.2,2,4,9,0,1,2.25,0,0,0
Sam Vidlak,Oregon State,1,0.4,0.4,2,3,8,0,0,2.67,0,0,0
Justin Allen,Elon,2,0.4,0.2,0,0,0,0,0,0.00,1,4,0
Tate Rodemaker,Florida State,2,0.4,0.2,1,2,7,0,0,3.50,0,0,0
Bryce Veasley,Duquesne,2,0.4,0.2,1,1,7,0,0,7.00,0,0,0
Jonah Fitzgerald,,3,0.3,0.1,0,2,0,0,0,0.00,1,3,0
Bryson Lucero,UAB,1,0.3,0.3,0,0,0,0,0,0.00,1,3,0
Stone Frost,Middle Tenn. St,1,0.3,0.3,0,0,0,0,0,0.00,1,3,0
Gaston Moore,Tennessee,1,0.3,0.3,2,2,6,0,0,3.00,0,0,0
Taylen Green,Boise State,2,0.2,0.1,0,0,0,0,0,0.00,5,2,0
JaCobian Morgan,Syracuse,2,0.2,0.1,1,1,3,0,0,3.00,0,0,0
Mikele Colasurdo,Georgia State,8,0.1,0.0,2,2,2,0,0,1.00,0,0,0
Deuce Hogan,Iowa,1,0.1,0.1,1,1,2,0,0,2.00,0,0,0
Brandon Bass,Baylor,1,0.1,0.1,0,0,0,0,0,0.00,1,1,0
Gunnar Gundy,Oklahoma State,1,0.1,0.1,0,0,0,0,0,0.00,1,1,0
Jack Walker,Southern Miss,6,0.1,0.0,0,0,0,0,0,0.00,2,1,0
Trad Beatty,Georgia Tech,1,0.1,0.1,0,0,0,0,0,0.00,1,1,0
Jacob Drena,UConn,1,0.1,0.1,2,3,15,0,0,5.00,1,-7,0
Brian Garcia,Louisiana-Monroe,12,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Pat McQuaide,Kent,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Ryan Johnson,Illinois,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
David Foust,Maryland,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Kyron Drones,Baylor,2,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Jakolby Longino,UTEP,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Clay Houghtaling,New Mexico State,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Brody Rhodes,Georgia Tech,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Aaron McLaughlin,North Carolina State,2,0.0,0.0,0,0,0,0,0,0.00,1,0,0
Brock Vandagriff,Georgia,2,0.0,0.0,0,1,0,0,0,0.00,0,0,0
Quinn Ewers,Ohio State,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Josh Stupin,SMU,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Ridge Jacobs,South Florida,5,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Jake Rubley,Kansas State,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Alex Grado,Mississippi,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Jake Weir,Mississippi State,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Sully McDermott,Tennessee,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Charles Wright,Texas,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Eric Najarian,Maryland,2,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Casey Case,Buffalo,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Grady Robison,Western Kentucky,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Ryan Lantz,Georgia Tech,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Spencer Smith,Tennessee,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Matthew Rueve,Boston College,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Navy Shuler,Appalachian State,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Micah Bowens,Oklahoma,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Blake Clark,Iowa State,13,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Spencer Jones,Oklahoma,13,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Daelen Menard,Boston College,2,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Ben Ballard,Texas,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Jared Rayman,Virginia,4,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Roman Fuller,Tulsa,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Jonah O'Brien,Colorado State,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Jason Goldstein,Southern Miss,1,0.0,0.0,0,1,0,0,1,0.00,0,0,0
Gino English,Florida State,2,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Keilon Brown,Memphis,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Cole Capen,Notre Dame,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Jacob Oehrlein,SMU,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Beau Nelson,Stanford,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Griffin Brewster,Kent,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Luke Ashworth,Arizona,1,0.0,0.0,0,1,0,0,1,0.00,0,0,0
Reinard Britz,Texas A&M,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Jack Albers,Purdue,13,0.0,0.0,0,1,0,0,1,0.00,0,0,0
Haden Carlson,Florida International,2,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Peyton Smith,Michigan,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
A.J. Gucciardo,Toledo,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
LaBronz Davis,Bowling Green,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Alijah Curtis,,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Will Jontz,Indiana,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Mitch Griffis,Wake Forest,4,0.0,0.0,0,2,0,0,0,0.00,0,0,0
Eli Kosanovich,Pittsburgh,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Alex Flinn,East Carolina,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Austin Albericci,Rutgers,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Christopher Kaminski,Eastern Michigan,2,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Tylan Morton,South Alabama,3,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Nick Kargman,Western Michigan,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Nik Scalzo,Kentucky,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Seth Boomer,Tulsa,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Joey Yellen,Pittsburgh,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Ethan Long,Arizona State,13,0.0,0.0,0,0,0,0,0,0.00,0,0,0
Miles Fallin,Kansas,1,0.0,0.0,0,0,0,0,0,0.00,0,0,0
