,,,Fantasy,,Passing,,,,,,Rushing,,
Name,Team,G,Pts,Pts/G,COMP,ATT,YDS,TD,INT,YPA,ATT,YDS,TD
Lindsey Scott,,14,612.1,43.7,322,454,4686,60,8,10.32,132,712,11
Caleb Williams,USC,14,492.9,35.2,333,500,4537,42,5,9.07,113,382,10
Drake Maye,North Carolina,14,479.9,34.3,342,517,4321,38,7,8.36,184,698,7
Austin Reed,Western Kentucky,14,467.6,33.4,389,603,4744,40,11,7.87,91,224,8
Clayton Tune,Houston,13,448.1,34.5,334,496,4074,40,10,8.21,128,544,5
Frank Harris,UTSA,14,446.6,31.9,328,471,4063,32,9,8.63,129,602,9
Bo Nix,Oregon,13,440.3,33.9,294,409,3593,29,7,8.78,89,510,14
Matthew Sluka,,13,420.0,32.3,153,266,2489,26,4,9.36,203,1234,11
Parker McKinney,Eastern Kentucky,12,413.2,34.4,315,459,3956,33,8,8.62,89,354,8
Max Duggan,TCU,15,409.3,27.3,267,419,3698,32,8,8.83,137,423,9
Dorian Thompson-Robinson,UCLA,13,403.0,31.0,266,382,3169,27,10,8.30,118,645,12
Shedeur Sanders,,13,401.0,30.8,344,488,3752,40,6,7.69,85,174,6
Stetson Bennett,Georgia,15,394.9,26.3,310,454,4127,27,7,9.09,57,205,10
Michael Penix,Washington,13,389.3,29.9,362,554,4641,31,8,8.38,35,92,4
Riley Leonard,Duke,13,376.3,28.9,250,392,2967,20,6,7.57,124,699,13
Jayden Daniels,LSU,14,374.7,26.8,266,388,2913,17,3,7.51,186,885,11
Mark Gronowski,South Dakota State,15,366.8,24.5,232,356,2967,26,5,8.33,111,408,12
Michael Pratt,Tulane,13,366.3,28.2,215,338,3009,27,5,8.90,129,478,10
C.J. Stroud,Ohio State,13,359.2,27.6,258,389,3688,41,6,9.48,47,108,0
Sam Hartman,Wake Forest,12,356.0,29.7,270,428,3701,38,12,8.65,102,129,1
Holton Ahlers,East Carolina,13,353.0,27.2,315,469,3708,28,5,7.91,72,182,6
Jordan Travis,Florida State,13,346.6,26.7,226,353,3214,24,5,9.10,82,417,7
KJ Jefferson,Arkansas,11,346.4,31.5,204,300,2648,24,5,8.83,158,640,9
Jaren Hall,BYU,12,345.2,28.8,248,376,3171,31,6,8.43,86,350,3
Kyle Vantrease,Georgia Southern,13,342.4,26.3,371,604,4253,27,16,7.04,33,34,3
Cameron Rising,Utah,13,339.1,26.1,249,385,3034,26,8,7.88,77,465,6
John Rhys Plumlee,Central Florida,13,339.1,26.1,218,346,2586,14,8,7.47,159,862,11
Hendon Hooker,Tennessee,11,337.8,30.7,229,329,3135,27,2,9.53,104,430,5
Chevan Cordeiro,San Jose State,12,337.0,28.1,259,427,3251,23,6,7.61,138,265,9
Bryce Young,Alabama,12,336.9,28.1,245,380,3328,32,5,8.76,49,185,4
Tanner Mordecai,SMU,12,330.2,27.5,288,443,3524,33,10,7.95,59,100,2
Dillon Gabriel,Oklahoma,12,327.0,27.2,229,366,3163,25,6,8.64,89,315,6
Will Rogers,Mississippi State,13,323.5,24.9,415,610,3974,35,8,6.51,44,-165,0
Dequan Finn,Toledo,12,322.1,26.8,188,315,2260,23,12,7.17,130,631,9
Jayden de Laura,Arizona,12,321.6,26.8,272,435,3685,25,13,8.47,74,122,4
Austin Aune,North Texas,14,320.6,22.9,232,411,3547,33,15,8.63,44,52,1
Reece Udinski,Richmond,13,319.7,24.6,378,515,3614,29,5,7.02,72,-10,4
Seth Henigan,Memphis,13,319.5,24.6,286,446,3571,22,8,8.01,146,289,4
Todd Centeio,James Madison,10,316.2,31.6,181,284,2697,25,5,9.50,94,393,7
Anthony Richardson,Florida,12,314.9,26.2,176,327,2549,17,9,7.80,103,654,9
Kurtis Rourke,Ohio,11,313.4,28.5,244,353,3256,25,4,9.22,74,249,4
DJ Uiagalelei,Clemson,13,311.2,23.9,229,370,2521,22,7,6.81,142,545,7
Darren Grainger,Georgia State,12,303.6,25.3,174,297,2443,18,7,8.23,164,734,6
Fred Payton,Mercer,11,300.1,27.3,216,325,3019,32,8,9.29,59,161,1
Garrett Shrader,Syracuse,12,299.3,24.9,205,317,2640,17,7,8.33,150,453,9
Mike DiLiello,Austin Peay,11,299.0,27.2,200,330,2447,21,11,7.42,120,446,8
N'Kosi Perry,Florida Atlantic,12,297.5,24.8,215,371,2712,25,5,7.31,91,259,6
Carter Bradley,South Alabama,13,296.2,22.8,276,427,3343,28,12,7.83,68,50,2
Jaxson Dart,Mississippi,13,296.1,22.8,226,362,2974,20,11,8.22,128,614,1
Asher O'Hara,,13,295.4,22.7,81,111,873,11,0,7.86,211,937,19
Zevi Eckhaus,,11,293.9,26.7,253,416,3228,26,15,7.76,72,165,2
Theo Day,UNI,11,290.7,26.4,210,323,3121,26,6,9.66,70,66,4
Chase Brice,Appalachian State,12,289.8,24.1,219,349,2921,27,6,8.37,71,117,4
Max Brosmer,,13,289.4,22.3,263,420,3154,27,8,7.51,75,117,2
Cam Ward,Washington State,13,288.1,22.2,320,497,3231,23,9,6.50,107,58,5
Spencer Sanders,Oklahoma State,10,287.4,28.7,212,368,2642,17,9,7.18,107,391,8
Tyler Huff,,12,287.4,23.9,199,292,2199,15,8,7.53,105,694,8
Sean Clifford,Penn State,13,287.1,22.1,226,351,2822,24,7,8.04,69,176,5
Brady Cook,Missouri,13,286.7,22.1,247,382,2724,14,7,7.13,139,585,6
Grayson McCall,Coastal Carolina,11,286.5,26.0,207,297,2700,24,2,9.09,91,195,6
J.J. McCarthy,Michigan,14,284.6,20.3,208,322,2719,22,5,8.44,70,306,5
Matthew McKay,Elon,12,283.3,23.6,197,323,2709,21,4,8.39,119,458,3
Chase Cunningham,Middle Tenn. St,12,282.9,23.6,309,463,3156,21,10,6.82,99,52,6
Gevani McCoy,Idaho,11,278.3,25.3,204,298,2719,27,7,9.12,75,89,3
Dante Chachere,Portland State,11,276.7,25.2,148,248,1956,19,8,7.89,110,609,7
Taylen Green,Boise State,13,276.7,21.3,166,272,2042,14,6,7.51,81,586,10
Zion Webb,Jacksonville State,11,276.1,25.1,111,201,1737,10,9,8.64,115,647,13
Kasim Hill,Rhode Island,11,274.2,24.9,177,327,2588,19,7,7.91,107,268,7
Kasim Hill,Rhode Island,11,274.2,24.9,177,327,2588,19,7,7.91,107,268,7
Lucas Johnson,,12,273.4,22.8,187,305,2233,21,7,7.32,68,297,8
Reese Poffenbarger,Albany,11,271.9,24.7,227,369,2999,24,4,8.13,104,128,2
RJ Martinez,Northern Arizona,11,268.2,24.4,294,453,2877,16,8,6.35,70,68,8
Cole Snyder,Buffalo,13,263.5,20.3,271,461,3030,18,8,6.57,110,145,4
Sean Chambers,,11,261.9,23.8,43,71,623,8,4,8.77,131,847,19
Aidan O'Connell,Purdue,12,260.4,21.7,320,499,3490,22,13,6.99,43,-81,1
Jalon Jones,Bethune-Cookman,11,257.8,23.4,188,321,2275,14,7,7.09,131,574,5
Jalon Daniels,Kansas,9,257.2,28.6,152,230,2014,18,4,8.76,77,425,7
Trae Self,Stephen F. Austin,11,257.2,23.4,192,318,2577,19,4,8.10,79,163,6
Paxton DeLaurent,Southeast Missouri State,10,257.1,25.7,210,344,2684,19,6,7.80,71,288,3
Preston Hutchinson,UT-Chattanooga,11,256.2,23.3,194,319,2723,17,11,8.54,66,160,6
Darius Wilson,William & Mary,13,255.9,19.7,151,239,2252,16,7,9.42,92,534,4
Taulia Tagovailoa,Maryland,12,252.8,21.1,262,391,3008,18,8,7.69,87,64,4
Chandler Rogers,Louisiana-Monroe,12,251.8,21.0,216,320,2403,15,7,7.51,145,353,5
Beau Allen,,11,249.3,22.7,193,341,2831,23,11,8.30,78,97,1
Hunter Dekkers,Iowa State,12,247.5,20.6,302,457,3044,19,14,6.66,89,73,2
Spencer Rattler,South Carolina,13,247.4,19.0,264,399,3026,18,12,7.58,73,46,3
Jason Shelley,Missouri State,11,244.4,22.2,204,334,2643,18,6,7.91,113,162,4
Bronson Barron,Weber State,13,242.7,18.7,204,344,2529,21,7,7.35,82,202,2
Malik Cunningham,Louisville,10,242.2,24.2,136,218,1568,8,5,7.19,114,565,12
Hajj-Malik Williams,Campbell,10,234.9,23.5,180,289,2221,12,7,7.69,88,338,7
Blake Stenstrom,,10,234.7,23.5,243,350,2742,16,5,7.83,93,156,3
Justin Miller,Southern Utah,11,233.4,21.2,240,367,2821,20,8,7.69,52,-62,3
Tommy DeVito,Illinois,13,233.3,17.9,257,369,2650,15,4,7.18,73,35,6
Blake Shapen,Baylor,13,233.1,17.9,233,368,2790,18,10,7.58,76,96,2
Jack Plummer,California,12,232.2,19.3,282,451,3095,21,9,6.86,52,-126,1
Tommy Schuster,North Dakota,12,231.8,19.3,251,365,2730,20,5,7.48,74,26,2
Jeremy Moussa,Florida A&M,11,229.8,20.9,226,394,2732,21,10,6.93,44,-52,1
Collin Schlee,Kent,11,229.1,20.8,157,266,2109,13,5,7.93,98,492,4
Matt McDonald,Bowling Green,12,227.7,19.0,231,378,2654,22,9,7.02,71,12,1
DJ Irons,Akron,10,225.7,22.6,253,379,2605,10,7,6.87,133,314,4
Cephus Johnson,,12,225.5,18.8,138,214,1527,10,6,7.14,104,611,8
Jake Haener,Fresno State,10,224.5,22.5,252,350,2896,20,3,8.27,46,-123,2
