,,,Fantasy,,Passing,,,,,,Rushing,,
Andrew Body,,11,222.7,20.2,147,262,1801,13,6,6.87,126,570,4
Robby Ashford,Auburn,12,221.7,18.5,123,250,1613,7,7,6.45,153,710,7
Payton Thorne,Michigan State,12,220.2,18.3,242,387,2679,19,11,6.92,60,42,1
Joseph Fagnano,Maine,11,219.2,19.9,208,364,2231,15,6,6.13,93,296,3
E.J. Warner,Temple,11,218.4,19.9,268,443,3028,18,12,6.84,16,-50,0
Cole Doyle,St. Francis (PA),11,217.6,19.8,141,216,1931,21,3,8.94,50,310,1
Chris Reynolds,UNC Charlotte,10,217.0,21.7,201,316,2540,22,11,8.04,46,-40,1
Casey Thompson,Nebraska,10,216.3,21.6,173,274,2407,17,10,8.78,56,-21,5
Hayden Wolff,Old Dominion,12,215.4,18.0,234,412,2908,18,6,7.06,62,-80,1
Drew Pyne,Notre Dame,11,211.9,19.3,164,254,2021,22,6,7.96,47,108,2
Brennan Armstrong,Virginia,10,211.6,21.2,185,339,2210,7,12,6.52,123,371,6
Diego Pavia,New Mexico State,12,211.3,17.6,101,190,1450,13,6,7.63,93,508,6
Will McElvain,Central Arkansas,11,211.1,19.2,190,314,2592,18,8,8.25,65,-25,2
Adrian Martinez,Kansas State,10,210.9,21.1,118,184,1261,6,1,6.85,111,627,10
TJ McMahon,Rice,10,210.5,21.1,160,266,2102,18,14,7.90,65,154,3
Ben Bryant,Cincinnati,11,208.6,19.0,213,348,2732,21,7,7.85,47,-120,0
Tyrrell Pigrome,,11,207.3,18.8,155,274,1638,14,6,5.98,134,574,2
Spencer Brasch,Cal Poly,10,205.5,20.6,206,348,2604,19,13,7.48,45,-41,0
Tanner McKee,Stanford,12,202.4,16.9,264,426,2947,13,8,6.92,74,-90,2
Grant Wells,Virginia Tech,11,201.8,18.3,196,332,2171,9,9,6.54,111,212,6
Aveon Smith,Miami (OH),10,200.3,20.0,108,219,1299,11,5,5.93,123,553,6
Layne Hatcher,Texas State,12,199.6,16.6,275,442,2653,19,10,6.00,50,-151,1
John Paddock,Ball State,12,199.1,16.6,285,479,2709,18,14,5.66,27,-84,0
Gunnar Watson,Troy,13,198.3,15.3,206,335,2818,14,12,8.41,61,-173,2
Will Levis,Kentucky,11,197.6,18.0,185,283,2406,19,10,8.50,72,-107,2
Doug Brumfield,UNLV,10,197.0,19.7,164,254,1898,10,5,7.47,90,261,6
Tony Muskett,,8,194.2,24.3,143,223,1997,17,8,8.96,66,203,1
Graham Mertz,Wisconsin,12,190.8,15.9,164,286,2136,19,10,7.47,50,-40,2
Jalen Mayden,San Diego State,13,190.6,14.7,141,237,2030,12,10,8.57,69,231,3
Judd Erickson,,10,189.2,18.9,192,324,2271,19,7,7.01,23,-72,0
Haaziq Daniels,Air Force,13,187.3,14.4,40,83,836,7,2,10.07,138,695,8
James Blackman,Arkansas State,11,185.4,16.9,223,347,2471,14,3,7.12,61,-120,3
Maverick McIvor,,10,185.2,18.5,179,296,2212,16,9,7.47,46,49,1
Donovan Smith,Texas Tech,12,184.4,15.4,146,221,1505,12,8,6.81,76,116,7
Grayson James,Florida International,11,182.4,16.6,209,357,1962,11,11,5.50,79,223,3
Davis Brin,Tulsa,9,179.2,19.9,148,250,2138,17,8,8.55,48,-77,2
Carlos Davis,Western Carolina,7,177.4,25.3,148,220,1837,16,13,8.35,68,221,0
Mike Wright,Vanderbilt,11,177.3,16.1,85,148,974,12,4,6.58,71,517,5
Brock Bagozzi,,11,176.8,16.1,207,357,2188,11,11,6.13,41,50,2
Brayden Schager,Hawaii,12,174.1,14.5,221,400,2348,13,10,5.87,45,47,0
Dante Perri,,11,174.1,15.8,206,357,2213,12,9,6.20,67,34,2
Ben Wooldridge,Louisiana-Lafayette,10,173.9,17.4,138,244,1661,15,5,6.81,48,188,2
Taylor Powell,Eastern Michigan,9,171.8,19.1,174,269,2111,16,8,7.85,44,-98,2
Joe Mischler,Duquesne,11,169.7,15.4,165,283,1869,17,14,6.60,37,-38,2
Quinn Ewers,Texas,10,169.7,17.0,172,296,2177,15,6,7.35,24,-52,1
Jimmy Weirick,,11,169.4,15.4,187,322,2479,12,7,7.70,53,-26,0
Cam Fancher,Marshall,13,167.6,12.9,130,234,1543,10,6,6.59,106,444,1
Jason Bean,Kansas,12,166.2,13.9,87,136,1280,14,4,9.41,38,222,4
Andrew Peasley,Wyoming,12,164.6,13.7,144,275,1574,10,9,5.72,81,339,2
Tyhier Tyler,Army,11,163.1,14.8,8,18,301,2,1,16.72,143,663,12
Will Howard,Kansas State,7,161.9,23.1,119,199,1633,15,4,8.21,35,22,3
Zack Annexstad,,8,161.5,20.2,162,258,1691,11,7,6.55,57,89,4
Cooper Legas,Utah State,10,161.3,16.1,135,221,1499,11,10,6.78,108,303,2
Parker McNeil,Louisiana Tech,8,160.6,20.1,123,214,1908,18,8,8.92,25,-68,0
Connor Bazelak,Indiana,10,159.9,16.0,235,426,2312,13,10,5.43,47,-160,1
Gavin Hardison,UTEP,10,159.8,16.0,164,315,2044,11,8,6.49,66,76,1
Dylan Hopkins,UAB,11,159.3,14.5,136,215,1913,10,4,8.90,48,116,2
Dylan McCaffrey,,10,158.9,15.9,188,315,1905,12,12,6.05,67,156,0
Jalen Fowler,North Carolina A&T,10,158.4,15.8,141,227,1796,15,6,7.91,52,86,0
JT Daniels,West Virginia,10,158.3,15.8,200,327,2107,13,9,6.44,30,-51,1
Victor Gabalis,,11,157.6,14.3,134,258,1948,17,10,7.55,28,-78,0
Johnathan Bennett,Liberty,12,154.8,12.9,131,224,1534,12,9,6.85,76,181,2
Daniel Richardson,Central Michigan,12,153.9,12.8,179,318,1988,15,5,6.25,33,-55,0
Kedon Slovis,Pittsburgh,11,153.1,13.9,184,315,2397,10,9,7.61,25,-68,0
Draylen Ellis,Tennessee State,10,151.9,15.2,153,279,1807,8,6,6.48,97,55,4
Ben Gulbranson,Oregon State,10,146.4,14.6,121,194,1455,9,5,7.50,40,52,5
Zion Turner,UConn,13,145.8,11.2,149,258,1407,9,10,5.45,90,262,1
Tyler Shough,Texas Tech,7,144.1,20.6,106,177,1304,7,4,7.37,72,269,4
Braylon Braxton,Tulsa,9,142.5,15.8,92,163,1133,10,2,6.95,55,145,5
Nate Cox,Nevada,11,138.4,12.6,133,251,1464,5,5,5.83,72,272,3
Tanner Morgan,Minnesota,9,134.6,15.0,107,160,1382,9,5,8.64,34,55,4
Clay Millen,Colorado State,10,134.3,13.4,169,234,1910,10,6,8.16,100,-28,0
Gerry Bohanon,South Florida,7,134.1,19.2,91,160,1070,6,6,6.69,60,386,3
Michael Chandler,,10,134.0,13.4,87,206,1244,8,8,6.04,67,218,3
Emory Jones,Arizona State,8,131.8,16.5,125,199,1533,7,4,7.70,59,31,4
Phil Jurkovec,Boston College,8,131.3,16.4,147,247,1711,11,8,6.93,68,-43,1
Dom Shoffner,,8,131.1,16.4,42,98,626,7,6,6.39,104,418,5
Tai Lavatai,Navy,8,128.9,16.1,42,91,787,5,3,8.65,115,309,5
Tyler Van Dyke,Miami,9,128.4,14.3,160,253,1835,10,5,7.25,30,-34,0
Kaidon Salter,Liberty,8,126.9,15.9,87,149,1088,8,5,7.30,69,285,2
Devin Leary,North Carolina State,6,125.4,20.9,118,193,1265,11,4,6.55,23,1,3
Re-al Mitchell,,10,123.1,12.3,9,13,91,3,0,7.00,73,433,4
Chandler Fields,Louisiana-Lafayette,8,120.9,15.1,106,182,1123,11,4,6.17,36,87,2
Trenton Bourguet,Arizona State,7,119.5,17.1,145,204,1490,11,6,7.30,24,10,0
Shane Hamm,,7,119.3,17.0,63,112,701,6,4,6.26,91,422,3
Ryan Hilinski,Northwestern,8,117.8,14.7,144,258,1644,6,7,6.37,20,-4,2
Keegan Shoemaker,Sam Houston,7,117.5,16.8,95,204,1122,6,5,5.50,48,254,2
Dematrius Davis,,9,115.1,12.8,94,158,1204,7,4,7.62,77,149,2
Jonah O'Brien,,8,114.9,14.4,87,136,853,9,8,6.27,63,62,5
Tucker Gleason,Toledo,9,112.7,12.5,58,122,884,8,3,7.25,42,185,3
Aaron Allen,,8,111.4,13.9,121,194,1424,8,7,7.34,44,22,1
Jeff Sims,Georgia Tech,7,110.7,15.8,110,188,1115,5,3,5.93,87,288,1
Spencer Petras,Iowa,12,105.8,8.8,157,281,1725,5,5,6.14,57,-182,3
Garrett Greene,West Virginia,9,105.5,11.7,43,78,493,5,3,6.32,45,276,5
Behren Morton,Texas Tech,9,103.8,11.5,96,169,1117,7,6,6.61,42,79,2
Jack Salopek,Western Michigan,7,103.5,14.8,104,212,1285,7,11,6.06,58,52,1
Haynes King,Texas A&M,6,103.3,17.2,104,187,1220,7,6,6.52,29,83,1
Nick Kargman,,9,101.9,11.3,131,248,1531,9,9,6.17,21,-107,0
Emmett Morehead,Boston College,10,101.0,10.1,115,192,1254,10,6,6.53,44,-17,0
Kobe Tracy,,5,100.8,20.2,88,171,1244,9,3,7.27,31,26,0
Austin Smith,Eastern Michigan,9,100.2,11.1,68,118,774,6,4,6.56,61,255,2
Zach Wilcke,Southern Miss,8,99.6,12.4,101,176,1163,9,9,6.61,45,54,0
Joe Milton,Tennessee,9,96.3,10.7,53,82,971,10,0,11.84,18,77,0
AJ Swann,Vanderbilt,9,96.1,10.7,115,198,1274,10,2,6.43,21,-76,0
Bert Emanuel,Central Michigan,4,94.3,23.6,4,8,54,0,0,6.75,67,496,7
J.T. Shrout,Colorado,9,93.5,10.4,90,203,1220,7,8,6.01,30,-15,1
Jemel Jones,Army,8,91.1,11.4,13,38,250,1,1,6.58,72,326,7
Chance Nolan,Oregon State,5,88.5,17.7,66,111,939,7,8,8.46,16,75,1
Miles Kendrick,New Mexico,8,88.0,11.0,84,143,863,3,7,6.03,76,148,3
Conner Weigman,Texas A&M,5,86.5,17.3,73,132,896,8,0,6.79,27,97,0
Derek Green,,7,84.6,12.1,120,187,1248,4,7,6.67,58,62,0
Aidan Bouman,,5,81.7,16.3,80,132,892,8,1,6.76,17,-69,2
Jase Bauer,Central Michigan,6,81.0,13.5,35,59,435,1,5,7.37,53,312,4
Tyler Buchner,Notre Dame,3,80.9,27.0,46,83,652,3,5,7.86,36,123,4
Carson Baker,,7,80.6,11.5,67,128,752,7,3,5.88,37,90,1
Athan Kaliakmanis,Minnesota,11,79.3,7.2,60,111,946,3,4,8.52,34,140,1
Gavin Frakes,New Mexico State,11,79.1,7.2,55,110,736,4,7,6.69,33,143,2
Peyton Derrick,,8,79.1,9.9,45,84,579,5,6,6.89,95,241,1
Brock Domann,Louisville,10,76.3,7.6,76,141,958,4,6,6.79,32,64,1
Byrum Brown,South Florida,4,76.1,19.0,36,50,404,5,1,8.08,31,179,3
CJ Harris,Ohio,6,75.7,12.6,52,97,577,3,1,5.95,37,168,3
MJ Morris,North Carolina State,5,75.5,15.1,52,86,648,7,1,7.53,49,88,1
Hudson Card,Texas,12,75.0,6.3,75,108,928,6,1,8.59,17,46,0
Calvin Brownholtz,UTEP,9,74.7,8.3,37,63,512,4,4,8.13,32,151,3
Logan Fife,Fresno State,10,74.1,7.4,84,120,892,2,6,7.43,32,35,3
Katravis Marsh,South Florida,6,71.6,11.9,58,113,827,7,2,7.32,20,22,0
Jacob Zeno,UAB,9,71.5,7.9,58,102,721,5,3,7.07,32,94,1
Cade Klubnik,Clemson,10,70.7,7.1,61,100,697,2,3,6.97,42,139,2
Knox Kadum,McNeese State,7,69.4,9.9,82,163,978,6,10,6.00,60,-35,0
Henry Colombi,Marshall,7,69.1,9.9,94,128,938,6,4,7.33,43,-18,0
Brett Gabbert,Miami (OH),4,68.3,17.1,74,115,816,4,0,7.10,39,55,1
Xavier Arline,Navy,9,67.9,7.5,4,11,85,2,1,7.73,96,376,3
Jalen Milroe,Alabama,8,67.4,8.4,31,53,297,5,3,5.60,31,265,1
Ethan Hampton,Northern Illinois,4,67.3,16.8,72,122,798,7,6,6.54,12,-6,0
Trey Lowe,Southern Miss,7,67.2,9.6,62,119,965,5,2,8.11,31,-11,0
Jack Zergiotis,,5,66.3,13.3,52,106,667,7,1,6.29,29,-11,1
Nick Semptimphelter,,6,65.3,10.9,73,138,746,4,4,5.41,45,60,1
Zach Pyron,Georgia Tech,3,65.0,21.7,49,82,565,3,3,6.89,35,127,2
Gavin Wimsatt,Rutgers,8,64.2,8.0,65,144,757,5,7,5.26,40,63,0
Logan Bonner,Utah State,4,63.4,15.8,62,110,753,6,8,6.85,12,17,0
Chris Herron,,10,62.7,6.3,3,5,39,1,1,7.80,18,161,1
Jaden Jones,Cal Poly,3,62.3,20.8,50,88,655,5,0,7.44,26,95,0
Brendan Sullivan,Northwestern,6,61.2,10.2,71,96,589,4,3,6.14,54,97,1
Treyson Bourguet,Western Michigan,4,59.5,14.9,54,109,601,2,1,5.51,43,154,1
Garrett Nussmeier,LSU,7,58.7,8.4,52,84,800,5,4,9.52,1,-13,0
Rocky Lombardi,Northern Illinois,4,58.4,14.6,50,75,645,5,1,8.60,6,1,1
Landry Lyddy,Louisiana Tech,7,57.2,8.2,82,126,767,3,4,6.09,13,8,1
Ethan Long,,4,55.7,13.9,61,107,609,6,1,5.69,16,12,0
Mikey Keene,Central Florida,4,55.1,13.8,60,83,647,6,1,7.80,13,-13,0
Evan Simon,Rutgers,9,54.7,6.1,79,138,777,4,6,5.63,22,-2,0
Owen McCown,Colorado,4,53.8,13.5,57,100,600,2,2,6.00,27,38,2
AJ Padgett,Rice,5,53.1,10.6,39,77,634,5,1,8.23,30,14,0
Jake Garcia,Miami,8,52.7,6.6,68,115,803,5,4,6.98,25,-75,0
Brady Olson,Massachusetts,9,52.2,5.8,77,153,791,2,8,5.17,34,46,0
Cade Ballard,Army,9,51.8,5.8,20,46,363,2,2,7.89,49,196,1
Darius Perrantes,Duquesne,7,51.8,7.4,37,71,539,6,3,7.59,9,8,0
Jeff Undercuffler,Akron,6,51.3,8.5,70,120,791,5,5,6.59,17,-83,0
Garret Rangel,Oklahoma State,4,51.1,12.8,59,115,711,4,5,6.18,26,-5,0
Nevan Cremascoli,Northern Illinois,4,51.0,12.8,49,102,600,5,7,5.88,9,10,0
Myles Crawley,,8,50.4,6.3,58,96,785,4,5,8.18,13,-49,0
Bryson Barnes,Utah,10,49.1,4.9,37,57,430,4,2,7.54,20,116,0
Ben Finley,North Carolina State,3,48.3,16.1,65,123,741,3,3,6.02,6,-8,0
AJ Mayer,Arkansas State,9,47.6,5.3,19,39,214,2,1,5.49,32,169,2
Braxton Burmeister,San Diego State,9,47.4,5.3,36,72,263,2,3,3.65,39,183,1
Haden Carlson,Florida International,8,47.1,5.9,47,88,553,4,5,6.28,19,34,0
Billy Edwards,Maryland,8,47.0,5.9,28,46,308,3,0,6.70,34,136,1
Jacurri Brown,Miami,8,46.7,5.8,27,45,230,3,3,5.11,54,223,0
Jacob Sirmon,,6,46.4,7.7,52,93,595,4,2,6.40,20,-60,0
Hank Bachmeier,Boise State,4,46.3,11.6,51,94,497,6,3,5.29,12,-26,0
Preston Stone,SMU,6,45.7,7.6,28,48,388,2,1,8.08,14,63,2
Jarret Doege,Troy,7,44.9,6.4,44,64,575,5,3,8.98,14,-39,0
Drew Allar,Penn State,10,44.4,4.4,35,60,344,4,0,5.73,18,52,1
Max Johnson,Texas A&M,4,43.7,10.9,43,71,517,3,0,7.28,29,58,0
Camden Orth,Bowling Green,11,42.0,3.8,34,57,378,3,2,6.63,19,51,1
Jarrett Guest,Coastal Carolina,6,41.9,7.0,25,54,438,2,4,8.11,36,60,1
Shane Illingworth,Nevada,7,40.4,5.8,84,145,761,2,3,5.25,35,-57,0
Dexter Williams,Indiana,4,39.7,9.9,13,38,184,2,2,4.84,40,165,1
Clifton McDowell,Central Arkansas,7,39.0,5.6,10,21,115,2,2,5.48,18,132,2
Mitch Griffis,Wake Forest,5,38.8,7.8,29,41,348,5,1,8.49,15,14,0
Ty Keyes,Southern Miss,3,38.1,12.7,10,17,281,3,2,16.53,13,60,1
Steven Duncan,,8,36.7,4.6,19,34,357,1,1,10.50,13,28,2
Matthew Caldwell,,6,36.2,6.0,33,55,374,1,3,6.80,13,15,2
Carson Beck,Georgia,8,35.8,4.5,26,35,310,4,0,8.86,7,43,0
Ashton Daniels,Stanford,9,35.6,4.0,5,7,39,0,1,5.57,25,156,3
Miles Fallin,,3,35.5,11.8,57,89,455,2,4,5.11,26,47,0
TJ Finley,Auburn,4,34.9,8.7,33,53,431,1,4,8.13,17,33,1
Ethan Garbers,UCLA,6,34.7,5.8,26,37,294,2,2,7.95,7,0,2
Jack Chambers,North Carolina State,9,33.8,3.8,32,64,252,1,0,3.94,43,117,1
Bishop Davenport,Utah State,3,33.2,11.1,27,44,245,1,2,5.57,30,49,2
Walker Wood,McNeese State,4,32.6,8.1,18,25,261,1,2,10.44,23,94,1
Gavin Screws,Indiana State,6,32.4,5.4,64,121,683,1,6,5.64,22,-58,0
Zach Gibson,Georgia Tech,6,32.1,5.3,57,104,589,1,2,5.66,23,-14,0
Kyron Drones,Baylor,5,31.9,6.4,14,23,219,1,1,9.52,8,49,2
Gunnar Gundy,Oklahoma State,4,31.4,7.8,19,39,247,3,4,6.33,19,70,0
Harrison Bailey,UNLV,6,29.8,5.0,30,58,318,2,1,5.48,15,-1,1
Justin Holaday,New Mexico,5,29.5,5.9,26,59,222,0,1,3.76,50,135,1
Tyler Vander Waal,Idaho State,3,29.3,9.8,17,39,335,3,4,8.59,17,5,0
Matthew Downing,Louisiana Tech,4,29.2,7.3,33,62,356,3,4,5.74,20,-6,0
Nick Patti,Pittsburgh,3,29.1,9.7,29,61,304,2,1,4.98,14,59,0
Matt Myers,Buffalo,1,29.0,29.0,0,0,0,0,0,0.00,22,110,3
Austin Burton,Purdue,6,28.5,4.7,36,56,273,3,2,4.88,18,28,0
Bryson Daily,Army,4,28.3,7.1,0,1,0,0,0,0.00,12,163,2
Trapper Pannell,Sam Houston,2,27.9,13.9,9,30,127,0,2,4.23,22,155,1
Terrell Carter,,11,27.8,2.5,0,0,0,0,0,0.00,1,1,0
Noah Vedral,Rutgers,4,27.8,7.0,21,46,264,1,1,5.74,17,46,1
Luke Doty,South Carolina,5,27.6,5.5,10,14,146,2,2,10.43,5,63,1
Devin Kargman,Kent,6,26.7,4.5,29,70,348,3,3,4.97,7,-27,0
Chubba Purdy,Nebraska,6,26.7,4.4,22,48,147,0,3,3.06,24,73,2
Carlos Del Rio-Wilson,Syracuse,6,25.4,4.2,22,51,342,1,2,6.71,25,43,0
