,,,Fantasy,,Passing,,,,,,Rushing,,
Austin Reed,Western Kentucky,12,325.0,27.1,289,470,3340,31,11,7.11,42,100,4
Will Howard,Kansas State,12,324.1,27.0,219,357,2643,24,10,7.40,81,351,9
Mike DiLiello,Austin Peay,12,320.5,26.7,242,362,3164,28,10,8.74,123,203,5
Dequan Finn,Toledo,13,319.2,24.6,201,317,2657,22,9,8.38,123,563,7
Donovan Smith,Houston,12,315.7,26.3,256,396,2801,22,13,7.07,138,428,6
Preston Stone,SMU,12,315.7,26.3,206,344,3197,28,6,9.29,62,198,4
TJ Finley,Texas State,13,306.1,23.5,279,414,3439,24,8,8.31,78,81,5
Taulia Tagovailoa,Maryland,12,302.8,25.2,290,437,3377,25,11,7.73,68,18,5
Quinn Ewers,Texas,12,299.8,25.0,272,394,3479,22,6,8.83,59,75,5
Brayden Schager,Hawaii,13,299.4,23.0,332,525,3542,26,14,6.75,103,63,2
Zevi Eckhaus,,11,298.7,27.2,238,379,2907,28,7,7.67,78,353,1
Nicholas Vattiato,Middle Tenn. St,12,298.3,24.9,286,428,3092,23,13,7.22,139,397,2
Joe Milton,Tennessee,12,293.2,24.4,229,354,2813,20,5,7.95,78,299,7
CJ Montes,,11,287.8,26.2,241,376,3000,26,1,7.98,101,158,3
Shedeur Sanders,Colorado,11,285.8,26.0,298,430,3230,27,3,7.51,111,-77,4
Davis Brin,Georgia Southern,13,285.1,21.9,362,552,3781,24,19,6.85,74,-60,1
Clifton McDowell,,15,285.0,19.0,160,274,2026,13,4,7.39,169,753,9
Kyron Drones,Virginia Tech,13,284.1,21.9,166,285,2085,17,3,7.32,166,818,5
Gunnar Watson,Troy,14,281.9,20.1,268,439,3569,27,6,8.13,51,-106,1
Drew Allar,Penn State,13,278.0,21.4,233,389,2631,25,2,6.76,74,210,4
Jordan Travis,Florida State,11,277.4,25.2,207,324,2756,20,2,8.51,73,176,7
Jacob Zeno,UAB,11,277.1,25.2,279,379,3126,20,9,8.25,91,168,4
J.J. McCarthy,Michigan,15,275.8,18.4,240,332,2991,22,4,9.01,64,202,3
DJ Uiagalelei,Oregon State,12,273.8,22.8,180,315,2638,21,7,8.37,68,219,6
Hajj-Malik Williams,Campbell,11,273.4,24.9,232,328,2609,19,8,7.95,90,265,5
Rocco Becht,Iowa State,13,272.3,20.9,231,367,3120,23,8,8.50,62,63,3
Parker McKinney,Eastern Kentucky,11,271.5,24.7,265,419,3033,20,12,7.24,66,225,3
Spencer Rattler,South Carolina,12,269.7,22.5,275,399,3186,19,8,7.98,97,104,4
Jayden Maiava,UNLV,14,268.0,19.1,224,353,3085,17,10,8.74,73,277,3
Kinkead Dent,,11,267.9,24.4,192,353,2295,25,8,6.50,63,351,3
Kaiden Bennett,,12,267.3,22.3,182,283,2192,16,8,7.75,130,577,6
Michael Pratt,Tulane,11,266.9,24.3,185,283,2406,22,5,8.50,98,286,5
Dante Chachere,Portland State,11,265.6,24.1,143,231,1573,16,7,6.81,113,629,10
Brayden Fowler-Nicolosi,Colorado State,12,265.1,22.1,292,470,3460,22,16,7.36,33,-19,1
Chevan Cordeiro,San Jose State,13,263.9,20.3,223,362,2773,20,4,7.66,81,272,3
Andrew Peasley,Wyoming,12,263.5,22.0,166,266,1991,20,5,7.48,110,419,7
Jaylen Raynor,Arkansas State,11,263.2,23.9,166,285,2543,17,7,8.92,123,380,5
Emory Jones,Cincinnati,12,263.0,21.9,197,322,2219,18,10,6.89,155,560,4
Carter Peevy,Mercer,13,262.6,20.2,202,304,2284,11,5,7.51,125,324,12
Cade Klubnik,Clemson,13,260.4,20.0,290,454,2844,19,9,6.26,125,182,4
Sam Hartman,Notre Dame,12,260.4,21.7,191,301,2689,24,8,8.93,45,123,3
Justin Miller,Southern Utah,11,255.9,23.3,210,352,2527,28,9,7.18,36,39,2
John Rhys Plumlee,Central Florida,10,254.1,25.4,161,256,2271,15,8,8.87,106,505,5
Jack Plummer,Louisville,14,253.6,18.1,256,395,3204,21,12,8.11,98,34,1
Frank Harris,UTSA,10,253.6,25.4,218,336,2506,18,8,7.46,86,323,4
Kasim Hill,Rhode Island,11,249.3,22.7,221,373,3074,18,10,8.24,88,56,3
Kasim Hill,Rhode Island,11,249.3,22.7,221,373,3074,18,10,8.24,88,56,3
Kyle McCord,Ohio State,12,248.0,20.7,229,348,3170,24,6,9.11,32,-65,0
Alan Bowman,Oklahoma State,14,247.7,17.7,304,501,3460,15,14,6.91,26,24,2
E.J. Warner,Temple,10,246.5,24.7,256,445,3076,23,12,6.91,24,7,0
Jeremy Moussa,Florida A&M,12,243.7,20.3,214,371,2893,22,9,7.80,36,-10,2
Brennan Armstrong,North Carolina State,12,241.8,20.1,160,262,1785,11,7,6.81,143,665,7
Graham Mertz,Florida,11,241.7,22.0,261,358,2903,20,3,8.11,62,-75,4
Zach Calzada,,8,241.6,30.2,188,283,2598,19,9,9.18,34,57,5
Noah Fifita,Arizona,12,240.2,20.0,241,333,2869,25,6,8.62,38,-33,0
Jase Bauer,Central Michigan,12,238.6,19.9,163,287,1881,12,8,6.55,121,365,10
Gavin Wimsatt,Rutgers,13,238.5,18.3,138,289,1735,9,8,6.00,131,497,11
KJ Jefferson,Arkansas,12,238.1,19.8,190,296,2107,19,8,7.12,161,447,2
Mikey Keene,Fresno State,12,237.2,19.8,283,422,2976,24,10,7.05,29,-136,1
Grant Wilson,Old Dominion,12,237.2,19.8,178,312,2149,17,8,6.89,130,291,4
Devin Leary,Kentucky,13,236.9,18.2,209,373,2746,25,12,7.36,42,-60,1
Gevani McCoy,Idaho,12,236.3,19.7,229,354,2910,15,8,8.22,88,188,2
Derek Robertson,Maine,11,235.9,21.4,258,404,2933,25,13,7.26,29,-104,0
Chase Artopoeus,UT-Chattanooga,10,234.2,23.4,187,298,2672,20,7,8.97,59,146,1
Sean Chambers,,12,231.9,19.3,51,92,896,9,2,9.74,87,671,14
Garrett Shrader,Syracuse,11,231.3,21.0,134,214,1686,13,6,7.88,113,469,8
Ralph Rucker,,10,229.9,23.0,211,340,2537,21,5,7.46,90,130,1
Hudson Card,Purdue,11,229.7,20.9,215,365,2387,15,8,6.54,93,203,5
Taylen Green,Boise State,13,229.0,17.6,121,212,1752,11,9,8.26,77,434,9
Tyler Huff,,11,228.6,20.8,184,301,1869,10,6,6.21,105,591,6
Jason Bean,Kansas,12,224.5,18.7,124,199,2130,18,7,10.70,47,280,3
Jalen Mayden,San Diego State,12,224.4,18.7,199,314,2031,10,9,6.47,128,528,5
Will McElvain,Central Arkansas,11,224.0,20.4,239,376,2477,24,5,6.59,48,41,0
Payton Thorne,Auburn,13,221.3,17.0,162,266,1755,16,10,6.60,134,515,3
Kobe Tracy,,11,220.7,20.1,231,420,2762,19,12,6.58,29,-11,1
Tyler Van Dyke,Miami,11,220.3,20.0,219,333,2703,19,12,8.12,24,16,1
Keegan Shoemaker,Sam Houston,11,217.5,19.8,264,419,2507,15,11,5.98,92,260,1
Victor Gabalis,,11,214.9,19.5,164,301,2492,18,13,8.28,36,63,2
Rocky Lombardi,Northern Illinois,13,212.6,16.4,189,327,2274,11,7,6.95,72,129,7
Carter Bradley,South Alabama,11,210.6,19.1,221,326,2660,19,7,8.16,43,-44,1
Zion Webb,Jacksonville State,12,208.7,17.4,111,220,1437,6,8,6.53,132,708,7
Zack Annexstad,,9,208.4,23.2,221,317,2114,17,5,6.67,39,149,2
Tommy Schuster,North Dakota,12,206.8,17.2,208,294,2256,19,5,7.67,61,0,3
Darius Perrantes,Duquesne,12,205.9,17.2,131,263,2324,21,18,8.84,31,-63,2
Bryson Daily,Army,11,205.8,18.7,60,120,913,7,6,7.61,215,901,7
Keyone Jenkins,Florida International,11,205.7,18.7,194,332,2414,11,11,7.27,117,50,6
JT Daniels,Rice,9,205.7,22.9,181,287,2443,21,7,8.51,25,-65,1
Ashton Daniels,Stanford,12,203.6,17.0,191,325,2247,11,8,6.91,109,292,3
Cam Fancher,Marshall,10,203.4,20.3,202,309,2162,11,11,7.00,120,273,4
Theo Day,UNI,11,201.3,18.3,205,337,2876,16,15,8.53,55,-125,1
Kurtis Rourke,Ohio,11,201.0,18.3,195,307,2207,11,5,7.19,67,219,4
Brian Maurer,Stephen F. Austin,10,200.1,20.0,195,346,2066,14,9,5.97,62,228,3
Tanner Mordecai,Wisconsin,10,194.9,19.5,204,314,2065,9,4,6.58,90,302,4
Aaron Allen,,11,194.1,17.6,194,304,2265,15,6,7.45,51,74,2
Luke Altmyer,Illinois,9,192.4,21.4,175,270,1883,13,10,6.97,94,282,3
Brendan Sorsby,Indiana,10,192.0,19.2,135,237,1587,15,5,6.70,112,286,4
Aidan Bouman,,13,190.5,14.7,187,280,2551,15,6,9.11,29,-56,1
Zeon Chriss,Louisiana-Lafayette,8,190.3,23.8,102,153,1222,11,5,7.99,73,492,6
Myles Crawley,Grambling State,11,190.2,17.3,197,328,2303,16,8,7.02,32,-70,3
Colby Suits,Houston Baptist,10,188.2,18.8,158,283,1919,13,10,6.78,59,162,4
Blake Shapen,Baylor,8,187.7,23.5,184,298,2188,13,3,7.34,67,29,4
Jordan Pachot,Missouri State,10,186.0,18.6,183,271,2285,19,9,8.43,38,-103,1
Josh Hoover,TCU,9,183.0,20.3,186,299,2210,15,9,7.39,20,5,2
Maverick McIvor,,11,181.5,16.5,164,294,1972,17,5,6.71,45,29,2
Cooper Legas,Utah State,9,179.0,19.9,138,213,1815,19,8,8.52,68,122,0
Ta'Quan Roberson,UConn,11,175.7,16.0,197,338,2075,12,6,6.14,46,120,2
Cole Doyle,St. Francis (PA),8,175.7,22.0,115,200,1475,15,10,7.38,59,359,1
Sam Huard,Cal Poly,9,175.1,19.5,184,303,2247,18,10,7.42,19,-93,0
Blake Stenstrom,,10,174.9,17.5,209,352,2250,13,5,6.39,83,104,0
Anthony Colandrea,Virginia,8,172.4,21.6,154,246,1958,13,9,7.96,73,225,0
Cole Snyder,Buffalo,12,172.3,14.4,203,372,2109,13,9,5.67,67,88,1
Behren Morton,Texas Tech,10,172.0,17.2,182,293,1754,15,8,5.99,46,3,4
Bryson Barnes,Utah,11,171.1,15.6,142,242,1572,12,11,6.50,90,265,3
Pat McQuaide,,11,170.2,15.5,180,318,2196,13,12,6.91,50,-36,2
Athan Kaliakmanis,Minnesota,12,169.3,14.1,156,294,1838,14,9,6.25,74,94,2
Chandler Morris,TCU,7,167.5,23.9,133,203,1532,12,5,7.55,45,249,3
Matthew Downing,Elon,10,166.8,16.7,125,216,1915,19,4,8.87,60,-50,0
Dylan Hopkins,New Mexico,11,166.1,15.1,157,282,2074,11,9,7.35,51,124,1
Paxton DeLaurent,Southeast Missouri State,7,165.1,23.6,159,247,1792,11,2,7.26,62,75,4
Darius Wilson,William & Mary,10,164.1,16.4,131,217,1568,9,4,7.23,101,377,2
Brett Gabbert,Miami (OH),8,163.7,20.5,111,187,1634,14,5,8.74,49,140,2
Zac Larrier,Air Force,11,163.2,14.8,40,67,789,7,2,11.78,142,605,6
Fernando Mendoza,California,9,163.2,18.1,153,243,1731,14,10,7.12,49,86,2
Ben Bryant,Northwestern,9,163.1,18.1,173,277,1807,13,6,6.52,60,-33,4
Hank Bachmeier,Louisiana Tech,9,159.6,17.7,182,269,2058,10,5,7.65,58,47,2
Steven Krajewski,,11,158.9,14.4,140,258,1639,14,7,6.35,69,89,2
Harold Blood,,10,156.4,15.6,148,257,1963,13,11,7.64,71,2,1
Heinrich Haarberg,Nebraska,10,155.3,15.5,77,157,967,7,7,6.16,120,477,5
Kiael Kelly,Ball State,12,155.2,12.9,66,124,577,2,3,4.65,135,724,7
Austin Smith,Eastern Michigan,12,150.2,12.5,171,298,1775,9,7,5.96,101,134,2
Billy Wiles,Southern Miss,11,148.4,13.5,160,298,1934,11,7,6.49,58,17,1
Connor Bazelak,Bowling Green,11,148.3,13.5,169,279,1930,12,7,6.92,44,-82,2
Kedon Slovis,BYU,8,147.9,18.5,153,266,1716,12,6,6.45,29,-41,3
Cardell Williams,Tulsa,9,147.7,16.4,79,132,1149,10,7,8.70,57,202,5
Brendon Lewis,Nevada,12,147.2,12.3,131,236,1313,2,6,5.56,120,495,4
Grayson McCall,Coastal Carolina,7,146.8,21.0,151,224,1919,10,6,8.57,53,48,1
Daniel Richardson,Florida Atlantic,11,145.9,13.3,208,322,2001,13,10,6.21,42,-62,0
Jiya Wright,Louisiana-Monroe,11,140.7,12.8,107,204,1246,10,8,6.11,99,264,2
Mitch Griffis,Wake Forest,9,138.5,15.4,124,207,1553,9,7,7.50,106,128,2
Damon Stewart,,10,137.2,13.7,129,200,1655,11,4,8.28,40,44,1
DJ Williams,Murray State,10,137.2,13.7,146,252,1529,11,9,6.07,86,167,0
Logan Smothers,Jacksonville State,12,135.0,11.2,66,116,735,6,3,6.34,85,322,7
Will Rogers,Mississippi State,8,134.0,16.8,142,237,1626,12,4,6.86,29,-13,1
JaCobian Morgan,,6,133.1,22.2,83,123,842,10,1,6.85,56,150,6
Draylen Ellis,Tennessee State,11,133.0,12.1,103,196,1075,6,5,5.48,74,252,5
AJ Swann,Vanderbilt,6,128.5,21.4,107,196,1457,12,7,7.43,27,16,1
Brock Bagozzi,,9,128.0,14.2,140,263,1511,9,8,5.75,48,44,2
Riley Leonard,Duke,7,126.3,18.0,95,165,1102,3,3,6.68,58,352,4
Jayden de Laura,Arizona,7,126.1,18.0,89,128,1120,10,5,8.75,21,121,3
Max Johnson,Texas A&M,8,123.3,15.4,118,190,1452,9,5,7.64,51,27,2
Casey Case,,9,122.1,13.6,145,264,1715,10,10,6.50,26,-37,0
Hayden Wolff,Western Michigan,8,121.0,15.1,148,226,1505,8,5,6.66,44,17,2
Alex Flinn,East Carolina,12,120.7,10.1,159,290,1558,6,12,5.37,96,188,0
Maddux Madsen,Boise State,9,119.6,13.3,81,132,1191,9,3,9.02,33,120,2
Ken Seals,Vanderbilt,10,118.2,11.8,105,179,1183,11,4,6.61,40,30,2
Jason Brown,,8,116.2,14.5,136,214,1443,8,3,6.74,51,60,1
Dante Moore,UCLA,9,116.1,12.9,114,213,1610,11,9,7.56,45,-84,0
Avery Johnson,Kansas State,8,115.6,14.4,37,66,479,5,0,7.26,52,296,7
Taisun Phommachanh,Massachusetts,9,115.2,12.8,139,227,1507,6,6,6.64,48,38,2
Ethan Vasko,Coastal Carolina,8,115.1,14.4,76,122,779,7,1,6.39,63,368,2
Ethan Garbers,UCLA,12,114.0,9.5,98,146,1136,11,3,7.78,35,127,0
Jalon Jones,UNC Charlotte,10,111.9,11.2,67,109,646,2,4,5.93,110,476,4
Devon Dampier,New Mexico,9,107.2,11.9,40,64,525,6,0,8.20,59,328,4
Timmy McClain,Central Florida,7,105.7,15.1,64,102,1065,9,3,10.44,42,104,1
Jacob Sirmon,,8,102.7,12.8,133,236,1355,8,9,5.74,44,-31,1
McCae Hillstead,Utah State,8,100.7,12.6,94,158,1062,11,8,6.72,44,36,0
Conner Weigman,Texas A&M,4,99.3,24.8,82,119,979,8,2,8.23,12,63,2
Jacob Clark,Missouri State,4,98.6,24.7,66,105,1018,10,2,9.70,25,77,0
Trenton Bourguet,Arizona State,8,97.5,12.2,151,248,1486,1,4,5.99,26,54,2
Re-al Mitchell,,8,97.0,12.1,3,5,22,0,0,4.40,41,207,3
John Paddock,Illinois,7,96.0,13.7,85,143,1278,9,3,8.94,12,-39,0
Camden Orth,Bowling Green,12,95.1,7.9,39,68,486,5,5,7.15,67,208,5
Walter Simmons,Bethune-Cookman,9,93.6,10.4,64,127,496,2,4,3.91,72,308,5
Chandler Fields,Louisiana-Lafayette,7,92.7,13.2,96,143,1069,7,3,7.48,29,-8,2
Beau Pribula,Penn State,11,92.4,8.4,11,21,149,4,0,7.10,56,329,6
Tyler Shough,Texas Tech,4,92.2,23.1,67,111,746,7,4,6.72,48,149,2
Tai Lavatai,Navy,8,91.6,11.4,56,101,701,5,2,6.94,75,245,2
Katin Houser,Michigan State,11,91.3,8.3,112,191,1130,6,5,5.92,48,-12,2
Cade McConnell,UTEP,7,91.0,13.0,92,172,1437,6,4,8.35,31,-49,0
Grayson Loftis,Duke,9,90.0,10.0,91,163,1006,8,4,6.17,20,17,1
Jack Turner,Louisiana Tech,8,89.0,11.1,84,148,1017,5,5,6.87,29,61,2
Matthew Caldwell,,5,88.8,17.8,101,177,928,7,3,5.24,24,84,1
Justin Lamson,Stanford,12,88.6,7.4,38,88,504,0,2,5.73,120,334,5
Trexler Ivey,UNC Charlotte,11,88.3,8.0,112,203,1263,4,10,6.22,33,-89,3
Tony Muskett,Virginia,6,88.2,14.7,93,147,1031,6,5,7.01,61,66,1
Brendan Sullivan,Northwestern,7,87.7,12.5,63,99,714,6,2,7.21,75,160,2
Christian Veilleux,Pittsburgh,7,85.6,12.2,94,184,1179,7,8,6.41,24,-14,0
Mike Wright,Mississippi State,12,85.1,7.1,48,85,453,3,3,5.33,71,324,3
Nate Johnson,Utah,7,84.5,12.1,39,72,499,3,0,6.93,59,235,4
Noah Kim,Michigan State,5,83.8,16.8,91,160,1090,6,6,6.81,27,53,0
Jaylen Henderson,Texas A&M,5,82.2,16.4,53,78,715,6,2,9.17,41,104,2
DJ Irons,Akron,5,81.6,16.3,88,133,722,3,3,5.43,61,215,2
AJ Padgett,Rice,5,81.5,16.3,71,117,721,8,6,6.16,32,14,2
Mekhi Hagens,Arkansas-Pine Bluff,9,81.3,9.0,53,117,580,3,4,4.96,65,163,4
Levi Williams,Utah State,10,80.2,8.0,35,61,425,5,2,6.97,45,209,3
Tommy Ulatowski,Kent,9,79.8,8.9,60,121,737,7,2,6.09,47,89,1
Collin Schlee,UCLA,7,79.4,11.3,25,47,217,2,2,4.62,42,425,3
Gavin Hardison,UTEP,5,78.6,15.7,73,129,947,5,7,7.34,34,-8,2
Miller Moss,USC,5,77.3,15.5,46,65,681,7,1,10.48,4,32,2
Deacon Hill,Iowa,13,77.0,5.9,122,251,1152,5,8,4.59,50,-126,2
Phil Jurkovec,Pittsburgh,6,76.9,12.8,57,112,818,6,3,7.30,39,60,1
Jake Retzlaff,BYU,4,74.0,18.5,63,125,648,3,3,5.18,51,116,3
Aveon Smith,Miami (OH),10,73.9,7.4,48,96,638,2,2,6.65,75,280,1
Jarrett Guest,Coastal Carolina,6,73.7,12.3,44,61,696,7,2,11.41,11,56,1
Nate Glantz,McNeese State,6,73.3,12.2,71,144,861,3,5,5.98,53,62,2
Kirk Francis,Tulsa,4,72.7,18.2,68,121,967,6,3,7.99,14,3,0
TJ Goodwin,,8,71.2,8.9,103,198,990,5,7,5.00,60,-43,1
Kevin Jennings,SMU,8,71.1,8.9,61,105,618,5,2,5.89,37,142,1
AJ Bianco,Nevada,8,71.0,8.9,45,82,614,4,5,7.49,42,183,1
Jeff Undercuffler,Akron,10,70.8,7.1,138,224,1378,4,9,6.15,26,-201,1
Carlos Davis,Massachusetts,4,70.2,17.6,62,101,886,6,3,8.77,20,19,0
Gio Lopez,South Alabama,5,67.2,13.4,41,61,475,4,2,7.79,18,154,2
Robby Ashford,Auburn,10,67.2,6.7,14,27,145,2,2,5.37,46,217,5
Kylan Weisser,Weber State,6,66.2,11.0,81,154,782,2,7,5.08,42,71,2
Tahj Bullock,Akron,10,66.1,6.6,32,66,271,3,3,4.11,62,165,4
MJ Morris,North Carolina State,4,65.5,16.4,63,113,719,7,5,6.36,32,15,0
Ben Wooldridge,Louisiana-Lafayette,3,65.1,21.7,39,69,508,5,1,7.36,17,77,2
Sawyer Robertson,Baylor,6,64.1,10.7,66,117,864,2,4,7.38,35,69,1
Jalon Daniels,Kansas,3,62.7,20.9,56,75,705,5,1,9.40,27,74,0
Xavier Arline,Navy,9,62.4,6.9,23,44,320,2,2,7.27,77,257,2
Jackson Arnold,Oklahoma,7,61.8,8.8,44,69,563,4,3,8.16,31,116,1
Billy Edwards,Maryland,8,61.5,7.7,10,30,128,1,1,4.27,29,91,7
Bert Emanuel,Central Michigan,6,60.3,10.1,19,37,286,3,3,7.73,50,220,2
Grant Wells,Virginia Tech,6,59.5,9.9,37,68,519,5,2,7.63,17,75,1
Mason Garcia,East Carolina,8,59.1,7.4,48,95,408,1,2,4.29,50,227,2
Braedyn Locke,Wisconsin,5,58.7,11.7,76,152,777,5,1,5.11,17,-2,0
Treyson Bourguet,Western Michigan,6,58.2,9.7,57,103,713,4,1,6.92,36,65,0
Tayven Jackson,Indiana,6,57.6,9.6,78,128,914,2,5,7.14,28,-21,1
Aidan Chiles,Oregon State,9,57.4,6.4,24,35,309,4,0,8.83,17,79,3
Michael Johnson,Florida Atlantic,10,56.5,5.7,0,1,0,0,0,0.00,23,140,7
Michael Alaimo,Kent,8,55.9,7.0,79,144,932,2,4,6.47,57,-47,1
Steve Angeli,Notre Dame,7,55.9,8.0,34,44,504,7,1,11.45,8,27,0
Jensen Jones,Air Force,10,55.7,5.6,5,15,160,0,1,10.67,47,233,4
Dematrius Davis,,5,55.3,11.1,42,61,413,3,3,6.77,44,204,0
Jalen Macon,Arkansas-Pine Bluff,6,55.1,9.2,61,92,634,3,1,6.89,39,119,0
Logan Fife,Fresno State,12,54.1,4.5,52,91,642,3,2,7.05,28,40,1
Nate Yarnell,Pittsburgh,4,53.1,13.3,41,62,595,4,1,9.60,19,13,1
Blake Murphy,Louisiana-Monroe,4,51.9,13.0,53,104,721,4,5,6.93,22,-2,0
Kai Horton,Tulane,4,51.7,12.9,44,82,604,3,2,7.37,24,-25,2
Garrett Nussmeier,LSU,7,51.7,7.4,48,78,591,4,1,7.58,1,1,1
Chubba Purdy,Nebraska,6,51.1,8.5,31,57,382,2,3,6.70,29,180,1
Tyler Vander Waal,,5,50.0,10.0,55,108,555,3,6,5.14,30,-18,2
Michael Kern,Wake Forest,4,49.9,12.5,57,92,647,4,2,7.03,27,15,0
Desmond Trotter,South Alabama,5,49.1,9.8,29,41,351,5,2,8.56,14,55,1
Nico Iamaleava,Tennessee,5,48.8,9.8,28,45,314,2,0,6.98,20,71,3
Dominique Anthony,,6,48.6,8.1,55,104,524,3,3,5.04,28,44,1
John Mateer,Washington State,11,48.5,4.4,13,17,235,2,1,13.82,21,93,3
Luke Sprague,Bethune-Cookman,5,47.8,9.6,62,95,544,4,2,5.73,22,-14,1
CJ Ogbonna,Buffalo,8,47.8,6.0,8,21,87,1,2,4.14,51,214,3
Caden Veltkamp,Western Kentucky,4,47.0,11.7,41,54,387,5,1,7.17,23,76,0
Quincy Patterson,Temple,10,46.4,4.6,20,48,184,0,3,3.83,41,132,4
Layne Hatcher,Ball State,7,45.8,6.5,64,98,582,4,1,5.94,20,-53,1
Casey Thompson,Florida Atlantic,3,45.7,15.2,50,79,509,5,5,6.44,10,2,0
Kai Millner,Northern Arizona,3,44.8,14.9,38,64,458,2,1,7.16,26,79,1
Tate Rodemaker,Florida State,8,43.7,5.5,32,56,510,5,0,9.11,9,-18,0
Owen McCown,UTSA,7,43.2,6.2,43,58,442,4,3,7.62,15,51,0
Jeff Sims,Nebraska,5,43.0,8.6,28,47,282,1,6,6.00,42,189,1
Carlos Del Rio-Wilson,Syracuse,7,42.6,6.1,26,51,282,3,6,5.53,21,105,1
Jaden Rashada,Arizona State,3,42.6,14.2,44,82,485,4,3,5.91,14,23,0
Ben Finley,California,7,41.4,5.9,54,94,572,3,4,6.09,12,8,0
Tucker Gleason,Toledo,14,40.7,2.9,28,55,383,4,1,6.96,12,55,0
Kevin Hurley,UTEP,7,40.6,5.8,10,22,196,2,0,8.91,20,48,3
Ethan Crawford,Southern Miss,6,39.9,6.7,19,38,246,3,0,6.47,42,96,1
Nicco Marchiol,West Virginia,9,39.7,4.4,30,53,247,2,3,4.66,38,133,1
Parker Navarro,Ohio,6,39.1,6.5,18,26,185,3,1,7.12,25,178,0
Grady Robison,Southern Utah,9,38.4,4.3,4,6,101,1,0,16.83,27,233,1
Chancellor Edwards,Arkansas-Pine Bluff,5,37.8,7.6,53,95,438,4,3,4.61,25,-1,0
Kadin Semonza,Ball State,4,37.0,9.3,50,82,480,3,5,5.85,17,10,0
Jack Shields,Old Dominion,6,37.0,6.2,25,47,353,2,3,7.51,22,53,1
Dante Perri,,6,36.8,6.1,36,67,298,4,2,4.45,13,59,0
Cade McNamara,Iowa,5,36.8,7.4,46,90,505,4,3,5.61,13,-45,0
Braylon Braxton,Tulsa,6,36.7,6.1,22,50,212,2,6,4.24,40,174,0
Stone Earle,North Texas,4,36.7,9.2,22,40,274,4,4,6.85,16,70,0
Baron May,,3,36.5,12.2,14,27,201,2,1,7.44,28,124,1
Ty Thompson,Oregon,7,35.7,5.1,24,31,297,4,1,9.58,8,48,0
Braxton Woodson,Navy,4,35.5,8.9,17,40,163,1,1,4.08,53,173,1
Conner Harrell,North Carolina,5,35.0,7.0,22,33,270,2,2,8.18,22,75,1
Brady Lichtenberg,Cincinnati,7,34.6,4.9,19,34,252,2,1,7.41,12,80,1
Jake Strong,Texas Tech,3,34.6,11.5,35,65,409,2,6,6.29,6,61,0
Maalik Murphy,Texas,7,34.1,4.9,40,71,477,3,3,6.72,1,-18,0
Aaron Angelos,,7,33.9,4.8,52,92,519,3,2,5.64,26,-41,0
Emory Williams,Miami,5,33.8,6.8,44,71,470,3,1,6.62,7,-17,0
Zy McDonald,,5,33.7,6.7,18,25,220,3,0,8.80,18,107,0
