,,,Fantasy,,Passing,,,,,,Rushing,,
Name,Team,G,Pts,Pts/G,COMP,ATT,YDS,TD,INT,YPA,ATT,YDS,TD
Jayden Daniels,LSU,12,524.0,43.7,236,327,3812,40,4,11.66,135,1134,10
Bo Nix,Oregon,14,464.8,33.2,364,470,4508,45,3,9.59,54,234,6
Kaidon Salter,Liberty,14,452.7,32.3,177,290,2876,32,6,9.92,163,1089,12
Byrum Brown,South Florida,13,419.1,32.2,276,427,3292,26,11,7.71,203,809,11
Dillon Gabriel,Oklahoma,12,412.3,34.4,266,384,3660,30,6,9.53,93,373,12
Michael Penix,Washington,15,408.0,27.2,363,555,4903,36,11,8.83,35,8,3
Jordan McCloud,James Madison,13,398.5,30.7,281,412,3657,35,10,8.88,96,276,8
Diego Pavia,New Mexico State,15,387.2,25.8,221,366,2973,26,9,8.12,176,925,7
Haynes King,Georgia Tech,13,383.8,29.5,226,367,2842,27,16,7.74,120,737,10
Caleb Williams,USC,12,381.3,31.8,266,388,3633,30,5,9.36,99,121,11
Seth Henigan,Memphis,13,379.4,29.2,317,475,3880,32,9,8.17,94,274,5
Drake Maye,North Carolina,12,375.3,31.3,269,425,3608,24,9,8.49,112,449,9
Reese Poffenbarger,Albany,15,372.9,24.9,277,472,3603,36,13,7.63,107,187,5
Joey Aguilar,Appalachian State,14,362.8,25.9,293,460,3757,33,10,8.17,81,249,3
Thomas Castellanos,Boston College,13,360.6,27.7,189,330,2248,15,14,6.81,215,1113,13
Jalen Milroe,Alabama,13,358.8,27.6,187,284,2834,23,6,9.98,161,531,12
Mark Gronowski,South Dakota State,15,357.3,23.8,209,307,3058,29,5,9.96,93,402,8
Cam Ward,Washington State,12,349.0,29.1,324,486,3732,25,7,7.68,120,144,8
Jaxson Dart,Mississippi,13,348.8,26.8,233,358,3364,23,5,9.40,119,391,8
Matthew Sluka,,11,345.1,31.4,122,197,1728,20,5,8.77,186,1247,9
Darren Grainger,Georgia State,13,344.7,26.5,244,358,2621,20,7,7.32,159,736,10
Garrett Greene,West Virginia,12,339.5,28.3,147,277,2406,16,4,8.69,120,772,13
Max Brosmer,,11,331.8,30.2,294,459,3464,29,6,7.55,57,126,5
Brady Cook,Missouri,13,329.8,25.4,244,367,3317,21,5,9.04,113,319,8
Carson Beck,Georgia,14,328.8,23.5,302,417,3941,24,6,9.45,59,117,4
Chandler Rogers,North Texas,12,327.1,27.3,262,422,3382,29,5,8.01,109,180,4
