,,,Fantasy,,Passing,,,,,,Rushing,,
Name,Team,G,Pts,Pts/G,COMP,ATT,YDS,TD,INT,YPA,ATT,YDS,TD
Joe Burrow,LSU,15,592.0,39.5,402,527,5671,60,6,10.76,115,368,5
Jalen Hurts,Oklahoma,14,578.9,41.3,237,340,3851,32,8,11.33,233,1298,20
Anthony Gordon,Washington State,13,469.0,36.1,493,689,5579,48,16,8.10,51,-20,0
Trevor Lawrence,Clemson,15,437.6,29.2,268,407,3665,36,8,9.00,103,563,9
Justin Fields,Ohio State,14,436.1,31.1,238,354,3273,41,3,9.25,137,484,10
Sam Ehlinger,Texas,13,420.9,32.4,296,454,3663,32,10,8.07,163,663,7
Cole McDonald,Hawaii,14,419.1,29.9,326,511,4135,33,14,8.09,101,383,7
Eric Barriere,Eastern Washington,12,413.7,34.5,258,438,3712,31,4,8.47,119,558,8
Malcolm Perry,Navy,13,409.9,31.5,48,86,1084,7,3,12.60,295,2017,21
Bryce Perkins,Virginia,14,407.4,29.1,319,495,3530,22,12,7.13,227,769,11
Nathan Rourke,Ohio,13,391.9,30.1,200,328,2820,20,5,8.60,154,867,13
Caleb Evans,Louisiana-Monroe,12,382.4,31.9,238,389,2939,21,10,7.56,140,794,12
Brock Purdy,Iowa State,13,380.0,29.2,312,475,3982,27,9,8.38,93,249,8
Asher O'Hara,Middle Tenn. St,12,370.1,30.8,210,335,2616,20,8,7.81,199,1058,9
Ian Book,Notre Dame,13,366.3,28.2,240,399,3034,34,6,7.60,112,546,4
Kevin Thomson,,11,358.6,32.6,244,397,2910,25,8,7.33,114,532,10
Reid Sinnett,,11,357.5,32.5,229,339,3341,32,7,9.86,52,174,6
EJ Perry,,10,356.6,35.7,251,418,2948,22,13,7.05,142,730,8
Shane Buechele,SMU,13,355.0,27.3,307,490,3929,34,10,8.02,64,105,2
Brady White,Memphis,14,352.1,25.2,269,420,4014,33,11,9.56,61,-71,4
Sam Howell,North Carolina,13,351.9,27.1,259,422,3641,38,7,8.63,94,35,1
Zerrick Cooper,Jacksonville State,12,350.2,29.2,260,439,3404,28,12,7.75,136,320,6
Mike Glass,Eastern Michigan,12,345.3,28.8,266,401,3169,24,11,7.90,118,428,8
Charlie Brewer,Baylor,14,342.5,24.5,251,389,3161,21,7,8.13,147,344,11
Jamie Newman,Wake Forest,12,340.8,28.4,220,361,2868,26,11,7.94,180,574,6
Justin McMillan,Tulane,13,339.4,26.1,183,314,2444,17,10,7.78,169,745,12
Chris Reynolds,UNC Charlotte,13,334.1,25.7,181,291,2564,22,11,8.81,153,791,6
Zac Thomas,Appalachian State,14,333.9,23.9,225,359,2718,28,6,7.57,104,440,7
Justin Herbert,Oregon,14,330.6,23.6,286,428,3471,32,6,8.11,58,50,4
Bailey Zappe,Houston Baptist,12,330.6,27.5,357,560,3811,35,15,6.81,53,0,0
Dillon Gabriel,Central Florida,13,330.5,25.4,236,398,3653,29,7,9.18,71,78,4
Kaleb Barker,Troy,12,327.1,27.3,299,460,3628,30,10,7.89,86,137,2
Holton Ahlers,East Carolina,12,325.3,27.1,264,442,3387,21,10,7.66,108,359,6
Aaron Winchester,,12,323.3,26.9,160,245,2422,19,4,9.89,148,782,8
Kellen Mond,Texas A&M,13,323.0,24.8,258,419,2897,20,9,6.91,126,501,8
Dustin Crum,Kent,13,318.0,24.5,217,313,2625,20,2,8.39,168,707,6
Ben DiNucci,James Madison,14,313.8,22.4,228,327,2913,25,6,8.91,99,441,4
Dan Ellington,Georgia State,13,313.2,24.1,227,355,2447,22,8,6.89,160,668,6
Chris Robison,Florida Atlantic,14,303.1,21.6,291,471,3701,28,6,7.86,84,-60,2
Breylin Smith,Central Arkansas,12,301.1,25.1,292,457,3506,31,13,7.67,64,-42,1
Hajj-Malik Williams,Campbell,11,298.8,27.2,147,260,2042,17,9,7.85,151,664,9
Lynn Bowden,Kentucky,13,297.8,22.9,35,74,403,3,3,5.45,185,1468,13
Jack Abraham,Southern Miss,13,295.4,22.7,275,405,3496,19,15,8.63,81,77,6
Sean Clifford,Penn State,12,294.9,24.6,189,319,2654,23,7,8.32,116,402,5
Levi Lewis,Louisiana-Lafayette,14,294.0,21.0,243,378,3050,26,4,8.07,69,195,3
Josh Love,San Jose State,12,293.4,24.4,293,481,3923,22,8,8.16,25,-88,3
Tyler Huntley,Utah,14,289.6,20.7,220,301,3092,19,4,10.27,104,290,5
Kedon Slovis,USC,12,289.4,24.1,282,392,3502,30,9,8.93,45,-57,0
Drew Plitt,Ball State,12,289.2,24.1,238,370,2918,24,7,7.89,91,171,5
Tua Tagovailoa,Alabama,9,287.7,32.0,180,252,2840,33,3,11.27,23,17,2
Jon Wassink,Western Michigan,13,284.8,21.9,241,407,3097,20,8,7.61,69,319,3
Tanner Morgan,Minnesota,13,283.0,21.8,210,318,3253,30,7,10.23,61,-57,1
Jason Brown,St. Francis (PA),12,280.6,23.4,251,403,3084,28,6,7.65,46,84,1
Stephen Calvert,Liberty,13,280.1,21.5,249,431,3663,28,7,8.50,40,-151,0
Shea Patterson,Michigan,13,280.1,21.5,214,381,3061,23,8,8.03,87,50,5
Brian Lewerke,Michigan State,13,278.0,21.4,260,436,3079,17,13,7.06,111,363,3
Dalton Sneed,,11,275.7,25.1,258,393,2977,20,14,7.58,90,168,5
Malik Cunningham,Louisville,12,275.3,22.9,111,178,2061,22,5,11.58,122,482,6
Desmond Ridder,Cincinnati,13,275.2,21.2,179,325,2164,18,9,6.66,144,650,5
Tom Flacco,,12,274.5,22.9,215,356,2831,22,6,7.95,110,324,2
Mason Fine,North Texas,12,272.6,22.7,257,414,3088,29,9,7.46,55,-98,2
Jeff Undercuffler,Albany,12,272.6,22.7,225,397,2966,33,7,7.47,53,-137,1
Kyle Trask,Florida,12,272.3,22.7,237,354,2941,25,7,8.31,63,8,4
Chris Oladokun,,12,272.0,22.7,169,272,2058,18,7,7.57,127,491,8
J'Mar Smith,Louisiana Tech,11,271.3,24.7,236,367,2977,18,5,8.11,100,264,4
Skylar Thompson,Kansas State,13,270.3,20.8,177,297,2315,12,5,7.79,114,405,11
Deondre Francois,,12,270.0,22.5,205,361,2522,26,14,6.99,64,148,4
Jayden Daniels,Arizona State,12,268.7,22.4,205,338,2943,17,2,8.71,125,355,3
Jordan Love,Utah State,13,267.6,20.6,293,473,3402,20,17,7.19,81,175,0
Layne Hatcher,Arkansas State,10,265.9,26.6,204,310,2946,27,10,9.50,79,46,1
Bo Nix,Auburn,13,264.4,20.3,217,377,2542,16,6,6.74,97,313,7
Chris Helbig,Southern Utah,12,264.2,22.0,276,419,2952,15,12,7.05,120,112,6
Dorian Thompson-Robinson,UCLA,11,262.9,23.9,216,362,2701,21,12,7.46,118,198,4
Ty Storey,Western Kentucky,11,261.4,23.8,241,345,2567,14,7,7.44,118,276,7
Quentin Harris,Duke,12,260.9,21.7,209,357,2078,16,11,5.82,160,510,7
Nick Tiano,UT-Chattanooga,12,260.5,21.7,174,329,2242,14,10,6.81,85,384,9
Max Duggan,TCU,12,255.4,21.3,181,339,2077,15,10,6.13,130,555,6
Donald Hammond,Air Force,13,253.3,19.5,56,111,1316,13,6,11.86,121,553,13
Jacob Eason,Washington,13,248.2,19.1,260,405,3132,23,8,7.73,46,-69,1
Jake Luton,Oregon State,11,245.0,22.3,222,358,2714,28,3,7.58,44,-87,1
Jack Chambers,,12,242.8,20.2,191,333,2029,14,13,6.09,99,553,5
Jett Duffey,Texas Tech,10,242.6,24.3,239,367,2840,18,5,7.74,72,212,1
Adrian Martinez,Nebraska,10,242.4,24.2,149,251,1956,10,9,7.79,144,626,7
Spencer Sanders,Oklahoma State,11,242.1,22.0,155,247,2065,16,11,8.36,139,628,2
Carter Stanley,Kansas,12,242.0,20.2,226,371,2664,24,11,7.18,67,68,1
Peyton Ramsey,Indiana,11,241.9,22.0,204,300,2454,13,5,8.18,97,252,7
Isaiah Green,Marshall,13,241.9,18.6,189,336,2438,15,11,7.26,114,300,5
Steven Montez,Colorado,12,241.7,20.1,255,405,2808,17,10,6.93,65,153,3
Will McElvain,UNI,13,240.9,18.5,179,335,2468,20,6,7.37,122,315,1
Jake Fromm,Georgia,14,237.8,17.0,234,385,2860,24,5,7.43,38,-12,0
Kenny Pickett,Pittsburgh,12,236.2,19.7,289,469,3098,13,9,6.61,95,110,2
Keegan Shoemaker,,12,236.1,19.7,216,360,2545,14,14,7.07,141,348,3
John Rhys Plumlee,Mississippi,9,235.8,26.2,79,150,910,4,3,6.07,154,1023,12
Jack Coan,Wisconsin,14,234.6,16.8,236,339,2727,18,5,8.04,56,22,4
Anthony Russo,Temple,13,232.7,17.9,246,419,2861,21,12,6.83,35,-64,2
Jorge Reyna,Fresno State,12,231.6,19.3,236,365,2654,15,11,7.27,98,264,2
Reece Udinski,,12,231.5,19.3,306,479,3276,19,5,6.84,54,-121,0
Zach Smith,Tulsa,12,230.4,19.2,246,429,3279,19,9,7.64,75,-96,0
Chason Virgil,,11,229.6,20.9,239,367,2881,18,10,7.85,34,75,1
Daniel Santacaterina,Southeast Missouri State,12,229.0,19.1,184,324,2366,18,12,7.30,78,147,4
Mason Petrino,Idaho,11,226.7,20.6,207,324,2244,18,9,6.93,109,245,3
Josh Adkins,New Mexico State,12,220.1,18.3,275,437,2588,14,15,5.92,106,41,4
Tommy DeVito,Syracuse,12,218.6,18.2,213,337,2360,19,5,7.00,112,122,2
Nate Stanley,Iowa,13,218.3,16.8,237,399,2951,16,7,7.40,76,7,1
Khalil Tate,Arizona,11,213.0,19.4,160,266,1954,14,11,7.35,90,413,3
Tyler Johnston,UAB,11,211.2,19.2,147,249,2250,17,15,9.04,84,247,1
Brandon Peters,Illinois,11,205.5,18.7,152,275,1884,18,8,6.85,74,213,3
Patrick O'Brien,Colorado State,11,202.1,18.4,209,338,2803,13,7,8.29,63,-21,2
Kelly Bryant,Missouri,10,201.0,20.1,181,292,2215,15,6,7.59,106,242,1
Jordan Hoy,,8,200.6,25.1,138,230,1611,8,4,7.00,121,400,8
Zach Wilson,BYU,9,199.7,22.2,199,319,2382,11,9,7.47,67,167,3
Ryan Agnew,San Diego State,12,195.8,16.3,234,371,2462,14,6,6.64,72,116,1
James Blackman,Florida State,12,195.3,16.3,184,292,2339,17,11,8.01,68,41,1
Hendon Hooker,Virginia Tech,10,195.0,19.5,99,162,1555,13,2,9.60,123,356,5
James Morgan,Florida International,12,193.3,16.1,207,357,2585,14,5,7.24,32,-40,2
Logan Marchi,,9,193.1,21.5,152,275,2147,19,9,7.81,37,37,1
Trae Self,Stephen F. Austin,10,192.8,19.3,212,397,2550,12,12,6.42,64,53,2
Sean Chambers,Wyoming,8,190.5,23.8,52,121,915,7,3,7.56,90,567,10
Luke Anthony,,11,190.3,17.3,260,412,2525,17,11,6.13,48,-40,0
Brett Gabbert,Miami (OH),14,189.8,13.6,175,316,2411,11,8,7.63,88,72,3
Garrett Shrader,Mississippi State,10,185.2,18.5,88,153,1170,8,5,7.65,113,587,6
Chase Garbers,California,9,184.9,20.5,131,215,1772,14,3,8.24,90,223,3
Joseph Fagnano,Maine,8,179.0,22.4,121,184,1835,17,3,9.97,86,192,0
Jarren Williams,Miami,12,178.6,14.9,169,276,2187,19,7,7.92,67,-68,0
Kenyon Oblad,UNLV,11,177.8,16.2,167,308,2081,18,9,6.76,45,-43,1
Jarrett Guarantano,Tennessee,13,177.3,13.6,152,257,2158,16,8,8.40,49,54,0
Kai Locksley,UTEP,11,174.0,15.8,103,181,1329,6,5,7.34,126,535,5
De'Andre Johnson,,8,173.0,21.6,153,255,1926,10,5,7.55,111,187,3
Jordan McCloud,South Florida,12,171.8,14.3,124,224,1429,12,8,6.38,105,283,4
Darren Grainger,,12,171.8,14.3,76,154,1203,13,3,7.81,88,296,5
Christian Alexander,,12,169.8,14.2,200,344,1934,8,9,5.62,96,111,5
Quinten Dormady,Central Michigan,10,168.7,16.9,190,294,2312,14,9,7.86,35,-39,0
Max Brosmer,,11,167.2,15.2,183,311,1967,12,12,6.32,55,28,3
Daniel David,Kennesaw State,10,166.9,16.7,27,65,551,2,3,8.48,131,473,14
Lowell Narcisse,UTSA,11,166.5,15.1,107,201,1226,8,5,6.10,118,492,4
Tommy Stevens,Mississippi State,9,163.9,18.2,97,161,1155,11,5,7.17,83,381,4
Austin Kendall,West Virginia,9,162.6,18.1,187,304,1989,12,10,6.54,45,91,1
Ryan Hilinski,South Carolina,11,161.0,14.6,236,406,2357,11,5,5.81,33,-55,1
Carson Strong,Nevada,10,160.2,16.0,237,374,2335,11,7,6.24,54,-6,0
Kelvin Hopkins,Army,11,157.9,14.4,33,77,577,4,6,7.49,138,710,7
Clayton Tune,Houston,7,157.1,22.4,106,179,1533,11,9,8.56,66,244,2
Parker McKinney,Eastern Kentucky,10,154.6,15.5,116,221,1371,7,9,6.20,76,280,5
Davis Mills,Stanford,8,153.2,19.2,158,241,1960,11,5,8.13,32,44,0
Fred Payton,Coastal Carolina,10,150.3,15.0,119,187,1421,12,7,7.60,54,181,2
Grant Loy,Bowling Green,12,147.6,12.3,115,203,1137,6,11,5.60,100,427,4
Jake Constantine,Weber State,10,147.5,14.7,175,282,1803,12,9,6.39,38,33,1
Kato Nelson,Akron,10,147.1,14.7,151,280,1820,11,6,6.50,109,121,0
Cole Kelley,,11,145.4,13.2,64,85,751,10,1,8.84,81,198,8
Mitchell Guadagni,Toledo,6,144.7,24.1,79,122,1099,8,2,9.01,63,332,4
Hank Bachmeier,Boise State,8,142.9,17.9,137,219,1879,9,6,8.58,41,69,1
Brady Davis,,11,142.5,13.0,115,220,1570,9,9,7.14,59,160,2
Tyler Vitt,Texas State,9,142.2,15.8,147,231,1590,11,14,6.88,56,119,0
Mac Jones,Alabama,11,140.7,12.8,97,141,1503,14,3,10.66,16,36,1
Kare' Lyles,,10,135.7,13.6,127,202,1569,12,8,7.77,62,4,1
Kyle Vantrease,Buffalo,13,134.1,10.3,101,172,1193,8,2,6.94,25,64,6
Anthony Brown,Boston College,6,132.3,22.1,81,137,1250,9,2,9.12,33,128,2
Jalon Jones,,10,131.6,13.2,54,111,882,9,6,7.95,93,395,2
