,,,Fantasy,,Passing,,,,,,Rushing,,
Michael Penix,Indiana,6,131.0,21.8,110,160,1394,10,4,8.71,22,119,2
Jack Plummer,Purdue,7,129.8,18.5,144,241,1603,11,8,6.65,62,56,0
Jaylon Henderson,Boise State,9,129.6,14.4,89,143,1080,12,2,7.55,46,156,2
Ross Bowers,Northern Illinois,9,129.4,14.4,166,287,2130,7,8,7.42,34,-111,1
Tevaka Tuioti,New Mexico,9,127.2,14.1,102,195,1460,7,6,7.49,52,262,0
Daniel Parr,Duquesne,8,126.8,15.9,109,192,1232,11,7,6.42,43,92,2
D'Eriq King,Houston,4,124.4,31.1,58,110,663,6,2,6.03,55,312,6
Bryce Carpenter,Coastal Carolina,11,123.4,11.2,93,142,927,8,2,6.53,109,390,1
Kory Curtis,,11,122.8,11.2,174,301,1700,7,6,5.65,61,-22,2
Riley Neal,Vanderbilt,11,121.6,11.1,149,258,1585,9,5,6.14,53,47,0
Jack Zergiotis,UConn,10,120.4,12.0,150,260,1782,9,11,6.85,41,-46,0
Derek Kyler,,10,118.4,11.8,71,106,1075,12,3,10.14,41,106,1
Dennis Grosel,Boston College,11,118.1,10.7,75,155,983,9,3,6.34,57,209,2
Chevan Cordeiro,Hawaii,12,116.6,9.7,69,120,907,8,3,7.56,40,212,3
Tyler Huff,,12,116.2,9.7,87,149,871,7,8,5.85,76,326,2
Ty Brock,Sam Houston,11,114.4,10.4,117,230,1468,9,11,6.38,29,-10,1
Marcus Childers,Northern Illinois,9,114.3,12.7,48,82,474,6,3,5.78,59,366,5
Chris Ferguson,Maine,6,113.0,18.8,116,201,1655,8,8,8.23,13,-7,0
Matt Corral,Mississippi,10,111.6,11.2,105,178,1362,6,3,7.65,57,135,1
Cephus Johnson,South Alabama,8,107.1,13.4,83,161,900,5,7,5.59,75,181,4
Josh Jackson,Maryland,10,106.4,10.6,98,207,1274,12,6,6.15,53,-53,0
Grant Gunnell,Arizona,8,105.4,13.2,101,155,1239,9,1,7.99,32,14,1
Logan Bonner,Arkansas State,4,101.6,25.4,91,154,1052,10,1,6.83,20,-7,1
N'Kosi Perry,Miami,8,100.7,12.6,85,159,1045,8,3,6.57,38,44,2
Tom Stewart,Rice,10,100.2,10.0,92,153,1054,8,2,6.89,53,35,2
Devin Leary,North Carolina State,8,97.6,12.2,101,210,1219,8,5,5.80,40,46,0
Elijah Sindelar,Purdue,3,93.8,31.3,72,112,978,9,3,8.73,12,29,1
Desmond Trotter,South Alabama,7,92.7,13.2,56,97,820,8,2,8.45,61,197,0
Jabari Laws,Army,8,92.0,11.5,16,20,311,1,0,15.55,76,484,4
Gresch Jensen,Texas State,7,91.7,13.1,129,206,1291,5,6,6.27,28,-49,2
Chase Cord,Boise State,8,91.5,11.4,57,96,670,9,3,6.98,25,100,2
Ryan Willis,Virginia Tech,5,90.7,18.1,72,117,906,9,5,7.74,39,34,1
Matthew McKay,North Carolina State,6,87.8,14.6,86,150,910,3,1,6.07,25,63,4
Aidan O'Connell,Purdue,6,86.2,14.4,103,164,1101,8,4,6.71,15,-9,0
Nick Starkel,Arkansas,8,84.0,10.5,96,179,1152,7,10,6.44,6,-16,0
David Moore,Central Michigan,6,82.9,13.8,94,164,1143,5,4,6.97,22,-3,1
Alan Bowman,Texas Tech,3,82.4,27.5,101,154,1020,6,3,6.62,7,14,1
Keaton Heide,South Dakota State,6,81.4,13.6,71,100,905,6,2,9.05,37,61,1
Randall West,Massachusetts,8,80.8,10.1,93,155,864,6,6,5.57,21,16,2
Collin Hill,Colorado State,3,80.0,26.7,69,102,840,8,2,8.24,10,0,1
Devon Modster,California,6,78.1,13.0,62,122,705,5,5,5.78,48,168,1
Christian Anderson,Army,6,77.7,12.9,7,23,135,1,0,5.87,67,429,4
Aidan Smith,Northwestern,8,77.1,9.6,86,171,760,3,9,4.44,72,211,1
K.J. Costello,Stanford,5,77.1,15.4,102,167,1038,6,3,6.22,18,24,0
Matt Myers,Buffalo,5,75.5,15.1,49,105,602,6,4,5.73,30,94,2
Tyrrell Pigrome,Maryland,11,75.3,6.8,69,118,719,3,6,6.09,45,153,2
Dru Brown,Oklahoma State,6,75.1,12.5,72,107,810,7,1,7.57,23,6,1
Emory Jones,Florida,11,75.0,6.8,25,38,267,3,0,7.03,42,256,4
Baylor Romney,BYU,4,72.6,18.1,54,85,747,7,2,8.79,24,59,0
Sam Hartman,Wake Forest,4,72.4,18.1,55,97,830,4,2,8.56,27,89,1
Sheriron Jones,New Mexico,5,71.4,14.3,34,76,500,2,7,6.58,47,204,3
Dion Ray,,8,71.0,8.9,0,0,0,0,0,0.00,1,15,1
Alex Hornibrook,Florida State,5,70.8,14.2,84,122,986,7,2,8.08,29,-71,0
Eli Peters,Toledo,5,68.1,13.6,62,105,828,6,3,7.89,16,27,0
Dylan Hopkins,UAB,9,67.9,7.5,44,85,563,3,5,6.62,64,217,1
Feleipe Franks,Florida,4,67.7,16.9,54,71,698,5,3,9.83,21,68,1
Steven Duncan,Western Kentucky,3,66.6,22.2,70,119,790,5,4,6.64,15,11,1
Tommy Lazzaro,Central Michigan,11,66.5,6.0,4,8,47,0,0,5.88,36,161,8
Jarret Doege,West Virginia,4,64.8,16.2,79,120,818,7,3,6.82,11,-41,0
D.J. Mack,Central Florida,8,62.9,7.9,19,31,219,4,1,7.06,41,179,3
Gerry Bohanon,Baylor,9,62.6,7.0,17,36,187,2,0,5.19,42,272,3
Evan Conley,Louisville,7,61.5,8.8,40,71,613,4,3,8.63,30,88,1
Andrew Brito,Massachusetts,9,60.9,6.8,93,170,830,7,6,4.88,34,-86,0
Chase Brice,Clemson,11,60.5,5.5,50,85,581,4,1,6.84,14,94,1
Armani Rogers,UNLV,4,60.1,15.0,41,79,393,2,3,4.97,50,204,2
Andrew Marty,Northwestern,5,59.6,11.9,14,22,150,2,2,6.82,52,201,4
Beau English,Richmond,7,59.3,8.5,48,69,527,2,2,7.64,58,129,2
Levi Williams,Wyoming,3,59.3,19.8,19,39,343,3,2,8.79,40,181,2
Kaylan Wiggins,Florida International,10,58.9,5.9,15,27,172,0,0,6.37,49,323,3
Darius Wade,Bowling Green,7,58.5,8.4,74,130,751,3,3,5.78,31,89,0
Will Levis,Penn State,6,58.5,9.7,28,47,223,2,2,4.74,51,213,3
Nick Tronti,Florida Atlantic,11,57.0,5.2,17,22,180,2,1,8.18,51,239,2
Quincy Patterson,Virginia Tech,5,57.0,11.4,14,37,257,2,1,6.95,50,241,2
Jaren Hall,BYU,5,56.9,11.4,31,46,420,1,0,9.13,29,139,3
Sawyer Smith,Kentucky,9,55.4,6.2,57,126,690,4,5,5.48,24,-11,1
Jawon Pass,Louisville,2,54.4,27.2,24,46,330,4,1,7.17,20,104,2
Matt Fink,USC,6,53.2,8.9,58,88,648,4,5,7.36,12,-12,1
Brian Maurer,Tennessee,8,52.5,6.6,35,75,541,2,5,7.21,23,56,2
Wiley Green,Rice,7,52.5,7.5,75,142,787,4,2,5.54,27,-29,0
Kilton Anderson,William & Mary,6,51.9,8.6,59,98,757,4,3,7.72,24,-20,0
Noah Vedral,Nebraska,5,51.7,10.3,34,52,418,0,0,8.04,30,106,3
Tyler Vander Waal,Wyoming,6,51.2,8.5,49,95,512,1,4,5.39,27,-19,4
Rasean McKay,Florida A&M,7,51.2,7.3,52,73,538,6,2,7.37,9,3,0
Brandon Jones,UTEP,6,50.7,8.5,47,87,628,2,3,7.22,38,53,1
Ryan Boyle,Indiana State,4,50.5,12.6,47,81,508,2,4,6.27,44,171,0
Frank Harris,UTSA,4,48.9,12.2,66,91,486,3,2,5.34,39,126,0
Clayton Welch,Syracuse,6,48.0,8.0,36,68,523,4,2,7.69,20,58,0
Jordan Travis,Florida State,4,46.6,11.6,6,11,79,0,0,7.18,23,228,3
Ben Hicks,Arkansas,7,45.9,6.6,65,137,738,2,2,5.39,21,10,0
Preston Hutchinson,Eastern Michigan,6,45.7,7.6,43,57,462,3,1,8.11,24,-14,2
Lorenzo Nunez,,9,45.0,5.0,0,1,0,0,0,0.00,4,36,0
Caleb Lewis,,6,44.5,7.4,36,66,545,5,2,8.26,14,-28,0
Blake Barnett,South Florida,4,44.0,11.0,40,77,434,4,2,5.64,23,63,0
Hayden Wolff,Old Dominion,3,43.9,14.6,75,129,737,2,3,5.71,12,-10,0
Mike Schmidt,Air Force,4,42.7,10.7,5,6,147,1,0,24.50,17,133,3
Tyriek Starks,,4,41.1,10.3,14,28,344,3,1,12.29,28,59,1
Justin Tomlin,Georgia Southern,4,39.7,9.9,12,26,162,0,0,6.23,30,196,2
Terry Wilson,Kentucky,2,39.6,19.8,33,52,360,2,0,6.92,17,44,1
Hunter Johnson,Northwestern,6,38.5,6.4,50,108,432,1,4,4.00,48,64,1
Austin Burton,UCLA,6,38.3,6.4,44,64,365,1,0,5.70,23,100,1
Chris Chugunov,Ohio State,9,37.3,4.1,26,43,286,6,0,6.65,4,-10,0
Brandon Robinson,Liberty,5,36.8,7.4,2,3,19,1,0,6.33,17,138,3
Michael Curtis,Massachusetts,3,36.5,12.2,30,64,288,2,4,4.50,22,81,1
Jalen Fowler,North Carolina A&T,7,36.3,5.2,18,31,262,3,0,8.45,12,52,1
Tristan Gebbia,Oregon State,4,35.9,9.0,38,60,347,2,1,5.78,11,45,1
Darius Douglas,,2,35.7,17.9,13,25,210,2,0,8.40,15,52,2
Colton Richardson,Idaho,4,35.3,8.8,29,53,434,2,3,8.19,16,-4,1
Steven Krajewski,UConn,4,35.1,8.8,24,38,292,3,2,7.68,13,25,1
Aaron Allen,Louisiana Tech,6,34.6,5.8,43,75,446,3,1,5.95,13,3,0
Carter Bradley,Toledo,6,34.4,5.7,46,100,502,1,2,5.02,25,-7,1
Malik Henry,Nevada,3,34.4,11.5,42,78,593,1,4,7.60,11,7,0
Cristian Solano,Nevada,3,34.2,11.4,25,41,248,2,2,6.05,26,138,0
Ben Bryant,Cincinnati,5,32.9,6.6,29,51,388,1,2,7.61,22,35,1
Phil Jurkovec,Notre Dame,6,32.1,5.4,12,16,222,2,0,13.88,22,130,0
Michael Beaudry,UConn,4,32.0,8.0,53,83,503,1,2,6.06,21,-32,1
Bailey Hockman,North Carolina State,7,30.5,4.4,54,97,546,1,4,5.63,16,-8,0
Joey Yellen,Arizona State,1,30.1,30.1,28,44,292,4,2,6.64,1,-5,0
Jordan Weeks,UTSA,3,30.0,10.0,38,66,451,2,3,6.83,10,-6,0
Nick Patti,Pittsburgh,4,29.8,7.4,26,43,301,3,1,7.00,5,27,0
Keon Howard,Tulane,4,29.6,7.4,13,18,208,2,0,11.56,12,52,1
Matt Robinson,Illinois,6,29.3,4.9,42,77,475,1,0,6.17,30,-45,1
Jason Bean,North Texas,7,28.8,4.1,22,35,176,3,3,5.03,13,80,0
Zion Webb,Jacksonville State,6,28.6,4.8,6,14,148,1,0,10.57,19,112,1
Conor Blount,Eastern Kentucky,9,28.5,3.2,53,97,437,1,2,4.51,28,9,0
Stetson Bennett,Georgia,4,28.2,7.1,20,27,260,2,1,9.63,4,12,1
Henry Colombi,Utah State,6,28.2,4.7,20,29,221,2,1,7.62,14,31,1
Noah Johnson,,3,28.1,9.4,36,63,312,1,1,4.95,20,25,1
Johnathan Brantley,,4,27.0,6.7,35,76,263,1,1,3.46,53,98,0
KJ Jefferson,Arkansas,3,26.9,9.0,14,31,197,0,1,6.35,30,58,2
Miller Mosley,,8,26.5,3.3,6,11,55,0,1,5.00,22,117,2
Jack Lindsey,Arkansas,2,26.3,13.2,13,30,126,3,0,4.20,7,80,0
Chase Cunningham,Middle Tenn. St,5,26.1,5.2,17,32,221,2,1,6.91,3,10,1
Alex Delton,TCU,6,25.9,4.3,27,50,318,0,1,6.36,17,100,0
Myles Brennan,LSU,8,25.8,3.2,24,40,353,1,1,8.83,9,41,0
Kingsley Ifedi,North Carolina A&T,6,25.2,4.2,1,3,16,0,1,5.33,28,184,1
McLane Carter,Rutgers,2,25.1,12.6,27,47,368,2,4,7.83,2,-13,0
Messiah deWeaver,Old Dominion,5,24.9,5.0,29,67,316,1,2,4.72,47,35,0
Artur Sitkowski,Rutgers,3,24.8,8.3,44,68,429,1,2,6.31,8,-7,0
Zack Blair,,1,24.7,24.7,17,43,250,3,2,5.81,4,2,0
Dylan McCaffrey,Michigan,5,22.6,4.5,10,20,116,1,0,5.80,13,67,1
Darius Perrantes,Rhode Island,3,21.5,7.2,25,47,287,2,1,6.11,8,-9,0
Tylan Morton,South Alabama,4,21.3,5.3,10,24,186,1,2,7.75,15,20,1
Re-al Mitchell,Iowa State,5,21.0,4.2,2,4,14,1,0,3.50,11,100,1
Tyler Shough,Oregon,4,20.3,5.1,12,15,144,3,0,9.60,2,11,0
Jacob Zeno,Baylor,3,20.3,6.8,9,18,223,1,1,12.39,8,-9,1
Gavin Hardison,UTEP,2,20.1,10.0,27,61,335,1,0,5.49,14,-7,0
Tanner Mordecai,Oklahoma,6,20.0,3.3,16,26,207,2,0,7.96,4,16,0
Kirk Rygol,South Florida,5,19.4,3.9,12,24,170,2,0,7.08,9,29,0
Dante Chachere,Portland State,3,18.8,6.3,0,0,0,0,0,0.00,10,68,2
Taylor Powell,Missouri,6,18.6,3.1,29,62,297,1,2,4.79,6,-3,0
Zach Gibson,Akron,4,18.1,4.5,41,81,425,1,3,5.25,14,-72,0
Manny Miles,Kansas,3,17.9,6.0,9,17,114,1,2,6.71,7,22,1
Lucas Johnson,Georgia Tech,4,17.7,4.4,21,37,187,1,1,5.05,22,43,0
Chris Katrenick,Duke,5,17.2,3.4,3,13,49,1,1,3.77,13,47,1
Ryan Glover,,5,16.9,3.4,6,13,79,1,1,6.08,5,68,0
