,,,Fantasy,,Passing,,,,,,Rushing,,
Jake Bentley,South Carolina,13,286.4,22.0,240,388,3171,27,14,8.17,65,78,2
Peyton Ramsey,Indiana,12,285.2,23.8,295,447,2875,19,13,6.43,111,354,5
Kelvin Hopkins,Army,12,279.0,23.3,51,93,1026,6,3,11.03,208,1017,17
Drew Anderson,Murray State,11,275.2,25.0,258,429,2864,20,15,6.68,82,225,5
Ben DiNucci,James Madison,13,275.1,21.2,211,309,2275,16,12,7.36,107,433,9
Daniel Jones,Duke,11,272.2,24.7,237,392,2674,22,9,6.82,104,319,3
Clayton Thorson,Northwestern,14,270.2,19.3,299,489,3183,17,15,6.51,78,-110,9
Brady White,Memphis,14,269.3,19.2,246,392,3296,26,9,8.41,53,-43,1
Steven Montez,Colorado,12,266.3,22.2,258,399,2849,19,9,7.14,94,238,4
Khalil Tate,Arizona,11,264.9,24.1,170,302,2530,26,8,8.38,74,224,2
Blake Barnett,South Florida,11,261.7,23.8,214,350,2710,12,11,7.74,107,301,8
Eric Barriere,Eastern Washington,11,261.3,23.8,156,256,1900,17,6,7.42,83,550,7
Jake Browning,Washington,14,260.3,18.6,252,388,3192,16,10,8.23,86,127,4
Ian Book,Notre Dame,10,259.4,25.9,214,314,2628,19,7,8.37,95,280,4
Gus Ragland,Miami (OH),12,258.8,21.6,226,371,2547,17,5,6.87,92,214,7
Bailey Zappe,Houston Baptist,11,258.6,23.5,252,436,2812,23,13,6.45,118,179,1
Marcus Childers,Northern Illinois,14,258.4,18.5,234,397,2175,15,10,5.48,194,531,6
Shea Patterson,Michigan,13,257.3,19.8,210,325,2600,22,7,8.00,76,273,2
Luke Anthony,,11,256.9,23.4,319,484,3019,23,9,6.24,43,-37,3
Daniel Parr,Duquesne,13,256.4,19.7,188,311,2447,20,11,7.87,94,120,7
Jake Fromm,Georgia,14,255.4,18.2,207,307,2761,30,6,8.99,41,-27,0
J'Mar Smith,Louisiana Tech,13,251.9,19.4,264,461,3160,15,10,6.85,90,159,3
Nate Stanley,Iowa,13,251.7,19.4,235,396,2852,26,10,7.20,36,4,1
Dan Ellington,Georgia State,11,246.5,22.4,174,292,2119,12,5,7.26,159,625,5
Kyle Shurmur,Vanderbilt,13,244.5,18.8,254,406,3130,24,6,7.71,39,-80,0
James Morgan,Florida International,12,242.9,20.2,213,326,2727,26,7,8.37,28,-35,1
Brock Purdy,Iowa State,10,237.3,23.7,146,220,2250,16,7,10.23,100,308,5
Stephen Calvert,Liberty,12,234.8,19.6,240,439,3068,21,18,6.99,30,-146,2
Jarret Doege,Bowling Green,12,234.2,19.5,242,389,2660,27,12,6.84,51,-188,2
Holton Ahlers,East Carolina,10,232.5,23.2,127,263,1785,12,3,6.79,119,592,6
Nick Tiano,UT-Chattanooga,11,231.6,21.1,233,378,2710,15,6,7.17,85,239,1
TaQuon Marshall,Georgia Tech,12,230.3,19.2,48,109,900,5,4,8.26,216,971,11
Jarrett Stidham,Auburn,13,229.8,17.7,224,369,2794,18,5,7.57,72,1,3
Ryan Boyle,Indiana State,10,229.0,22.9,128,205,1627,12,3,7.94,114,610,6
Blake LaRussa,Old Dominion,11,226.0,20.5,249,393,3015,19,10,7.67,51,-68,1
Chason Virgil,,11,225.9,20.5,248,417,3034,17,13,7.28,73,2,1
Ty Brock,Sam Houston,9,224.2,24.9,178,312,2417,15,12,7.75,79,161,3
Johnathan Brantley,,10,223.1,22.3,200,307,2016,14,2,6.57,100,310,6
Reece Udinski,,11,221.8,20.2,302,523,3082,20,16,5.89,77,-183,1
Terry Wilson,Kentucky,13,216.6,16.7,180,268,1889,11,8,7.05,135,547,4
Deondre Francois,Florida State,11,216.2,19.7,227,396,2731,15,12,6.90,78,16,3
A.J. Bush,Illinois,10,216.0,21.6,117,217,1413,6,10,6.51,138,733,8
Jon Wassink,Western Michigan,9,215.9,24.0,151,245,1994,16,6,8.14,46,162,6
Chris Robison,Florida Atlantic,12,214.1,17.8,192,304,2540,12,12,8.36,73,211,3
Kato Nelson,Akron,11,212.8,19.3,178,342,2329,15,8,6.81,131,303,1
Anthony Brown,Boston College,12,210.2,17.5,158,285,2121,20,9,7.44,54,85,1
Andre Nunez,Louisiana-Lafayette,14,210.0,15.0,182,287,2272,20,12,7.92,56,-15,3
Anthony Russo,Temple,11,208.5,19.0,198,345,2563,14,14,7.43,43,63,3
Ross Comis,Massachusetts,11,207.5,18.9,122,194,1799,14,3,9.27,86,255,6
JaJuan Lawson,Rhode Island,7,205.7,29.4,128,192,1728,17,5,9.00,75,213,5
Riley Neal,Ball State,9,205.6,22.8,194,335,1917,11,4,5.72,86,357,5
Alan Bowman,Texas Tech,8,204.3,25.5,227,327,2638,17,7,8.07,29,-26,1
Tyler Huntley,Utah,9,203.6,22.6,150,234,1788,12,6,7.64,108,304,4
Sam Hartman,Wake Forest,9,202.7,22.5,161,291,1984,16,8,6.82,107,275,2
Isaiah Green,Marshall,10,200.6,20.1,187,330,2459,15,10,7.45,45,116,1
Mason Petrino,Idaho,11,199.2,18.1,199,333,1933,15,8,5.80,77,245,3
Ben Hicks,SMU,12,198.3,16.5,208,372,2582,19,7,6.94,45,-68,0
Price Wilson,,9,194.8,21.6,208,349,2374,20,8,6.80,28,-39,0
K.J. Carta-Samuels,Colorado State,9,193.7,21.5,183,298,2261,19,9,7.59,45,-14,1
Malcolm Perry,Navy,13,192.5,14.8,9,25,222,2,1,8.88,172,1087,7
Chris Ferguson,Maine,11,192.3,17.5,181,317,2047,21,9,6.46,40,-61,2
Josh Adkins,New Mexico State,10,191.9,19.2,222,393,2563,13,9,6.52,86,117,0
Chase Garbers,California,11,185.3,16.8,159,260,1506,14,10,5.79,98,420,2
Kenny Pickett,Pittsburgh,14,185.3,13.2,180,310,1969,12,6,6.35,117,220,3
Jake Constantine,Weber State,12,183.5,15.3,208,341,2205,18,12,6.47,46,-108,2
Brady Davis,,9,177.1,19.7,128,233,1821,18,5,7.82,46,80,1
Jack Abraham,Southern Miss,9,175.6,19.5,223,305,2347,15,10,7.70,49,-78,1
JT Daniels,USC,11,174.7,15.9,216,363,2672,14,10,7.36,45,-149,0
Armani Rogers,UNLV,6,174.6,29.1,52,117,601,10,4,5.14,93,565,8
Skylar Thompson,Kansas State,11,172.9,15.7,122,208,1391,9,4,6.69,105,373,5
Brian Lewerke,Michigan State,11,171.4,15.6,184,339,2040,8,11,6.02,90,184,2
Tyler Johnston,UAB,12,170.1,14.2,80,140,1323,11,9,9.45,90,359,4
Eli Peters,Toledo,11,168.3,15.3,146,265,1837,18,7,6.93,23,44,0
Sawyer Smith,Troy,13,165.7,12.7,144,229,1669,14,6,7.29,74,191,1
Mitchell Guadagni,Toledo,7,165.5,23.6,69,120,1053,13,3,8.78,77,428,3
Mike Glass,Eastern Michigan,8,164.4,20.6,72,117,1024,9,1,8.75,71,412,6
Zach Wilson,BYU,9,161.0,17.9,120,182,1578,12,3,8.67,75,221,2
A.J. Erdely,UAB,9,160.7,17.9,111,198,1539,7,7,7.77,84,257,5
Tom Stewart,,8,159.4,19.9,106,200,1614,14,2,8.07,47,154,1
Justin McMillan,Tulane,9,159.0,17.7,79,154,1304,10,4,8.47,59,238,5
Evan Orth,South Alabama,10,157.1,15.7,145,222,1795,11,6,8.09,56,173,1
Nathan Elliott,North Carolina,10,156.0,15.6,201,325,2169,11,9,6.67,39,35,0
Jett Duffey,Texas Tech,7,154.0,22.0,104,154,1221,8,6,7.93,79,369,4
Derek Kyler,,10,153.2,15.3,122,177,1362,13,2,7.69,37,190,1
Gage Gubrud,Eastern Washington,5,151.7,30.3,99,160,1416,13,5,8.85,31,169,2
Sheriron Jones,New Mexico,11,151.5,13.8,102,187,1417,13,12,7.58,79,286,0
Jawon Pass,Louisville,11,151.3,13.8,162,300,1960,8,12,6.53,76,93,2
Jordan Hoy,,8,150.3,18.8,40,67,654,6,2,9.76,81,516,7
Tyler Wiegers,Eastern Michigan,12,149.2,12.4,171,265,1887,11,3,7.12,66,48,1
Josh Love,San Jose State,8,145.0,18.1,162,289,1963,14,9,6.79,30,-93,0
Ryan Glover,,10,144.1,14.4,122,205,1482,7,6,7.23,100,300,2
Ty Storey,Arkansas,10,143.3,14.3,143,250,1584,11,10,6.34,67,146,1
Malik Rosier,Miami,8,142.7,17.8,82,156,1053,6,8,6.75,57,300,6
Donald Hammond,Air Force,8,142.3,17.8,38,72,623,5,2,8.65,83,371,9
Isaiah Sanders,Air Force,8,140.8,17.6,48,78,844,4,3,10.82,120,466,6
Zach Abey,Navy,11,140.6,12.8,12,28,246,1,2,8.79,125,306,14
Jamie Newman,Wake Forest,6,138.9,23.1,84,141,1083,9,4,7.68,64,247,4
Ryan Agnew,San Diego State,12,136.7,11.4,115,223,1651,10,6,7.40,62,141,0
Willie Jones,Texas State,8,135.4,16.9,74,132,984,7,2,7.45,95,402,3
Kaleb Barker,Troy,6,134.8,22.5,92,126,1013,10,2,8.04,57,261,3
Jarrett Guarantano,Tennessee,12,134.0,11.2,153,246,1907,12,3,7.75,40,-94,0
Vincent Testaverde,Albany,8,133.6,16.7,117,219,1714,11,12,7.83,31,-81,2
Max Gilliam,UNLV,9,131.3,14.6,125,226,1394,14,8,6.17,51,-4,1
Peyton Bender,Kansas,11,131.1,11.9,183,321,1894,13,3,5.90,35,-156,0
Tyler Vitt,Texas State,9,130.8,14.5,116,191,1159,7,10,6.07,81,237,2
Kai Locksley,UTEP,9,128.9,14.3,83,169,937,3,9,5.54,111,340,6
N'Kosi Perry,Miami,11,128.0,11.6,97,191,1091,13,6,5.71,61,169,1
Alex Hornibrook,Wisconsin,9,122.5,13.6,122,205,1532,13,11,7.47,20,-61,0
James Tabary,McNeese State,11,121.4,11.0,139,248,1576,12,7,6.35,36,-114,1
Steven Duncan,Western Kentucky,9,120.8,13.4,108,187,1071,9,7,5.73,74,192,2
Zion Webb,Jacksonville State,10,119.7,12.0,34,61,444,5,1,7.28,60,412,6
Seth Boomer,Tulsa,8,118.0,14.8,101,198,1378,9,4,6.96,58,71,1
Tanner Morgan,Minnesota,9,117.2,13.0,89,152,1401,9,6,9.22,41,51,1
Daniel Bridge-Gadd,Northern Arizona,7,115.8,16.5,111,194,1324,9,6,6.82,63,76,1
Jason Shelley,Utah,9,115.3,12.8,98,168,1162,5,6,6.92,63,192,3
Wilton Speight,UCLA,7,115.1,16.4,126,208,1527,6,6,7.34,39,27,2
D.J. Mack,Central Florida,9,115.0,12.8,51,100,619,3,1,6.19,69,337,6
Kevin Thomson,,7,114.4,16.3,79,145,1380,8,1,9.52,51,134,0
Kilton Anderson,Coastal Carolina,10,113.6,11.4,76,131,1010,8,3,7.71,56,251,1
Chris Helbig,Southern Utah,4,113.0,28.2,94,145,1011,5,2,6.97,42,105,5
Glen Cuiellette,,8,112.0,14.0,116,235,1479,8,8,6.29,54,0,1
Tommy Lazzaro,Central Michigan,7,111.7,16.0,68,141,711,5,10,5.04,97,381,3
Shawn Stankavage,Rice,10,111.1,11.1,124,219,1328,10,10,6.06,44,47,0
Jake Luton,Oregon State,8,108.6,13.6,140,224,1660,10,4,7.41,28,-144,0
Malik Cunningham,Louisville,10,107.4,10.7,40,67,473,1,1,7.06,79,497,5
Lynn Bowden,Kentucky,13,107.0,8.2,0,1,0,0,1,0.00,9,25,0
Mike Collins,TCU,8,106.1,13.3,79,140,1059,6,2,7.56,38,111,3
Collin Hill,Colorado State,10,102.4,10.2,119,202,1387,7,7,6.87,28,-10,1
Quentin Harris,Duke,12,101.8,8.5,34,68,437,7,1,6.43,46,195,5
Jalen Hurts,Alabama,13,100.6,7.7,51,70,765,8,2,10.93,36,167,2
Dorian Thompson-Robinson,UCLA,9,100.4,11.2,112,194,1311,7,4,6.76,50,68,0
Andrew Ford,Massachusetts,7,97.9,14.0,115,177,1366,9,5,7.72,19,-64,0
Jonathan Banks,Tulane,7,97.7,14.0,72,139,1074,5,2,7.73,78,120,2
Reid Herring,East Carolina,8,97.7,12.2,154,288,1607,6,10,5.58,24,-67,0
Drew Plitt,Ball State,7,93.1,13.3,85,131,1008,6,8,7.69,36,43,2
Cordale Grundy,UTSA,9,92.2,10.2,111,220,989,5,3,4.50,64,167,1
Tyler Vander Waal,Wyoming,10,91.2,9.1,120,246,1310,5,4,5.33,61,-63,2
Demry Croft,Tennessee State,4,91.0,22.8,61,101,888,8,2,8.79,38,146,0
Zack Annexstad,Minnesota,7,91.0,13.0,97,187,1277,9,7,6.83,23,-89,0
Breylin Smith,Central Arkansas,4,90.4,22.6,77,112,1009,6,1,9.01,23,39,2
Kasim Hill,Maryland,10,88.7,8.9,84,170,1083,9,4,6.37,40,-15,0
Kasim Hill,Maryland,10,88.7,8.9,84,170,1083,9,4,6.37,40,-15,0
Garret Lewis,Navy,10,88.6,8.9,33,74,479,2,2,6.47,87,266,5
Kaleb Eleby,Western Michigan,6,85.9,14.3,92,147,1092,4,3,7.43,29,-27,3
Clayton Tune,Houston,5,83.9,16.8,59,117,795,8,2,6.79,41,61,1
Chris Reynolds,UNC Charlotte,6,82.3,13.7,100,154,1173,6,2,7.62,40,-64,1
Justin Fields,Georgia,12,82.0,6.8,27,39,328,4,0,8.41,42,266,4
Conor Blount,Oregon State,9,81.2,9.0,95,153,1117,7,2,7.30,55,-27,0
Davis Shanley,Western Kentucky,8,74.2,9.3,96,141,942,3,2,6.68,38,91,1
Luke Skipper,Tulsa,4,73.1,18.3,68,116,716,4,6,6.17,50,153,1
Tate Whatley,Southern Miss,6,72.8,12.1,42,75,451,4,1,6.01,66,162,3
Fred Payton,Coastal Carolina,6,72.1,12.0,49,75,677,6,2,9.03,46,142,0
Alex Delton,Kansas State,7,71.1,10.2,44,80,554,2,2,6.93,85,234,2
Tanner Mangum,BYU,8,71.0,8.9,114,187,1104,5,4,5.90,13,-44,0
William Brown,SMU,6,70.6,11.8,53,85,625,7,1,7.35,35,99,0
Sean Chambers,Wyoming,4,70.2,17.6,15,25,266,3,0,10.64,59,329,2
Jalan McClendon,Baylor,9,70.0,7.8,55,91,715,3,3,7.86,34,102,2
Cole Kelley,Arkansas,9,69.0,7.7,35,67,455,5,5,6.79,28,73,3
Brandon Jones,UTEP,6,67.8,11.3,42,85,673,4,5,7.92,43,61,2
Artur Sitkowski,Rutgers,11,67.3,6.1,134,273,1158,4,18,4.24,22,-66,0
Michael Curtis,Massachusetts,6,67.1,11.2,26,40,412,4,2,10.30,19,65,4
Daniel David,Kennesaw State,10,66.0,6.6,8,14,201,2,1,14.36,39,179,5
Miller Mosley,,11,63.0,5.7,18,36,343,2,3,9.53,49,258,2
Bryce Carpenter,Coastal Carolina,7,62.6,8.9,37,55,464,5,2,8.44,57,194,0
Rocky Lombardi,Michigan State,7,61.9,8.8,68,154,738,3,3,4.79,38,130,0
Levi Lewis,Louisiana-Lafayette,14,61.3,4.4,37,59,585,7,2,9.92,25,40,0
Josh Jackson,Virginia Tech,3,60.9,20.3,36,58,575,5,1,9.91,20,61,1
Parker McKinney,Eastern Kentucky,3,59.0,19.7,55,84,608,4,1,7.24,21,66,1
Logan Marchi,,6,58.7,9.8,55,114,657,3,6,5.76,26,80,1
Hasaan Klugh,UNC Charlotte,8,58.5,7.3,28,43,362,2,2,8.42,56,204,2
Wiley Green,Rice,4,58.5,14.6,45,88,621,3,4,7.06,15,34,2
Tevaka Tuioti,New Mexico,3,58.0,19.3,24,43,439,5,2,10.21,15,100,1
Tyrrell Pigrome,Maryland,11,58.0,5.3,37,67,561,2,1,8.37,58,159,1
Quinton Maxwell,Ohio,6,57.2,9.5,20,36,276,2,0,7.67,20,114,4
Austin Ewing,Southern Utah,4,57.1,14.3,11,13,66,1,0,5.08,35,254,3
Foster Sawyer,Stephen F. Austin,6,56.6,9.4,98,179,891,5,4,4.98,26,-80,0
Alex Thomson,Marshall,4,56.3,14.1,53,100,506,5,3,5.06,35,50,1
Kelly Bryant,Clemson,4,56.1,14.0,36,54,461,2,1,8.54,30,130,2
Michael Dare,Sam Houston,5,55.6,11.1,71,112,748,5,5,6.68,34,-18,0
Christian Alexander,Florida International,9,55.5,6.2,36,55,427,1,1,7.76,25,181,2
Christian Chapman,San Diego State,7,53.7,7.7,51,89,782,4,1,8.79,22,-14,0
Aaron Winchester,Georgia State,6,53.6,8.9,31,57,348,3,1,6.11,32,122,2
Cam Thomas,Army,7,53.4,7.6,1,3,15,1,0,5.00,50,306,3
Cole Garvin,South Alabama,5,52.9,10.6,48,78,524,5,3,6.72,30,67,0
Lorenzo Nunez,,8,51.6,6.5,5,7,58,1,0,8.29,39,147,1
Evan Shirreffs,UNC Charlotte,5,51.5,10.3,54,104,631,2,4,6.07,30,-1,2
Ryan Metz,UTEP,6,51.4,8.6,35,69,576,3,5,8.35,30,46,1
Chase Brice,Clemson,12,51.4,4.3,32,51,442,5,3,8.67,16,93,0
Zeb Noland,Iowa State,5,50.8,10.2,70,110,722,4,1,6.56,7,-13,0
Drew Eckels,Western Kentucky,3,49.6,16.5,50,99,709,3,0,7.16,24,21,0
Hayden Moore,Cincinnati,6,48.2,8.0,27,51,327,2,1,6.41,24,124,2
Jack Coan,Wisconsin,5,48.1,9.6,56,93,515,5,3,5.54,20,-33,1
Chevan Cordeiro,Hawaii,4,47.8,12.0,30,49,384,6,2,7.84,23,46,0
Tommy DeVito,Syracuse,7,46.6,6.7,44,87,525,4,3,6.03,23,-17,1
M.J. Rivers,Illinois,7,45.9,6.6,56,101,547,3,3,5.42,49,65,0
Matt Romero,New Mexico State,4,45.6,11.4,72,131,609,3,6,4.65,35,-29,1
Michael Carrillo,San Jose State,6,45.1,7.5,48,80,629,5,3,7.86,13,-64,0
Frank Nutile,Temple,3,44.3,14.8,42,75,585,4,5,7.80,10,-10,0
Aldon Clark,Grambling State,8,43.4,5.4,46,86,380,0,5,4.42,44,184,1
James Blackman,Florida State,3,42.9,14.3,33,51,510,5,1,10.00,11,-26,0
Aaron Zwahlen,Southern Utah,5,42.5,8.5,86,143,792,2,5,5.54,6,-51,0
Dom Shoffner,,6,42.3,7.1,27,54,350,3,0,6.48,33,128,0
Tate Martell,Ohio State,6,42.3,7.0,23,28,269,1,0,9.61,22,128,2
Colton Richardson,Idaho,6,40.9,6.8,30,58,434,5,4,7.48,16,-8,0
Matt Corral,Mississippi,4,40.3,10.1,16,22,239,2,1,10.86,13,83,2
De'Andre Johnson,Florida Atlantic,6,39.9,6.6,13,23,161,2,1,7.00,35,178,1
McCoy Hill,Southern Utah,10,39.0,3.9,0,0,0,0,0,0.00,0,0,0
Rhett Rodriguez,Arizona,6,37.5,6.3,43,83,516,3,2,6.22,11,-3,0
Cade Fortin,North Carolina,4,37.0,9.3,32,65,388,1,1,5.97,14,76,1
Grayson Muehlstein,TCU,5,36.9,7.4,35,63,355,3,4,5.63,35,71,0
Jeff Undercuffler,Albany,4,36.6,9.2,42,88,526,4,5,5.98,16,-57,0
Jack Chambers,,5,35.8,7.2,14,26,244,2,2,9.38,29,96,1
Gio Rescigno,Rutgers,7,35.4,5.1,35,74,370,1,3,5.00,32,110,0
EJ Perry,Boston College,4,34.9,8.7,27,39,277,2,0,7.10,20,70,1
Keller Chryst,Tennessee,6,34.8,5.8,23,51,450,3,2,8.82,5,3,0
Dustin Crum,Kent,6,33.9,5.7,16,27,176,2,0,6.52,19,111,1
Tommy Stevens,Penn State,6,33.5,5.6,8,11,110,1,1,10.00,28,118,2
Coltin Gerhart,New Mexico,5,33.3,6.7,27,56,266,3,3,4.75,35,20,1
Grant Loy,Bowling Green,9,33.0,3.7,7,12,180,2,1,15.00,29,160,0
Bryce Rivers,UTSA,3,33.0,11.0,37,64,463,2,2,7.23,14,-42,1
Michael Scarnecchia,South Carolina,4,32.3,8.1,29,51,353,4,0,6.92,5,-14,0
Carter Stanley,Kansas,4,31.0,7.8,34,47,304,3,1,6.47,21,38,0
Montel Aaron,San Jose State,6,30.6,5.1,44,75,500,2,0,6.67,21,-24,0
Dylan McCaffrey,Michigan,5,30.2,6.0,8,15,126,2,0,8.40,10,99,1
Henry Colombi,Utah State,5,28.8,5.8,33,40,239,0,0,5.98,13,108,1
Chris Oladokun,South Florida,6,28.2,4.7,22,44,285,3,1,6.48,25,19,0
Andrew Bunch,Nebraska,5,28.0,5.6,31,47,320,2,2,6.81,16,40,0
Evan Marshman,Rice,2,27.7,13.9,17,31,164,0,1,5.29,18,75,2
Peyton Derrick,Appalachian State,5,27.4,5.5,13,22,186,2,2,8.45,8,41,1
Cristian Solano,Nevada,3,26.3,8.8,23,45,200,0,4,4.44,26,103,1
Chase Cord,Boise State,4,24.3,6.1,6,9,67,1,1,7.44,8,109,1
Cephus Johnson,South Alabama,8,24.2,3.0,7,19,120,3,1,6.32,28,62,0
McLane Carter,Texas Tech,5,23.6,4.7,28,51,318,2,2,6.24,9,-3,0
Quinn Shanbour,North Texas,7,23.6,3.4,6,16,53,0,3,3.31,21,89,2
Shane Buechele,Texas,2,22.5,11.2,30,44,273,2,1,6.20,10,8,0
Elijah Sindelar,Purdue,2,22.1,11.0,26,44,283,2,3,6.43,4,-1,0
D.J. Gillins,UTSA,5,21.8,4.4,30,61,225,1,5,3.69,28,65,0
Jack Sears,USC,1,20.8,20.8,20,28,235,2,0,8.39,10,10,0
Darren Grainger,,4,20.4,5.1,13,27,181,2,2,6.70,42,33,0
Asher O'Hara,Middle Tenn. St,2,20.2,10.1,9,20,114,0,1,5.70,23,85,1
Jacob Huesman,Appalachian State,5,19.9,4.0,21,38,206,2,4,5.42,12,16,0
Clay Holgorsen,,5,19.9,4.0,38,63,364,1,1,5.78,9,-23,0
Miles Kendrick,Kansas,4,19.7,4.9,11,19,100,1,0,5.26,16,47,1
Michael Penix,Indiana,3,19.5,6.5,21,34,219,1,0,6.44,7,45,0
Arion Worthman,Air Force,3,18.7,6.2,6,16,77,0,0,4.81,29,88,1
Emory Jones,Florida,4,18.4,4.6,12,16,125,2,0,7.81,18,41,0
Jack Allison,West Virginia,5,17.8,3.6,23,45,352,1,2,7.82,7,-38,0
Kyle Trask,Florida,3,17.7,5.9,14,22,162,1,0,7.36,5,-4,1
Sean Clifford,Penn State,4,17.5,4.4,5,7,195,2,0,27.86,5,-3,0
Connor Noland,Arkansas,4,17.2,4.3,21,43,255,1,2,5.93,26,4,0
Jorge Reyna,Fresno State,6,17.1,2.8,8,12,111,1,0,9.25,9,75,0
Jimmy Weirick,,2,17.0,8.5,5,6,35,0,0,5.83,8,92,1
TJ Green,Northwestern,6,16.6,2.8,20,36,169,0,1,4.69,11,21,1
Gunnar Hoak,Kentucky,4,16.4,4.1,13,26,167,2,1,6.42,0,0,0
Logan Bonner,Arkansas State,5,16.4,3.3,15,32,181,1,1,5.66,5,33,0
Isaac Stiebeling,Eastern Michigan,4,16.0,4.0,2,2,2,0,0,1.00,11,39,2
Malik Willis,Auburn,5,16.0,3.2,5,7,24,0,0,3.43,12,88,1
Brennan Armstrong,Virginia,3,14.5,4.8,2,5,62,1,0,12.40,9,74,0
Matt McDonald,Boston College,2,14.2,7.1,7,8,118,2,0,14.75,1,3,0
Jordan Weeks,UTSA,4,14.1,3.5,26,58,241,1,0,4.16,9,-20,0
Matthew McKay,North Carolina State,5,14.0,2.8,7,8,87,0,0,10.88,13,36,1
Rafe Peavey,Florida Atlantic,5,13.9,2.8,20,34,147,0,2,4.32,9,5,1
Marvin Washington,UConn,3,13.5,4.5,9,24,147,1,3,6.13,10,21,0
Keondre Wudtee,Oklahoma State,2,13.4,6.7,2,5,26,1,0,5.20,12,81,0
