,,,Fantasy,,Passing,,,,,,Rushing,,
Name,Team,G,Pts,Pts/G,COMP,ATT,YDS,TD,INT,YPA,ATT,YDS,TD
Kyler Murray,Oklahoma,14,558.2,39.9,260,377,4361,42,7,11.57,140,1001,12
Dwayne Haskins,Ohio State,14,476.4,34.0,373,533,4831,50,8,9.06,79,108,4
D'Eriq King,Houston,11,445.7,40.5,219,345,2982,36,6,8.64,111,674,14
Taylor Cornelius,Oklahoma State,13,429.9,33.1,288,485,3978,32,13,8.20,122,406,10
Gardner Minshew,Washington State,13,426.9,32.8,468,662,4779,38,9,7.22,58,119,4
Tua Tagovailoa,Alabama,15,419.3,28.0,245,355,3966,43,6,11.17,57,190,5
Sam Ehlinger,Texas,14,413.9,29.6,275,425,3292,25,5,7.75,164,482,16
Cole McDonald,Hawaii,13,397.7,30.6,285,484,3875,36,10,8.01,134,359,4
Nathan Rourke,Ohio,13,389.7,30.0,164,274,2434,23,8,8.88,134,860,15
Bryce Perkins,Virginia,13,381.2,29.3,225,349,2680,25,9,7.68,212,923,9
Eric Dungey,Syracuse,13,380.8,29.3,226,371,2868,18,9,7.73,184,754,15
Tom Flacco,,12,372.8,31.1,269,439,3251,28,11,7.41,168,742,4
Zerrick Cooper,Jacksonville State,13,371.4,28.6,251,417,3416,32,14,8.19,109,366,6
Justice Hansen,Arkansas State,13,362.2,27.9,286,434,3447,27,9,7.94,133,411,6
Marcus McMaryion,Fresno State,14,358.9,25.6,293,427,3629,25,5,8.50,71,294,8
Jordan Love,Utah State,13,354.7,27.3,267,417,3567,32,6,8.55,43,63,7
Trace McSorley,Penn State,13,350.3,26.9,192,361,2530,18,7,7.01,170,798,12
Will Grier,West Virginia,11,350.2,31.8,266,397,3864,37,8,9.73,48,-90,3
David Pindell,UConn,12,349.6,29.1,186,314,1962,19,13,6.25,212,1139,10
Noah Johnson,,13,344.4,26.5,197,317,2207,15,9,6.96,144,1080,11
Nick Fitzgerald,Mississippi State,12,342.5,28.5,145,281,1767,16,9,6.29,221,1121,13
Jordan Ta'amu,Mississippi,12,342.1,28.5,266,418,3918,19,8,9.37,116,342,6
Kellen Mond,Texas A&M,13,340.8,26.2,238,415,3107,24,9,7.49,149,474,7
Drew Lock,Missouri,13,340.4,26.2,275,437,3498,28,8,8.00,55,175,6
Caleb Evans,Louisiana-Monroe,12,330.7,27.6,231,374,2869,16,12,7.67,140,632,10
Dalton Sneed,,11,327.7,29.8,241,384,2723,22,7,7.09,131,675,6
Tyree Jackson,Buffalo,14,326.7,23.3,225,407,3131,28,12,7.69,55,161,7
Manny Wilkins,Arizona State,13,324.5,25.0,247,393,3025,20,6,7.70,112,452,8
Brent Stockstill,Middle Tenn. St,14,318.4,22.7,326,464,3544,29,10,7.64,127,140,2
McKenzie Milton,Central Florida,10,317.9,31.8,171,289,2663,25,6,9.21,79,307,9
David Blough,Purdue,13,315.2,24.2,305,462,3705,25,10,8.02,75,52,3
Mason Fine,North Texas,13,311.7,24.0,303,469,3793,27,5,8.09,69,20,2
Charlie Brewer,Baylor,13,310.1,23.9,240,390,3019,19,9,7.74,133,375,7
Adrian Martinez,Nebraska,11,308.7,28.1,224,347,2617,17,8,7.54,140,629,8
Trevor Lawrence,Clemson,15,306.5,20.4,259,397,3280,30,4,8.26,60,177,1
Brett Rypien,Boise State,13,306.5,23.6,301,447,3705,30,7,8.29,85,12,0
Ryan Finley,North Carolina State,13,304.5,23.4,326,484,3928,25,11,8.12,42,21,1
Zac Thomas,Appalachian State,12,303.2,25.3,159,254,2039,21,6,8.03,92,504,10
Justin Herbert,Oregon,13,302.2,23.2,240,404,3151,29,8,7.80,71,166,2
Feleipe Franks,Florida,13,297.1,22.9,188,322,2457,24,6,7.63,110,350,7
Ty Gangi,Nevada,12,295.2,24.6,268,443,3331,24,13,7.52,51,146,3
Daniel Santacaterina,Southeast Missouri State,13,292.5,22.5,232,393,2844,28,11,7.24,88,203,3
Ryan Willis,Virginia Tech,12,291.2,24.3,213,364,2716,24,9,7.46,113,354,4
K.J. Costello,Stanford,13,291.0,22.4,269,413,3540,29,11,8.57,42,-20,0
Joe Burrow,LSU,13,290.6,22.4,219,379,2894,16,5,7.64,128,399,7
Desmond Ridder,Cincinnati,13,290.6,22.4,194,311,2445,20,5,7.86,149,583,5
