TAR/G,YDS/TAR,TM TAR %,TAR,REC,YDS,TD,Probability_Success,Name
3.4,6.0,10.1,41,22,246,2,0.0009705643066784716,Dante Cephas
2.2,10.0,3.2,11,7,110,1,0.0009674020982295483,Luke Wysong
0.0,0.0,0.0,0,12,222,1,0.0009670430427848683,Marquis Spiker
3.5,6.6,8.3,39,22,256,1,0.0009663049649096351,Jordan Brown
0.7,50.0,19.4,7,33,350,4,0.0009623889786414543,Christian Richmond
2.7,7.0,7.6,27,12,188,1,0.000958521716057568,Jaden Williams
1.7,10.5,4.5,19,13,200,2,0.0009530580753077188,Braylen Walker
2.9,8.0,9.2,32,21,255,1,0.0009528171620097931,Ryan Davis
2.9,8.0,9.2,32,21,255,1,0.0009528171620097931,Ryan Davis
2.8,8.0,8.2,33,20,263,1,0.0009524966423268954,Dalton Carnes
3.4,7.3,14.7,44,27,321,1,0.000950028547233721,Donovan Brown
3.8,6.8,14.5,50,30,342,1,0.0009500148081077586,Quinton Lane
2.0,10.9,6.0,28,21,305,1,0.0009428355153689774,Milan Tucker
3.4,6.1,9.0,37,24,227,2,0.000942434739696453,Keagan Johnson
2.0,9.1,6.6,22,10,201,1,0.0009383176711168027,EJ Horton
4.4,4.4,9.8,53,28,233,3,0.0009338242734625934,Craig Burt
0.4,159.5,10.8,4,42,638,4,0.0009326019196118662,Marquis Buchanan
2.8,7.3,4.4,25,16,183,1,0.0009224105048391141,Jaylon Barden
1.4,11.5,5.5,17,11,195,2,0.0009217593079753708,Trevor Wilson
1.4,11.5,5.5,17,11,195,2,0.0009217593079753708,Trevor Wilson
2.2,9.7,7.1,26,18,252,1,0.0009187080446334814,Christian Fitzpatrick
1.9,8.5,6.8,25,14,212,2,0.0009092904756671618,Dacari Collins
2.3,8.8,7.6,30,18,264,1,0.0009084122609398463,Carnell Tate
3.4,5.9,6.6,24,14,142,0,0.0009078593125143698,Ja'Cyais Credle
1.8,11.3,4.9,23,17,260,1,0.0009071136285574345,Tauskie Dove
2.7,6.8,5.9,24,13,163,1,0.0009068349916038072,Kam Brown
5.4,5.5,22.1,65,41,358,1,0.0009065256527714112,Qian Magwood
0.0,0.0,0.0,0,18,212,2,0.0009041409303720958,Dalyn McDonald
3.5,7.0,13.4,52,35,366,2,0.0009039908649777802,Eli Stowers
2.6,7.4,10.0,37,22,272,2,0.0009036774755863729,Larry Stephens
2.2,8.5,4.7,20,11,169,1,0.0009021578824910067,Drew Donley
4.2,6.3,14.2,50,28,316,0,0.0008992501356717244,Daejon Reynolds
2.3,7.1,8.6,28,15,199,2,0.0008982029786085934,Jaedon Wilson
2.8,7.4,6.8,31,19,230,1,0.0008937593541030169,Jordan Smart
3.3,6.7,11.7,43,24,290,1,0.0008901620729147471,Malikhi Miller
1.7,9.3,2.2,10,7,93,2,0.0008871020710704914,Ja'Kobi Lane
2.3,8.3,8.7,34,18,282,1,0.0008868994085044804,Chris Bellamy
2.7,5.1,1.7,8,5,41,0,0.0008851542679105327,Brady Boyd
1.3,12.9,4.4,17,10,220,1,0.0008810066272545694,Bryce Childress
2.3,8.9,1.9,7,3,62,0,0.000880538002368331,Kyle Thomas
0.8,54.9,33.3,10,57,549,2,0.0008788020958190813,Devron Harper
4.7,4.8,19.1,61,31,293,2,0.000877730913988209,Money Parks
1.0,38.3,10.5,6,15,230,2,0.0008739989868293048,Maclaine Griffin
1.7,8.9,5.0,20,12,178,2,0.0008733800749545206,Josiah Norwood
2.4,7.2,7.9,29,18,208,2,0.0008715711313134714,Bradley Rozner
3.4,5.9,8.2,34,15,199,0,0.0008696559042275396,Mudia Reuben
2.0,9.3,6.4,26,16,242,1,0.0008639562557186485,Kyre Duplessis
2.3,7.9,11.2,28,15,221,1,0.0008589088246691575,Alex Bullock
3.3,7.3,12.1,43,24,312,0,0.0008536786871559965,Dino Tomlin
3.2,5.4,11.9,41,20,220,2,0.0008485306602821751,Abdul-Fatai Ibrahim
2.7,6.8,7.8,27,16,184,1,0.0008483234277804004,Alred Luke
0.4,84.5,7.5,4,27,338,5,0.0008471796706605912,Taylor Shields
1.6,10.8,4.9,18,11,195,1,0.0008460884160915324,Adam Jones
2.7,7.1,7.0,35,19,249,1,0.0008440982343567359,Josiah Freeman
3.0,5.4,9.9,36,24,195,3,0.0008353790429954785,Tyrell Henry
4.8,5.6,12.2,57,38,321,1,0.0008348575001745521,Troy Stellato
1.5,16.7,1.7,6,4,100,1,0.0008348222273399339,Barry Jackson
1.8,10.2,4.7,16,11,163,1,0.0008346785337680969,Finn Hogan
1.5,9.6,4.2,16,11,154,2,0.0008292654056385437,Jimmy Valsin
2.9,5.3,3.6,20,14,106,1,0.0008289989282349023,Giles Jackson
1.0,13.8,12.9,13,5,179,1,0.0008241771878174292,Cade Harris
2.0,2.7,1.3,6,2,16,1,0.000823719834417284,Christian Carter
3.7,5.2,12.0,41,22,215,1,0.0008230799836830589,Kaleb Brown
2.0,11.5,1.1,4,1,46,0,0.0008196002779454543,Beni Ngoyi
1.7,9.8,5.0,20,12,195,1,0.0008161042459670973,Nyckoles Harbor
3.2,6.2,9.4,38,22,236,1,0.0008157369569369219,Kyle Ford
2.3,7.1,5.4,23,18,164,2,0.0008127381026070937,Willie McCoy
2.4,7.3,3.7,17,14,124,1,0.0008013050390774388,Tar'Varish Dawson
2.0,4.8,2.0,8,4,38,1,0.000800627228841302,Zakhari Franklin
2.4,6.9,8.5,31,15,213,1,0.0007980389106305016,Ahmarian Granger
2.0,1.5,0.5,2,1,3,0,0.0007860236908581053,Brock Burnette
2.0,1.5,0.6,2,1,3,0,0.0007859926506445023,Isaac Smith
1.4,7.7,4.4,20,8,153,2,0.0007854350242915322,Arian Smith
2.3,6.0,5.0,25,15,149,2,0.0007849469218862363,John Adams
2.0,3.5,0.5,2,1,7,0,0.0007847100395601863,William Fowles
2.1,6.6,5.3,17,9,113,1,0.0007847074110656093,Malachai Jones
4.1,4.8,11.3,53,29,255,2,0.0007837877327545714,Drae McCray
2.0,7.0,0.4,2,1,14,0,0.0007824473253532316,Isaiah Neyor
0.8,18.0,6.9,7,5,126,2,0.0007821921926041639,Dane Kinamon
3.4,5.3,10.6,44,20,234,1,0.0007812483810883846,Javon Ivory
1.8,8.5,5.7,20,11,169,1,0.0007803505175485338,Christian Wells
2.2,5.8,9.6,24,8,139,1,0.0007796208122200454,Malachi Coleman
2.3,8.5,17.3,28,16,237,0,0.0007785462346205296,Casey Reynolds
1.7,7.4,1.3,5,3,37,1,0.0007778852002404854,Antwane Wells
0.0,0.0,0.0,0,15,220,0,0.0007716077485975624,Jakobie Keeney-James
2.0,7.3,5.8,26,17,189,2,0.0007711385154895843,Kyron Hudson
1.8,6.3,7.4,23,10,144,2,0.0007693815932883763,Shane Hooks
2.5,3.5,2.6,10,5,35,0,0.0007693792434929405,Zachary Card
2.3,5.6,15.8,9,5,50,0,0.0007682825645839694,Darien Chase
1.6,9.5,3.0,11,7,105,1,0.0007648267673110793,Chase Lane
2.0,3.8,10.3,4,1,15,0,0.0007647190934296813,Caleb Lynum
2.0,6.3,1.0,4,2,25,0,0.0007634185972388731,Aidan Mizell
2.0,7.0,0.4,2,2,14,0,0.0007620624754837859,Cole Pruett
2.7,5.0,7.9,27,12,134,1,0.0007619068144749565,Diante Vines
2.0,9.0,0.4,2,2,18,0,0.000760788839157548,Ryan Manning
2.1,7.6,9.9,29,21,220,2,0.0007599590113635487,Aaron Bedgood
2.4,7.2,3.8,19,11,137,0,0.0007599557719041031,Jack Bech
1.8,13.9,1.8,7,6,97,0,0.000758958993704054,Andy Jean
2.0,15.0,0.4,2,2,30,0,0.0007569806780733447,Rashid Williams
2.5,5.3,8.3,28,11,149,1,0.0007560478512940333,Freddie Roberson
2.5,7.6,6.3,33,23,252,1,0.0007539654318284141,Nick Cenacle
3.1,5.8,9.4,34,16,197,0,0.0007533257356780031,Davis Patterson
3.8,4.8,13.3,46,28,222,2,0.0007531954377695585,NyNy Davis
2.3,2.2,3.6,9,2,20,0,0.0007527727525625509,Jaidyn Doss
2.6,6.3,5.1,23,17,146,1,0.0007521447954121596,Michael Jackson
2.6,4.3,3.3,18,6,78,0,0.0007516088734212462,Talyn Shettron
