TAR/G,YDS/TAR,TM TAR %,TAR,REC,YDS,TD,Probability_Success,Name
1.8,5.7,2.9,9,6,51,0,0.0006299415508327441,Andrew Jacobs
2.3,5.5,7.3,30,16,166,1,0.0006294470892402458,Kaleb Webb
0.9,28.3,26.9,7,18,198,1,0.000625673076961376,Maurice Lloyd
2.9,4.3,9.7,35,17,151,1,0.0006248480867627768,Jalen Johnson
1.1,11.1,3.1,14,13,155,1,0.0006211345864873032,Mekhi Mews
2.2,5.9,6.5,24,17,141,1,0.0006205893814478175,Devin Maddox
1.3,10.9,2.3,9,6,98,0,0.0006201006160005138,Marcus Burke
2.0,7.8,5.3,22,16,171,0,0.0006160232199040153,Mason Pierce
0.4,114.8,16.7,4,33,459,2,0.0006150539850640932,Bryson Allen
1.2,6.3,3.6,13,5,82,1,0.0006125139828653156,Antonio Gates Jr.
2.6,6.4,6.3,31,20,197,0,0.0006122099957568809,Major Everhart
1.5,2.3,0.7,3,3,7,0,0.000611395947398354,AJ Toney
2.8,4.2,8.9,34,16,142,1,0.0006111872532292786,Jayden Dixon-Veal
1.9,8.2,6.4,23,17,189,0,0.0006088161436640408,Charles Robertson
1.8,7.5,6.0,22,13,166,0,0.0006077600019534212,Porter Rooks
0.7,12.9,2.0,8,5,103,1,0.0006064654836337811,Brandon Buckhaulter
0.0,0.0,0.0,0,19,161,1,0.0006063541038886851,Isaiah Davis
0.0,0.0,0.0,0,9,74,2,0.0006058341850245284,Khatib Lyles
1.4,5.2,4.7,17,11,89,2,0.0006018976351633685,Aaron Turner
1.3,4.9,3.0,10,5,49,1,0.0006014677291125206,Jaden Walley
0.5,75.3,9.8,4,28,301,3,0.000600502284268315,Kenneth Odom
1.0,8.3,1.9,11,6,91,1,0.0005999498805585373,Marcus Sanders
1.3,7.1,4.4,14,9,100,1,0.0005988574938590655,Nick Rempert
0.6,25.8,9.6,5,12,129,2,0.0005988533546099733,Jackson Hensley
1.3,10.5,4.3,17,13,178,0,0.0005985944864108847,Xavier Johnson
1.8,5.0,5.2,21,10,104,1,0.0005977494332677043,BJ Alexander
0.5,13.3,1.6,6,6,80,2,0.0005970244782475768,Cooper Rusk
0.9,9.0,2.3,9,5,81,1,0.0005955751448459963,Tyshawn Russell
2.0,4.4,4.6,20,6,87,0,0.0005954936768989528,Destyn Hill
1.6,6.0,6.1,21,11,126,1,0.000593303755850637,Sterling Galban
2.1,4.8,7.9,29,12,138,1,0.0005919496114150411,Jaden Dottin
0.0,0.0,0.0,0,1,53,1,0.0005919128498564959,Jig Williams
4.4,4.6,16.5,57,30,260,0,0.0005915846869252137,Sahmir Hagans
4.3,5.1,15.6,52,35,267,0,0.0005911426951081699,John Jackson
1.0,8.4,2.2,11,7,92,1,0.0005863636191072617,Tim Grear
1.5,4.3,1.7,6,4,26,0,0.0005856800437307501,Javon Swinton
1.5,4.3,1.7,6,4,26,0,0.0005856800437307501,Von Swinton
1.5,2.8,1.8,6,3,17,0,0.0005856074688833892,Cortez Braham
0.7,11.5,2.0,8,5,92,1,0.0005845866316309538,Malachi Holt-Bennett
0.8,11.3,2.6,10,8,113,1,0.0005845494265844495,Jeremiah Noga
2.2,4.8,9.7,28,9,134,0,0.0005841602107971592,Miles Marshall
2.4,2.7,5.2,19,13,52,1,0.0005838593505057206,Jordan Bly
4.0,4.8,14.1,52,28,247,0,0.0005837693716548063,Keyon Lesane
0.3,183.7,8.3,3,35,551,4,0.000583678327857308,Jalen Kelsey
2.2,6.3,6.9,24,16,152,0,0.00058194102713129,Shawn Harris
2.6,3.9,8.8,31,15,122,1,0.0005805115418154774,Kenny Johnson
1.0,5.0,1.8,7,3,35,1,0.0005795505388376617,Kylish Hicks
0.9,11.2,1.7,6,6,67,1,0.0005784207083269949,Kaydin Pope
0.8,11.6,1.4,5,4,58,1,0.0005778758938492922,Jaylon Griffin
0.0,0.0,0.0,0,1,47,1,0.000575717562338456,Tyler Smith
0.8,11.0,1.3,4,3,44,1,0.0005754039070798378,Jostein Clarke
1.4,5.0,2.0,10,3,50,0,0.0005753552921158086,Xavier Irvin
1.3,-0.5,0.9,4,1,-2,0,0.000575245953590085,Kaleb Black
1.3,5.5,1.2,4,3,22,0,0.0005738330659675506,Joseph Walker Jr.
1.3,1.6,1.5,5,1,8,0,0.0005734492293647224,Jeremiah Aaron
1.3,7.8,1.9,8,5,62,0,0.0005720364209516371,Otto Tia
1.3,3.4,1.4,5,2,17,0,0.0005717879037769921,Justin Kimber
1.4,7.2,8.6,14,7,101,0,0.0005716828884064958,Tobi Olawole
1.0,20.0,9.6,5,6,100,0,0.0005712204110757499,Bryant Johnson
1.3,4.5,0.7,4,3,18,0,0.0005691391840811463,Ze'Vian Capers
3.2,4.2,12.3,48,20,203,1,0.0005689848134368307,Kordell David
0.3,93.0,5.6,2,13,186,5,0.0005688221590206069,Jamarien Dalton
1.0,-1.0,0.2,1,1,-1,0,0.0005668413991256665,Drayden Dickmann
1.0,-1.0,0.2,1,1,-1,0,0.0005668413991256665,Nathan Roberts
1.5,5.8,3.6,18,11,105,1,0.0005663979778054502,Blake Nowell
1.5,5.1,3.4,18,9,92,1,0.0005663049149964531,Chuuky Hines
0.8,19.5,5.6,6,11,117,1,0.0005656990003508548,Aaron Blancas
2.4,3.9,9.7,29,14,114,1,0.0005648313768033584,Josh Nicholson
1.3,3.5,1.0,4,3,14,0,0.0005643053284988589,Jordan Anthony
1.0,9.3,1.4,6,2,56,0,0.0005629150614498479,Solo Lewis
0.5,70.8,9.4,5,30,354,1,0.0005627594107391777,Michael Fox
1.1,8.2,12.9,13,5,106,0,0.0005623711907531828,Wyatt Wilson
1.3,6.0,4.3,15,9,90,1,0.0005622609831193999,Tyquan Henderson
1.0,11.9,3.1,14,12,167,0,0.0005621804537528465,Peyton Higgins
1.3,4.0,1.1,5,3,20,0,0.0005613272266075868,Christian Hamilton
0.7,6.5,0.5,2,1,13,1,0.0005611390722168176,Raymond Cottrell
0.7,11.5,0.4,2,1,23,1,0.0005588190302968189,Joey Bruszer
2.4,4.9,7.0,29,14,143,0,0.0005579241654881905,Talik Keaton
1.0,2.0,0.2,1,1,2,0,0.0005576316334114006,Luke Bennett
2.0,3.9,4.5,18,8,71,0,0.0005575714166490305,Joshua Cobbs
1.3,5.3,0.8,4,4,21,0,0.0005575131203347629,Darrian Anderson
1.5,7.2,2.8,12,9,86,0,0.0005560118059573829,Chris Dawn Jr.
0.9,11.3,2.6,12,8,136,0,0.0005556173764574341,Johntay Cook
0.5,56.8,12.8,5,34,284,3,0.0005545516143838681,Dacarri Allen-Johnson
0.0,0.0,0.0,0,4,56,1,0.0005544744281627027,Chris Houston
1.2,5.9,3.6,15,8,88,1,0.0005523788018131159,Taji Hudson
1.0,4.4,1.8,8,4,35,1,0.000552220381257547,Anthony Evans
2.1,4.9,7.8,25,11,122,0,0.000549665532239966,Braylin Presley
1.0,5.0,0.2,1,1,5,0,0.0005485714213968864,Troy Lewis
1.0,2.5,0.6,2,1,5,0,0.0005469826309045425,Jalen Rogers
1.0,3.0,0.5,2,1,6,0,0.0005467754926114773,David Wells Jr.
1.0,5.0,0.5,2,1,10,0,0.0005458614692341357,Jamai East
1.0,6.0,0.2,1,1,6,0,0.0005455841644531125,Antoine Sullivan
1.3,7.8,4.2,15,9,117,0,0.0005452911052926744,Bryce Bohanon
1.2,4.7,3.7,15,6,71,1,0.0005448431152281061,Malik McClain
1.0,8.5,0.6,2,1,17,0,0.0005442441030410137,Shatavious Hogan
1.0,7.0,0.3,1,1,7,0,0.000542591732737874,Arhmad Branch
1.2,8.5,3.4,14,9,119,0,0.0005421833286700817,Ashton Hollins
0.7,16.6,1.6,7,6,116,0,0.0005417353192125778,C.J. Smith
2.1,3.9,7.1,21,9,81,0,0.0005417000683677314,Malcolm Gillie
0.6,20.0,0.7,3,3,60,1,0.0005413898448975717,Vandrevius Jacobs
1.0,5.0,0.9,4,1,20,0,0.0005405243391699587,Zeed Haynes
1.4,5.7,4.2,18,11,102,1,0.0005391660530014498,David Amador
0.5,10.4,1.2,5,2,52,1,0.0005381215360806633,Jeremiah Webb
1.5,5.5,5.7,18,12,99,1,0.0005377241816298433,Thomas Pannunzio
2.3,3.6,8.0,27,14,98,1,0.0005369876215722709,Antonio Harmon
1.3,3.9,4.3,15,6,58,1,0.0005361378556836116,Bud Tolbert
0.7,30.0,0.5,2,2,60,1,0.0005358779265306887,Jonah Wilson
0.8,18.8,11.1,4,8,75,1,0.0005358554499166584,Christian Da-Silva
2.7,4.2,7.6,32,15,133,0,0.0005354263260354776,Giovanni Sanders
1.2,8.5,3.0,13,9,110,0,0.000534910982767095,Jonah Burton
1.0,10.0,1.1,4,3,40,0,0.000534701483172151,Raymond Niro
0.9,4.1,1.9,7,4,29,1,0.0005343063116346609,Trayv'on Culbert
1.3,5.4,2.6,10,5,54,0,0.0005339122998707169,Jaden Gibson
1.0,10.0,0.4,1,1,10,0,0.0005337546692649571,Dylan Braithwaite
1.2,4.1,1.8,7,3,29,0,0.0005330174959091172,Andrew Sowinski
1.1,8.3,2.6,9,6,75,0,0.0005323444096887585,Davis Dalton
1.0,5.5,0.6,2,2,11,0,0.0005313937226146882,Cole Adams
0.6,15.0,0.9,3,3,45,1,0.0005311920861489066,Deion Colzie
1.0,6.0,0.9,3,2,18,0,0.0005309970979301297,Nate Burleson II
1.0,7.5,0.4,2,2,15,0,0.0005305473113959005,Artis Cole
1.0,9.5,0.6,2,2,19,0,0.0005296185589919876,Sean Brown
1.4,3.1,3.2,11,3,34,0,0.0005293973090462934,Terry Lockett
1.0,7.3,2.8,11,4,80,0,0.0005290820507958871,Ayden Williams
1.0,4.8,2.3,8,6,38,1,0.0005288893839154337,Mehki Wall
1.0,12.0,0.2,1,1,12,0,0.0005279989709158189,Keontez Lewis
1.8,5.1,4.7,20,10,101,0,0.0005279835954870969,Brian Hightower
0.9,4.1,3.3,11,3,45,1,0.0005279436647814453,Jordan Mosley
0.8,7.6,1.9,11,2,84,0,0.0005271210782486686,Joshua Thompson
2.0,5.1,3.6,20,13,102,0,0.000527030508000229,Blaine Green
2.4,4.8,6.7,31,15,148,0,0.0005264512822680613,CJ Williams
0.9,11.0,1.8,8,6,88,0,0.0005264179478502467,Makai Lemon
1.0,3.3,0.6,3,2,10,0,0.0005259001885890846,DJ Allen
1.0,13.0,0.3,1,1,13,0,0.0005251029401721954,Jacoby Bellazar
2.8,4.2,8.1,34,17,144,0,0.000523840477866698,Bobby Golden
1.5,7.1,4.4,16,12,114,0,0.0005230146026490246,Evan Prater
1.2,6.9,1.4,7,6,48,0,0.000522757375985139,Ian Stewart
1.5,3.7,4.3,18,8,66,1,0.0005227368802498924,Myles Walker
0.9,7.2,1.4,6,2,43,0,0.0005221848113623408,Julien Lewis
1.0,9.5,1.5,6,5,57,0,0.0005213824467027902,Jordan Smith
0.0,0.0,0.0,0,8,95,0,0.0005207948282811756,Cornell Hendrick Jr.
0.0,0.0,0.0,0,8,95,0,0.0005207948282811756,Cornell Hendrick
0.9,7.0,4.1,12,3,84,0,0.0005203115936238022,Kylen Austin
0.0,0.0,0.0,0,3,66,0,0.000519716706991275,Derrick White
1.3,6.5,3.9,15,8,98,0,0.0005196198975036094,Donovan Faupel
0.0,0.0,0.0,0,6,53,1,0.0005187076025003068,Claude Coleman
0.9,7.7,1.6,7,3,54,0,0.0005177050411215865,JoVoni Johnson-McCray
1.0,3.0,0.9,4,2,12,0,0.0005176567847853724,Willie Gaines
1.1,3.4,3.3,12,5,41,1,0.000517566684434088,Andison Coby
1.3,5.6,5.2,16,6,89,0,0.0005153775455192662,Malcolm Johnson
0.8,5.6,2.6,10,5,56,1,0.0005149002875178088,Kevens Clercius
1.3,4.2,3.8,12,4,50,0,0.000514842059270572,Jalen McGaughy
1.3,4.2,3.8,12,4,50,0,0.000514842059270572,Jalen McGaughy
4.1,5.2,14.7,53,38,276,0,0.0005146607673639753,Jacari Carter
1.8,2.1,4.7,20,7,42,1,0.0005144507542522534,Jay Rockwell
1.2,7.3,2.8,12,8,87,0,0.0005140330915012682,Mavin Anderson
1.0,8.8,4.1,12,8,106,0,0.0005139645936634646,Alex Brown
1.2,6.4,3.6,17,12,108,1,0.0005129333846608424,Michael Hetzel
1.0,5.0,1.3,4,3,20,0,0.0005126393369310533,Mycah Pittman
2.0,3.8,13.6,22,9,83,0,0.0005119737670376509,Ay'Jaun Marshall
0.3,19.3,0.8,3,1,58,1,0.0005109122204913703,Brandon Innis
0.5,82.2,15.2,5,34,411,0,0.000510895568041604,Logan Wolf
1.5,7.7,4.8,18,15,139,0,0.0005097286671055277,Dimitri Stanley
0.8,16.0,0.9,4,4,64,0,0.0005095371536327031,Trech Kekahuna
0.3,106.7,7.3,3,24,320,3,0.0005083573257801229,Jamari Gassett
0.3,18.0,0.7,3,1,54,1,0.0005081878499014462,Omarion Dollison
0.9,5.1,2.7,11,6,56,1,0.000508157663182867,Kaden Saunders
1.0,4.7,5.2,10,7,47,1,0.0005077278841901509,Camari Williams
1.0,3.5,1.6,6,2,21,0,0.0005076040627971513,James Burns
1.0,19.0,3.7,1,1,19,0,0.0005074955009608143,Jamal Glaspie
1.2,5.9,4.5,16,6,94,0,0.0005072968265296764,Dontae Fleming
1.5,3.4,3.5,15,10,51,1,0.0005047744080142774,Kalani Norris
0.0,0.0,0.0,0,5,71,0,0.000504513282720741,Dequan Stanley
0.8,4.7,0.9,3,1,14,0,0.0005044285508095334,Israel Polk
1.2,2.9,4.0,15,5,44,1,0.0005027477993814807,Anthony Brown
1.0,21.0,0.2,1,1,21,0,0.0005026776732678846,Langston Anderson
0.5,4.8,1.4,5,2,24,1,0.0005001994370037656,Tavion Smith
1.2,6.6,2.5,11,8,73,0,0.0004990382991111619,Jordan Nabors
1.6,6.2,5.2,21,13,130,0,0.0004988738801481133,Liam Clifford
0.0,0.0,0.0,0,4,33,1,0.0004985328022834267,Jasiah Provillon
0.0,0.0,0.0,0,2,21,1,0.0004971992315539767,Jaycob Horn
1.1,3.4,2.9,13,6,44,1,0.0004971089698510611,Kaylon Horton
1.1,7.8,3.1,12,9,94,0,0.0004961682857622447,Suderian Harrison
0.3,8.5,1.4,4,1,34,1,0.0004956864511511095,Reginald Virgil
1.5,5.4,4.7,18,10,98,0,0.0004925281457211391,JR Wilson
0.5,33.3,10.0,3,7,100,1,0.0004925065394984444,JR Waters
0.4,37.0,50.0,4,11,148,1,0.000492059162187021,Taymon Cooke
1.7,4.8,7.1,22,10,105,0,0.0004915460335471581,Camden Brown
0.8,4.7,0.7,3,2,14,0,0.0004913220893896815,Kahanu Davis
0.7,2.0,0.4,2,1,4,0,0.0004909738419759152,Tyler Williams
0.7,2.0,0.5,2,1,4,0,0.0004909544476077747,Elijah Canion
0.7,3.5,0.6,2,1,7,0,0.0004903193832059239,Roger Walters
1.6,5.6,4.2,18,12,101,0,0.0004902762713595705,Sean Shaw
1.8,4.7,6.1,23,11,108,0,0.000490118307338932,Chase Hendricks
0.9,8.2,2.5,11,7,90,0,0.0004893296688827998,Armani Winfield
0.8,10.8,2.0,9,8,97,0,0.0004891702941707855,Kevin Green
0.4,8.8,1.1,4,3,35,1,0.0004883465398983724,Branden Alvarez
5.6,3.3,22.9,78,31,255,0,0.0004882986967960005,Nico Ragaini
1.2,4.7,2.8,15,5,71,0,0.00048778515356279125,Karsyn Pupunu
0.7,9.9,2.1,8,5,79,0,0.0004876065514442583,Aidan Bitter
0.0,0.0,0.0,0,1,11,1,0.00048743405870796565,James Sowards
0.4,7.6,1.2,5,3,38,1,0.0004873610780934918,Seth Porter
0.3,2.0,0.6,2,1,4,1,0.000487356791715973,Karmello English
0.7,12.0,0.5,2,1,24,0,0.00048686436271152834,Tre Spivey
0.8,1.7,0.6,3,2,5,0,0.0004857901344362285,Robert Smith
0.8,10.0,1.1,4,4,40,0,0.0004844207964818227,Chauncey Magwood
0.8,5.5,3.7,11,7,60,1,0.0004840937514402808,Darrell Gill Jr.
0.9,2.8,1.3,6,2,17,0,0.00048405950702513326,Andre Greene
1.4,7.5,5.7,18,15,135,0,0.0004834115105969047,Kendrick Law
0.3,17.7,0.6,3,3,53,1,0.0004812953898439666,Josh Meredith
0.4,4.6,1.2,5,2,23,1,0.0004812097443477626,Maxwell Moss
0.7,6.4,2.3,7,2,45,0,0.0004804279913687508,Omari Kelly
0.8,9.0,0.9,4,4,36,0,0.00048040100878548247,Winston Wright
0.3,19.5,0.6,2,1,39,1,0.0004802737703404253,Jake McConnachie
1.9,4.6,4.9,19,14,88,0,0.0004793467840953769,Jehlani Galloway
1.2,7.4,4.3,16,12,119,0,0.0004787691209052401,Matthew Coleman
0.4,6.2,1.7,5,3,31,1,0.00047845275653219543,Gunner Gentry
0.5,-3.0,0.3,1,1,-3,0,0.0004782287502431539,Zion Fowler-El
1.3,5.5,3.1,13,9,71,0,0.0004773029376968603,Adrian Norton
0.3,10.3,1.3,4,3,41,1,0.0004769387693877728,Kendall Long
1.4,5.5,3.9,18,10,99,0,0.00047690036246033615,Vinny Anthony
0.7,5.5,0.4,2,2,11,0,0.00047678093612903697,Josiah Zamora
1.5,5.5,5.0,20,11,109,0,0.0004767417722557636,Ryan Cragun
0.9,7.6,1.4,7,6,53,0,0.0004765883057814904,Cameron Johnson
1.0,4.5,2.3,10,4,45,0,0.0004761294869036029,Tyler Harrell
1.0,7.3,2.8,11,8,80,0,0.00047604992303403076,Timothy Conerly
0.5,-2.0,0.3,1,1,-2,0,0.00047562436347101957,Jordan Napier
0.0,0.0,0.0,0,2,41,0,0.0004753667578214305,Larry Wright
1.4,3.6,2.6,11,8,40,0,0.0004746854058751583,Adrian Murdaugh
1.0,3.3,2.8,9,3,30,0,0.00047465693521159697,Ja'Corey Brooks
0.7,12.0,0.7,2,2,24,0,0.00047413912526755685,Famah Toure
0.4,18.0,1.1,5,4,90,0,0.00047381876985597686,Malachi Riley
0.9,6.0,1.8,7,5,42,0,0.00047256280859014584,Jaron Tibbs
0.7,7.4,1.3,5,3,37,0,0.00047224509530674355,DeAngelo Irvin Jr.
0.9,6.0,2.8,9,5,54,0,0.00047217790319553464,Horatio Fields
0.6,7.1,1.9,7,2,50,0,0.0004709353591840698,Donovan Ollie
0.6,50.8,12.8,5,23,254,0,0.00047079579262297017,Daveno Ellington
0.4,4.3,0.9,4,3,17,1,0.0004702437828016257,Bryce Bailey
1.2,4.4,3.3,14,6,62,0,0.0004699538724345573,Shane Johnson
0.6,11.0,0.8,3,2,33,0,0.0004682643050685478,Bralon Brown
0.2,12.3,0.9,3,2,37,1,0.0004673433590339846,Jaylon Tillman
0.7,6.8,1.0,4,3,27,0,0.000466557206744558,Allan Houston
0.6,5.3,1.4,6,1,32,0,0.00046600512976528865,Matt Sykes
0.7,6.5,1.1,4,3,26,0,0.00046579350771491334,Kaleb Carter
0.9,5.2,1.1,6,5,31,0,0.0004657290272301897,KD Dorsey
0.2,13.5,0.5,2,1,27,1,0.00046555917300515213,De'Andre Coleman
0.5,2.0,0.2,1,1,2,0,0.00046536619603792774,De'Corian Clark
0.3,14.0,0.3,1,1,14,1,0.0004651185091678578,Davion Dozier
0.6,15.7,0.7,3,3,47,0,0.0004640562499592158,Keyshawn Woodyard
0.6,1.3,0.6,3,1,4,0,0.0004637011497365802,Marvin Sims
1.1,4.2,3.2,10,6,42,0,0.0004630575235604782,Randy Fields
0.5,3.0,0.2,1,1,3,0,0.00046283182503577605,Keaton Cheves
1.3,5.8,2.7,12,11,70,0,0.00046210993550380354,Jaquaize Pettaway
0.4,12.0,3.1,5,2,60,0,0.0004615684288955721,Liam Fortner
2.6,4.0,7.1,31,19,125,0,0.0004614819462618623,Javonte Sherman
2.3,4.9,7.3,28,20,137,0,0.00045930253756644234,Jhari Patterson
0.9,2.0,2.2,8,2,16,0,0.0004591539965744399,Artez Hooker
1.5,4.7,5.8,20,10,93,0,0.00045812647097927354,Jamarye Joiner
0.0,0.0,0.0,0,2,33,0,0.0004581023705830288,Terrence Horne
1.8,3.3,6.4,20,10,66,0,0.0004570084452186354,Stephan Bracey
0.6,8.1,2.3,7,4,57,0,0.000456703824151394,Koy Moore
0.5,3.5,0.5,2,1,7,0,0.00045611465259587516,Dayton Sneed
0.2,6.5,0.6,2,2,13,1,0.000456071512449882,Peyton O'Leary
0.9,2.3,2.6,9,2,21,0,0.0004554873278175667,Brandon Hayes
0.5,5.5,0.5,2,1,11,0,0.00045535211437906765,Jacob Gill
0.8,14.0,4.7,5,9,70,0,0.0004548341881116324,Shane Dailey
0.5,7.0,0.6,2,1,14,0,0.0004547630817168726,Marshaun Brown
1.0,3.3,2.6,8,5,26,0,0.0004545542814615779,Malik Baker
0.9,7.0,2.7,11,8,77,0,0.0004542004325322846,Keegan Jones
0.5,7.0,0.3,1,1,7,0,0.00045281366198285394,Elijah Downing
0.5,10.0,6.7,2,1,20,0,0.00045253133600816654,C.J. Guidry
0.0,0.0,0.0,0,5,47,0,0.000451517221768878,Javaughn Williams
0.0,0.0,0.0,0,5,47,0,0.000451517221768878,Javaughn Williams
1.2,4.6,3.4,14,8,65,0,0.0004510770793815985,Hank Beatty
0.5,10.7,0.8,3,2,32,0,0.00045090538818525215,Chris Scott
0.5,3.3,3.0,3,1,10,0,0.00045019950289483074,Quin Smith
0.5,13.2,1.3,5,5,66,0,0.0004494130543973336,Trent Walker
0.5,2.7,0.6,3,1,8,0,0.0004491879668955948,Jamari Person
0.4,12.0,1.0,3,1,36,0,0.0004488975046721227,Errol Rogers
0.3,83.0,4.9,2,12,166,3,0.0004475758193273217,Brenen Hawkins
0.6,2.0,1.1,5,1,10,0,0.00044756309816782516,Tyree Kelly
0.7,4.4,2.3,7,3,31,0,0.00044751129038277755,Tanaka Scott
0.7,4.0,1.5,6,3,24,0,0.00044748252562807597,Zyell Griffin
0.5,1.7,0.7,3,1,5,0,0.00044747211075524897,Jaylen Ward
0.1,8.0,0.2,1,1,8,1,0.0004470827159742057,Denzil Alleyne
0.7,3.7,1.6,6,3,22,0,0.00044468888055155403,Kamryn Perry
0.7,2.2,1.6,6,2,13,0,0.00044465133428283737,Ethan Davies
0.7,6.5,1.6,6,5,39,0,0.00044360586622322945,Tennel Bryant
0.6,8.0,2.0,7,5,56,0,0.0004432487980380022,Ayden Greene
0.5,11.0,0.3,1,1,11,0,0.0004430297509276475,Cataurus Hicks
0.9,3.5,2.3,10,4,35,0,0.0004429051298529043,Cameron Bonner
0.7,2.4,2.2,8,1,19,0,0.0004428704058803728,Eric Holley III
1.2,3.1,3.1,13,6,40,0,0.0004423252694573626,Caleb Anderson
0.7,4.4,1.3,5,4,22,0,0.0004422975970788274,Jarett Garner
0.5,2.5,1.3,4,1,10,0,0.00044163099731111996,Jyaire Shorter
0.8,7.3,2.4,10,8,73,0,0.00044094185762915864,Yamir Knight
0.5,13.5,0.5,2,2,27,0,0.0004405268810634194,Robby Washington
1.1,4.2,2.8,13,7,55,0,0.0004404740288643483,Shaleak Knotts
0.6,3.5,2.3,8,1,28,0,0.00044035700792525035,Jordan McCants
0.5,1.8,1.0,4,1,7,0,0.0004386842236693588,Dakota Twitty
0.7,5.8,1.4,6,5,35,0,0.0004385955890875633,Bryan Robinson
0.7,2.8,1.4,6,3,17,0,0.0004385215281697491,Kellen Stewart
0.7,6.8,2.9,9,6,61,0,0.0004382801103100812,Douglas Emilien
0.0,0.0,0.0,0,3,29,0,0.0004379867786762474,Caleb Ogunmola
0.4,5.8,0.9,4,1,23,0,0.0004375935349692175,Deuce Spann
0.7,3.9,2.6,8,3,31,0,0.0004373220462873178,Sean Brown
0.6,0.0,1.1,4,2,0,0,0.00043672071241064445,Rodney Harris
0.7,6.8,1.6,8,6,54,0,0.0004365737501936705,Dawson Menegatti
0.6,3.2,1.6,6,2,19,0,0.00043649371880592823,Anthony Smith
0.5,4.0,1.3,4,2,16,0,0.00043558327745274033,Jack Reynolds
0.6,6.0,1.4,6,4,36,0,0.00043546505920053364,Andre Johnson
1.1,4.0,3.1,13,7,52,0,0.00043523099540231775,Chris Carpenter
0.4,3.7,0.8,3,1,11,0,0.00043483772062534394,Nate Johnson
0.6,4.7,1.6,7,3,33,0,0.0004344253501921738,LV Bunkley-Shelton
0.6,1.6,1.4,5,2,8,0,0.0004335805531480957,Max Reese
0.8,3.1,1.7,8,4,25,0,0.0004331646627379523,Brannon Spector
0.4,9.3,0.7,3,2,28,0,0.000433001767360632,Carter Campbell
0.3,2.0,0.3,1,1,2,0,0.00043286724627868384,Reed Harris
0.5,6.2,1.2,5,3,31,0,0.0004324817990420596,Marquis Montgomery
0.4,10.5,1.1,4,3,42,0,0.0004321875093022105,Adam Beale
1.0,2.1,3.1,12,3,25,0,0.0004316379898901049,Brock Spalding
0.5,6.0,1.7,6,3,36,0,0.00043117993635769403,Trent Whittemore
0.8,5.3,3.2,11,6,58,0,0.00043020405352349277,Da'Wain Lofton
0.5,5.8,1.9,6,3,35,0,0.0004300231986291191,Kenny Brewer III
0.7,0.3,2.2,7,1,2,0,0.00043000558374553467,Emery Simmons
0.4,6.8,1.0,4,2,27,0,0.00042977255833281117,Matthew McCallister
0.4,7.3,0.7,3,2,22,0,0.00042973392894308116,Ezavier Staples
0.5,4.3,0.9,3,3,13,0,0.0004290161087309617,Malik Bowen-Sims
1.1,3.7,4.4,13,7,48,0,0.0004283289000813519,Nick Presley
0.3,4.0,0.2,1,1,4,0,0.00042818207712586357,Marcello Bussey
0.5,3.4,1.2,5,2,17,0,0.00042813768192566544,Decoldest Crawford
1.6,3.5,6.3,21,10,74,0,0.00042812218005788984,Rodney Gallagher
0.6,6.4,1.5,8,5,51,0,0.00042811301729061375,Denzel Boston
0.6,5.4,2.2,8,4,43,0,0.0004277795239452506,Peter Kikwata
0.7,4.0,2.1,8,4,32,0,0.00042755212720544376,Calvin Johnson
0.4,6.0,0.5,2,2,12,0,0.0004275488701505232,Greg Gaines
0.6,3.9,1.9,7,3,27,0,0.000425909760147216,Alante Brown
0.3,5.0,0.2,1,1,5,0,0.00042585012349612627,Andrew Maleski
0.3,7.7,0.7,3,1,23,0,0.0004258068620197006,Jackson Meeks
0.3,-0.5,0.4,2,1,-1,0,0.00042571732755350113,Caleb Goodie
0.6,0.2,1.7,6,1,1,0,0.00042502947568867313,Shea Whiting
0.3,2.0,0.5,2,1,4,0,0.0004248110543965171,Donnie Gray
0.4,14.5,0.6,2,2,29,0,0.00042450243081450375,Matt Salerno
0.3,3.5,0.5,2,1,7,0,0.00042427827304294724,Braden Pegan
0.3,4.0,0.6,2,1,8,0,0.00042408407384212943,Keyshaun Pipkin
0.4,8.3,1.1,4,3,33,0,0.0004238704142982206,Darrius Clemons
0.3,5.0,0.4,2,1,10,0,0.0004237629001377022,Cale Cabbiness
0.4,5.0,1.1,4,2,20,0,0.0004236889194732388,Daniel Blood
0.3,6.0,0.3,1,1,6,0,0.0004235141333322719,Jacob Godfrey
0.4,3.3,0.8,3,2,10,0,0.0004232553001210881,Cam Thompson
0.7,1.6,2.1,8,2,13,0,0.0004229405404144996,PJ Johnson
0.4,3.2,1.0,5,1,16,0,0.00042290428297592843,Dane Olson
0.3,8.0,0.5,2,1,16,0,0.0004226839330980818,Xavier Loyd
0.4,4.8,1.0,4,2,19,0,0.00042260235175099856,Micah Tease
0.4,4.8,1.3,4,2,19,0,0.00042255226959678893,Javorian Wimberly
0.3,7.0,0.3,1,1,7,0,0.00042120759141887014,Jamarien Wheeler
0.5,3.2,1.6,6,2,19,0,0.0004209845958051601,Ross Fournet
0.8,2.7,1.7,9,4,24,0,0.0004209740653444014,Tamatoa Mokiao-Atimalala
0.6,5.4,1.1,5,5,27,0,0.0004209499123869071,AJ Jones
0.4,4.3,0.9,4,2,17,0,0.0004208451875850992,Hamp Greene
