Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Kris Abrams-Draine,CB,Missouri,College Stats,11-May,179,4.44,33.5,,,,,
Isaiah Adams,G,Illinois,College Stats,4-Jun,315,5.22,24.5,,102,7.77,4.73,
Rasheen Ali,RB,Marshall,College Stats,11-May,206,,,,,,,
Erick All,TE,Iowa,College Stats,4-Jun,252,,,,,,,
Braelon Allen,RB,Wisconsin,College Stats,1-Jun,235,,32,26,117,,,
Joe Alt,OT,Notre Dame,College Stats,9-Jun,321,5.05,28,,112,7.31,4.51,
Kiran Amegadjie,OT,Yale,,5-Jun,323,,,,,,,
Daijahn Anthony,SAF,Mississippi,College Stats,Jun-00,195,4.55,37,,116,,,
Terrion Arnold,CB,Alabama,College Stats,Jun-00,189,4.5,37,,129,,,
Gottlieb Ayedze,G,Maryland,College Stats,4-Jun,308,5.01,26.5,,112,,,
Emani Bailey,RB,TCU,College Stats,7-May,202,4.61,33.5,,116,,,
Javon Baker,WR,Central Florida,College Stats,1-Jun,202,4.54,37,,121,,,
AJ Barner,TE,Michigan,College Stats,6-Jun,251,,,,,,,
Karsen Barnhart,G,Michigan,College Stats,5-Jun,306,5.21,29.5,,111,7.83,4.7,
Michael Barrett,LB,Michigan,College Stats,11-May,233,,,,,,,
Graham Barton,C,Duke,College Stats,5-Jun,313,,,,,,,
Cooper Beebe,G,Kansas St.,College Stats,3-Jun,322,5.03,27.5,,109,7.44,4.61,
Jaheim Bell,TE,Florida St.,College Stats,2-Jun,241,4.61,35,,124,,,
Trey Benson,RB,Florida St.,College Stats,Jun-00,216,4.39,33.5,,122,,,
JD Bertrand,LB,Notre Dame,College Stats,1-Jun,235,,,20,,,,
Tatum Bethune,LB,Florida St.,College Stats,Jun-00,229,,,16,,,,
Keaton Bills,G,Utah,College Stats,5-Jun,321,5.38,29.5,,101,7.95,4.9,
Cole Bishop,SAF,Utah,College Stats,2-Jun,206,4.45,39,,124,,,
Austin Booker,EDGE,Kansas,College Stats,5-Jun,240,4.79,32.5,,120,,,
Tanor Bortolini,C,Wisconsin,,4-Jun,303,4.94,32.5,,112,7.16,4.28,
Brock Bowers,TE,Georgia,College Stats,3-Jun,243,,,,,,,
Beau Brade,SAF,Maryland,College Stats,Jun-00,203,,,,,,,
Millard Bradford,SAF,TCU,,11-May,191,4.42,38.5,15,124,,,
Chris Braswell,EDGE,Alabama,College Stats,3-Jun,251,4.6,33.5,,115,,,
Jonathon Brooks,RB,Texas,College Stats,Jun-00,216,,,,,,,
Jarvis Brownlee,CB,Louisville,College Stats,10-May,194,,,,,,,
Javon Bullard,SAF,Georgia,College Stats,11-May,198,4.47,,,,,,
Calen Bullock,SAF,USC,College Stats,2-Jun,188,4.48,,,,,,
Jermaine Burton,WR,Alabama,College Stats,Jun-00,196,4.45,38.5,,133,,,
Solomon Byrd,EDGE,USC,College Stats,3-Jun,255,,,,,,,
Jaylon Carlies,SAF,Missouri,College Stats,3-Jun,227,4.5,32.5,20,125,,,
Caelen Carson,CB,Wake Forest,College Stats,Jun-00,199,,,,,,,
DeWayne Carter,DT,Duke,College Stats,2-Jun,302,4.99,32,,109,7.95,4.75,
Aaron Casey,LB,Indiana,College Stats,1-Jun,231,4.75,30,16,117,,,
