Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Nelson Ceaser,EDGE,Houston,College Stats,3-Jun,254,,31,22,,7.3,4.57,
Steele Chambers,LB,Ohio St.,College Stats,1-Jun,226,,33.5,,112,7.13,4.23,
Javion Cohen,G,Miami,College Stats,4-Jun,324,,26.5,,104,,,
Andrew Coker,OT,TCU,College Stats,7-Jun,315,5.36,25.5,,94,7.95,4.93,
Jalen Coker,WR,Holy Cross,,1-Jun,208,4.57,42.5,,128,,,
Myles Cole,DE,Texas Tech,College Stats,6-Jun,278,4.67,35,,120,,,
Brandon Coleman,G,TCU,College Stats,5-Jun,313,4.99,34,,114,,,
Keon Coleman,WR,Florida St.,College Stats,3-Jun,213,4.61,38,,127,,,
Junior Colson,LB,Michigan,College Stats,2-Jun,238,,,,,,,
Edgerrin Cooper,LB,Texas A&M,College Stats,2-Jun,230,4.51,34.5,,118,,,
Ryan Cooper,CB,Oregon St.,College Stats,11-May,184,,,,,,,
Malachi Corley,WR,Western Kentucky,College Stats,11-May,215,,,,,,,
Blake Corum,RB,Michigan,College Stats,8-May,205,4.53,35.5,27,,6.82,4.12,
Jacob Cowing,WR,Arizona,College Stats,8-May,168,4.38,36,,119,7.02,4.32,
Frank Crum,OT,Wyoming,College Stats,8-Jun,313,4.94,31.5,,114,7.39,4.73,
Jaden Crumedy,DT,Mississippi St.,College Stats,4-Jun,301,4.97,29.5,,105,,4.66,
Devin Culp,TE,Washington,College Stats,3-Jun,231,4.47,,,,,,
Jayden Daniels,QB,LSU,College Stats,4-Jun,210,,,,,,,
Anim Dankwah,OT,Howard,,8-Jun,353,,27.5,,,,,
Isaiah Davis,RB,South Dakota St.,,Jun-00,218,4.57,34.5,23,119,,,
Re'Mahn Davis,RB,Kentucky,College Stats,8-May,211,4.52,35,,119,,4.51,
Tyler Davis,DT,Clemson,College Stats,2-Jun,301,5.02,28.5,29,108,,5,
Cooper DeJean,CB,Iowa,College Stats,1-Jun,203,,,,,,,
Kalen DeLoach,LB,Florida St.,College Stats,Jun-00,210,4.47,30.5,,119,,,
Marlon Devonshire,CB,Pittsburgh,,11-May,186,4.45,38.5,,124,7.12,4.35,
Marcellas Dial,CB,South Carolina,College Stats,Jun-00,190,4.46,40.5,,129,,,
John Dixon,CB,Penn St.,,11-May,188,,,,,,,
Brandon Dorlus,DE,Oregon,College Stats,3-Jun,283,4.85,30.5,,111,7.43,4.85,
Willie Drew,CB,Virginia St.,,Jun-00,191,4.46,,13,,,,
Ethan Driskell,OT,Marshall,College Stats,8-Jun,313,,,,,,,
Khalid Duke,EDGE,Kansas St.,College Stats,3-Jun,246,4.79,34,21,117,,,
Justin Eboigbe,DT,Alabama,College Stats,4-Jun,297,5.18,28,,,,,
Sevarian Edwards,RB,Georgia,,10-May,207,,,,114,,,
Kingsley Eguakun,C,Florida,College Stats,4-Jun,304,,,,,,,
Tommy Eichenberg,LB,Ohio St.,College Stats,2-Jun,233,,32.5,,116,,4.24,
Jonah Elliss,EDGE,Utah,College Stats,2-Jun,248,,,,,,,
Audric Estimé,RB,Notre Dame,College Stats,11-May,221,4.71,38,23,125,,,
Josiah Ezirim,OT,Eastern Kentucky,,6-Jun,329,,,,,,,
Olumuyiwa Fashanu,OT,Penn St.,,6-Jun,312,5.11,32,,109,,,
Troy Fautanu,OT,Washington,College Stats,4-Jun,317,5.01,32.5,,113,,,
Blake Fisher,OT,Notre Dame,College Stats,6-Jun,310,5.2,28,,114,7.76,4.73,
Braden Fiske,DT,Florida St.,College Stats,4-Jun,292,4.78,33.5,26,117,,4.37,
Jeremy Flax,OT,Kentucky,College Stats,6-Jun,343,5.64,28,,100,,,
Ryan Flournoy,WR,Southeast Missouri St.,,1-Jun,202,4.44,39.5,19,132,,,
Jaylan Ford,LB,Texas,College Stats,2-Jun,240,,33.5,,121,,,
Javon Foster,OT,Missouri,College Stats,6-Jun,313,5.3,32.5,,106,,,
Troy Franklin,WR,Oregon,College Stats,2-Jun,176,4.41,39,,124,6.9,4.31,
Zach Frazier,C,West Virginia,College Stats,3-Jun,313,,,,,,,
Taliese Fuaga,OT,Oregon St.,College Stats,6-Jun,324,5.13,32,,111,,,
X'Zauvea Gadlin,G,Liberty,College Stats,3-Jun,322,5.5,24,,96,8.26,4.97,
Nicholas Gargiulo,C,South Carolina,,5-Jun,318,5.25,32.5,,101,7.33,,
Easton Gibbs,LB,Wyoming,College Stats,Jun-00,232,4.73,31.5,,109,,,
Delmar Glaze,OT,Maryland,College Stats,4-Jun,315,5.21,25.5,,104,,,
Matthew Goncalves,OT,Pittsburgh,,6-Jun,327,,,,,,,
Franklin Gore,RB,Southern Mississippi,,8-May,201,,,12,,,,
Anthony Gould,WR,Oregon St.,College Stats,8-May,174,4.39,39.5,,129,,4.16,
Tylan Grable,OT,Central Florida,College Stats,6-Jun,306,4.95,36.5,,117,,,
Cedric Gray,LB,North Carolina,College Stats,2-Jun,234,4.64,35.5,17,120,,,
Renardo Green,CB,Florida St.,College Stats,Jun-00,186,4.49,37.5,,130,,,
Garret Greenfield,OT,South Dakota St.,,6-Jun,311,5.22,38.5,,113,7.76,4.85,
Lideatrick Griffin,WR,Mississippi St.,College Stats,10-May,181,4.43,35.5,,124,7,4.35,
Isaac Guerendo,RB,Louisville,College Stats,Jun-00,221,4.33,41.5,,129,6.94,4.15,
Tyler Guyton,OT,Oklahoma,College Stats,8-Jun,322,5.19,34.5,,107,7.5,4.71,
Kamal Hadden,CB,Tennessee,College Stats,1-Jun,196,,,,,,,
Gabriel Hall,DT,Baylor,,6-Jun,291,5.03,31.5,,115,7.65,4.67,
Dominique Hampton,SAF,Washington,College Stats,2-Jun,215,4.51,39,,122,6.83,4.14,
C.J. Hanson,G,Holy Cross,,5-Jun,300,5,33.5,,115,,,
Myles Harden,CB,South Dakota,,11-May,195,4.5,35.5,13,118,6.88,3.98,
Daequan Hardy,CB,Penn St.,College Stats,9-May,179,4.38,42.5,,126,,,
Jaylen Harrell,EDGE,Michigan,College Stats,4-Jun,250,,37,,118,,,
Marcus Harris,DT,Auburn,College Stats,2-Jun,286,5.06,29.5,27,103,,,
Marvin Harrison,WR,Ohio St.,College Stats,3-Jun,209,,,,,,,
Cam Hart,CB,Notre Dame,College Stats,3-Jun,202,4.5,39.5,11,130,7.12,4.24,
Sam Hartman,QB,Notre Dame,College Stats,1-Jun,211,4.8,28.5,,109,7.19,4.34,
Christian Haynes,G,Connecticut,College Stats,3-Jun,317,5.03,33,,102,,,
LaDarius Henderson,G,Michigan,College Stats,4-Jun,309,,,,,,,
Jaden Hicks,SAF,Washington St.,College Stats,2-Jun,211,,37.5,16,122,6.88,4.37,
George Holani,RB,Boise St.,College Stats,10-May,208,4.52,39,24,127,,4.33,
Dallin Holker,TE,Colorado St.,College Stats,3-Jun,241,4.78,32.5,,122,6.83,4.21,
Ty'Ron Hopper,LB,Missouri,College Stats,2-Jun,231,,,,,,,
Jalyx Hunt,EDGE,Houston Christian University,,4-Jun,252,4.64,37.5,19,128,,,
Jontrey Hunter,LB,Georgia St.,,2-Jun,236,,32,,111,,,
Byron Murphy II,DT,Texas,College Stats,1-Jun,297,4.87,33,28,111,,,
Bucky Irving,RB,Oregon,College Stats,9-May,192,4.55,29.5,,115,,,
Adisa Isaac,EDGE,Penn St.,College Stats,4-Jun,247,4.74,34.5,,123,,,
Brennan Jackson,EDGE,Washington St.,College Stats,4-Jun,264,4.69,33.5,21,114,,,
Jha'Quan Jackson,WR,Tulane,College Stats,9-May,188,4.42,32,12,118,,,
Khyree Jackson,CB,Oregon,College Stats,4-Jun,194,4.5,36.5,,133,,,
McKinnley Jackson,DT,Texas A&M,College Stats,2-Jun,326,5.26,23,,106,,,
Curtis Jacobs,LB,Penn St.,College Stats,1-Jun,241,4.58,35,18,124,,,
DJ James,CB,Auburn,College Stats,Jun-00,175,4.42,,,,,,
Javontae Jean-Baptiste,EDGE,Notre Dame,College Stats,5-Jun,239,4.66,34.5,,127,,,
Trajan Jeffcoat,EDGE,Arkansas,College Stats,4-Jun,266,4.69,31.5,21,120,,,
Jordan Jefferson,DT,LSU,College Stats,3-Jun,313,,31,34,104,,,
Kris Jenkins,DT,Michigan,College Stats,3-Jun,299,4.91,30,29,115,,4.78,
Carlton Johnson,CB,Fresno St.,College Stats,11-May,173,,,,,,,
Cedric Johnson,EDGE,Mississippi,College Stats,3-Jun,260,4.63,38,25,122,,,
Cornelius Johnson,WR,Michigan,College Stats,3-Jun,212,4.44,37.5,,127,,,
Dillon Johnson,RB,Washington,College Stats,Jun-00,217,4.68,31.5,,117,,,
Isaiah Johnson,CB,Syracuse,College Stats,3-Jun,205,4.64,38.5,,129,,,
Theodore Johnson,TE,Penn St.,,6-Jun,259,4.57,39.5,,125,7.15,4.19,
Christian Jones,OT,Texas,College Stats,5-Jun,305,5.04,,,,8.09,4.78,
Elijah Jones,CB,Boston Col.,College Stats,2-Jun,185,4.44,42.5,,131,,,
Jarrian Jones,CB,Florida St.,College Stats,Jun-00,190,4.38,39.5,,129,,,
Matthew Jones,G,Ohio St.,College Stats,4-Jun,316,5.21,28,,103,8.19,,
Trente Jones,G,Michigan,College Stats,4-Jun,305,5.17,27,,109,7.78,4.87,
Jawhar Jordan,RB,Louisville,College Stats,10-May,193,4.56,,,,,,
Ennis Rakestraw Jr.,CB,Missouri,College Stats,11-May,183,4.51,,,120,,,
Jeremiah Trotter Jr.,LB,Clemson,College Stats,Jun-00,228,,,21,,7.13,4.4,
Michael Hall Jr.,DT,Ohio St.,College Stats,3-Jun,290,,,,,,,
Michael Penix Jr.,QB,Washington,College Stats,2-Jun,216,,,,,,,
Tyrone Tracy Jr.,RB,Purdue,College Stats,11-May,209,4.48,40,,124,6.81,4.06,
Mohamed Kamara,EDGE,Colorado St.,College Stats,1-Jun,248,4.57,34.5,23,123,,,
Joshua Karty,K,Stanford,College Stats,2-Jun,207,,,,,,,
Trevor Keegan,G,Michigan,College Stats,5-Jun,310,5.24,30.5,,107,,,
Jaylen Key,SAF,Alabama,College Stats,1-Jun,208,4.6,36.5,,130,,,
Kamren Kinchens,SAF,Miami,College Stats,11-May,203,4.65,35,,110,,,
Kalen King,CB,Penn St.,College Stats,11-May,191,4.61,37,,122,,4.16,
Jarrett Kingston,G,USC,College Stats,4-Jun,306,5.02,31.5,,111,7.53,4.47,
Marshawn Kneeland,EDGE,Western Michigan,College Stats,3-Jun,267,4.75,35.5,21,119,7.02,4.18,
Tyrice Knight,LB,Texas-El Paso,College Stats,1-Jun,233,4.63,34.5,21,119,7.25,4.4,
Trey Knox,TE,South Carolina,College Stats,3-Jun,240,,32.5,,121,7.09,4.54,
Kamari Lassiter,CB,Georgia,College Stats,Jun-00,186,,,,,6.62,4.12,
Brady Latham,G,Arkansas,College Stats,5-Jun,304,5.31,29,,110,7.57,4.47,
JC Latham,OT,Alabama,College Stats,6-Jun,342,,,,,,,
Laiatu Latu,EDGE,UCLA,College Stats,5-Jun,259,4.64,32,,116,,,
Dylan Laube,RB,New Hampshire,,10-May,206,4.54,37,23,118,6.84,4.02,
Sataoa Laumea,G,Utah,College Stats,4-Jun,319,,26,,104,,,
Devin Leary,QB,Kentucky,College Stats,1-Jun,215,,,,,,,
Logan Lee,DT,Iowa,College Stats,5-Jun,281,5.05,31.5,25,114,7.16,4.37,
Matt Lee,C,Miami,,4-Jun,301,5.03,31,,111,,,
Xavier Legette,WR,South Carolina,College Stats,1-Jun,221,4.39,40,,126,,,
Kaitori Leveston,G,Kansas St.,College Stats,4-Jun,326,5.38,27.5,,108,,4.89,
Beaux Limmer,C,Arkansas,College Stats,5-Jun,302,5.22,36.5,,110,7.47,4.57,
Cam Little,K,Arkansas,College Stats,1-Jun,172,,,,,,,
Marist Liufau,LB,Notre Dame,College Stats,2-Jun,234,4.64,,,,,,
MarShawn Lloyd,RB,USC,College Stats,9-May,220,4.46,36,25,118,,,
Zion Logue,DT,Georgia,College Stats,6-Jun,314,5.14,29,,109,,4.92,
Jordan Magee,LB,Temple,College Stats,1-Jun,228,4.55,35.5,,124,,,
Christian Mahogany,G,Boston Col.,College Stats,3-Jun,314,5.13,32.5,,109,7.81,4.53,
Drake Maye,QB,North Carolina,College Stats,4-Jun,223,,,,,,,
Luke McCaffrey,WR,Rice,College Stats,2-Jun,198,4.46,36,,121,6.7,4.02,
J.J. McCarthy,QB,Michigan,College Stats,3-Jun,219,,,,,6.82,4.23,
Jase McClellan,RB,Alabama,College Stats,10-May,221,,,20,,,,
Ladd McConkey,WR,Georgia,College Stats,Jun-00,186,4.39,36,13,124,,,
Mason McCormick,G,South Dakota St.,,4-Jun,309,5.08,35.5,,117,7.59,4.45,
Dwight McGlothern,CB,Arkansas,College Stats,2-Jun,185,4.47,32,,115,,,
Braiden McGregor,EDGE,Michigan,College Stats,5-Jun,257,,,,,,,
Kool-Aid McKinstry,CB,Alabama,College Stats,Jun-00,199,,,,,,,
Tanner McLachlan,TE,Arizona,College Stats,5-Jun,244,4.61,35,,117,,,
Dylan McMahon,C,North Carolina St.,College Stats,3-Jun,299,5.1,33,,115,7.26,4.33,
Jalen McMillan,WR,Washington,College Stats,1-Jun,197,4.47,37,,127,6.94,4.18,
Patrick McMorris,SAF,California,College Stats,Jun-00,207,,31,14,112,,,
Bub Means,WR,Pittsburgh,College Stats,1-Jun,212,4.43,39.5,19,122,,,
Max Melton,CB,Rutgers,College Stats,11-May,187,4.39,40.5,,136,,,
Harrison Mevis,K,Missouri,College Stats,Jun-00,241,,,,,,,
Joe Milton,QB,Tennessee,College Stats,5-Jun,235,,35,,121,,,
Kendall Milton,RB,Georgia,College Stats,2-Jun,225,4.62,35.5,18,124,,4.38,
Amarius Mims,OT,Georgia,College Stats,8-Jun,340,5.07,25.5,,111,,,
Adonai Mitchell,WR,Texas,College Stats,2-Jun,205,4.34,39.5,,136,,,
Quinyon Mitchell,CB,Toledo,College Stats,Jun-00,195,4.33,38,20,122,,,
Jacob Monk,C,Duke,College Stats,3-Jun,308,5.09,29.5,,108,,,
Jordan Morgan,OT,Arizona,College Stats,5-Jun,311,5.04,28,,110,,,
Darius Muasau,LB,UCLA,College Stats,Jun-00,225,4.7,36.5,,117,,,
Gabriel Murphy,EDGE,UCLA,College Stats,2-Jun,247,4.68,39.5,25,123,,,
Myles Murphy,DT,North Carolina,College Stats,4-Jun,309,5.2,28.5,,106,,4.81,
Malik Mustapha,SAF,Wake Forest,College Stats,10-May,209,,,22,,,,
Malik Nabers,WR,LSU,College Stats,Jun-00,200,,,,,,,
Jer'Zhan Newton,DT,Illinois,College Stats,2-Jun,304,,,,,,,
Josh Newton,CB,TCU,College Stats,11-May,190,4.51,34,15,124,,4.15,
Bo Nix,QB,Oregon,College Stats,2-Jun,214,,,,,,,
Maema Njongmeta,LB,Wisconsin,College Stats,Jun-00,229,4.91,,,,,4.66,
Hunter Nourzad,C,Penn St.,College Stats,3-Jun,317,,,,,,,
Tyler Nubin,SAF,Minnesota,College Stats,1-Jun,199,,,,,,,
Drake Nugent,C,Michigan,College Stats,2-Jun,298,5.23,29.5,,101,7.33,4.5,
Rome Odunze,WR,Washington,College Stats,3-Jun,212,4.45,39,,124,6.88,4.03,
Eyabi Okie-Anoma,EDGE,Charlotte,,5-Jun,260,,,,,,,
Olakitan Oladapo,SAF,Oregon St.,,2-Jun,216,4.58,36,15,117,,,
Ruke Orhorhoro,DT,Clemson,College Stats,4-Jun,294,4.89,32,29,116,,,
Tyler Owens,SAF,Texas Tech,College Stats,2-Jun,216,,41,,146,,,
Patrick Paul,OT,Houston,College Stats,8-Jun,331,5.13,29,,,7.65,,
Julian Pearl,OT,Illinois,College Stats,6-Jun,312,,,,,,,
Ricky Pearsall,WR,Florida,College Stats,1-Jun,189,4.41,42,17,129,6.64,4.05,
Andru Phillips,CB,Kentucky,College Stats,11-May,190,4.48,42,,135,,,
Prince Pines,G,Tulane,College Stats,5-Jun,322,5.34,30,,,,,
Ja'Lynn Polk,WR,Washington,College Stats,1-Jun,203,4.52,37.5,,129,,,
Jackson Powers-Johnson,C,Oregon,College Stats,3-Jun,328,,32,,104,,,
Sedrick Van Pran-Granger,C,Georgia,,4-Jun,298,5.2,,,,7.46,4.82,
Michael Pratt,QB,Tulane,College Stats,3-Jun,217,,36,,114,7.2,4.23,
Deantre Prince,CB,Mississippi,College Stats,Jun-00,183,4.38,34.5,,125,,,
Nehemiah Pritchett,CB,Auburn,College Stats,Jun-00,190,4.36,34.5,,,,,
Josh Proctor,SAF,Ohio St.,College Stats,2-Jun,199,4.55,32.5,,121,,,
Dominick Puni,G,Kansas,College Stats,5-Jun,313,5.35,30,,107,7.47,4.4,
Keith Randolph,DT,Illinois,College Stats,4-Jun,296,5.15,28.5,,105,,,
Spencer Rattler,QB,South Carolina,College Stats,Jun-00,211,4.95,32,,108,7.21,4.37,
Andrew Raym,C,Oklahoma,College Stats,4-Jun,314,5.42,24.5,,95,,,
Austin Reed,QB,Western Kentucky,College Stats,2-Jun,220,4.82,,,,,,
Ryan Rehkow,P,BYU,College Stats,4-Jun,235,,,,,,,
Will Reichard,K,Alabama,College Stats,1-Jun,187,,,,,,,
Tip Reiman,TE,Illinois,College Stats,5-Jun,271,4.64,33.5,28,121,7.02,4.26,
Brenden Rice,WR,USC,College Stats,2-Jun,208,4.5,36.5,13,119,,,
Decamerion Richardson,CB,Mississippi St.,College Stats,2-Jun,188,4.34,35,,128,,,
Demani Richardson,SAF,Texas A&M,College Stats,1-Jun,210,4.6,31,,116,,,
Chop Robinson,EDGE,Penn St.,,3-Jun,254,4.48,34.5,,128,,4.25,
Darius Robinson,DE,Missouri,College Stats,5-Jun,285,4.95,35,21,111,,,
Keilan Robinson,RB,Texas,College Stats,8-May,191,4.42,33,,125,,,
Layden Robinson,G,Texas A&M,College Stats,4-Jun,302,,26.5,,111,,,
Tayvion Robinson,WR,Kentucky,College Stats,11-May,191,,,,,,,
Justin Rogers,DT,Auburn,College Stats,3-Jun,330,,24.5,21,99,,4.87,
Christian Roland-Wallace,CB,USC,College Stats,Jun-00,201,,,17,,,,
Marcus Rosemy-Jacksaint,WR,Georgia,College Stats,1-Jun,195,,35,,119,,,
Roger Rosengarten,OT,Washington,College Stats,5-Jun,308,4.92,30,,113,,4.6,
Walter Rouse,OT,Oklahoma,College Stats,6-Jun,313,,,,,,,
Mike Sainristil,CB,Michigan,College Stats,9-May,182,4.47,40,14,131,6.99,4.01,
Andre' Sam,SAF,LSU,,11-May,191,4.59,36,,123,,,
Nick Samac,C,Michigan St.,College Stats,4-Jun,307,,,,,,,
Ja'Tavion Sanders,TE,Texas,College Stats,4-Jun,245,4.69,,,,,4.32,
Cody Schrader,RB,Missouri,College Stats,9-May,202,4.61,33,,,,,
Will Shipley,RB,Clemson,College Stats,11-May,206,,,,,,,
Jaden Shirden,RB,Monmouth,,8-May,187,4.45,34.5,,117,,,
Jaylin Simpson,SAF,Auburn,College Stats,Jun-00,179,4.45,39.5,,133,,,
Ben Sinnott,TE,Kansas St.,College Stats,4-Jun,250,4.68,40,,126,6.82,4.23,
Kedon Slovis,QB,BYU,College Stats,3-Jun,223,4.55,30,,118,,,
Ainias Smith,WR,Texas A&M,College Stats,9-May,190,,,21,,,,
Maason Smith,DT,LSU,College Stats,5-Jun,306,5.01,31,,108,7.62,4.69,
Tykee Smith,SAF,Georgia,College Stats,10-May,202,4.46,36,,120,,,
Chau Smith-Wade,CB,Washington St.,College Stats,10-May,184,4.54,34.5,18,125,7.05,4.32,
Javon Solomon,EDGE,Troy,College Stats,1-Jun,246,4.72,37,23,119,,,
Brevyn Spann-Ford,TE,Minnesota,College Stats,7-Jun,260,4.77,31.5,,116,7.38,,
Fabien Lovett Sr.,DT,Florida St.,,4-Jun,314,,,,,,,
Tarheeb Still,CB,Maryland,College Stats,Jun-00,189,4.52,38,,120,,,
Cade Stover,TE,Ohio St.,College Stats,4-Jun,247,4.65,34.5,,117,,4.45,
Kingsley Suamataia,OT,BYU,College Stats,5-Jun,326,5.04,28,,110,,,
Jalen Sundell,C,North Dakota St.,,5-Jun,301,,,,,,,
T'Vondre Sweat,DT,Texas,College Stats,5-Jun,366,5.27,26,,98,,,
Marques Tampa,CB,Iowa St.,,1-Jun,189,,,,,,,
Leonard Taylor,DT,Miami,College Stats,4-Jun,303,5.12,30,,109,7.81,,
Tory Taylor,P,Iowa,College Stats,4-Jun,223,,,,,,,
Dadrion Taylor-Demerson,SAF,Texas Tech,College Stats,10-May,197,4.41,38,,123,,,
Brian Thomas,WR,LSU,College Stats,3-Jun,209,4.33,38.5,11,126,,,
Nathan Thomas,OT,Louisiana,,5-Jun,332,5.19,25,,107,8.01,,
Xavier Thomas,EDGE,Clemson,College Stats,2-Jun,244,4.62,32.5,26,120,,,
Jamari Thrash,WR,Louisville,College Stats,Jun-00,188,4.46,34,,120,7.16,,
Ro Torrence,CB,Arizona St.,College Stats,3-Jun,208,,,,,,,
Jordan Travis,QB,Florida St.,College Stats,1-Jun,200,,,,,,,
Bralen Trice,EDGE,Washington,College Stats,4-Jun,245,4.72,,,,,,
Zion Tupuola-Fetui,EDGE,Washington,College Stats,3-Jun,244,,,,,,,
Charles Turner,C,LSU,College Stats,4-Jun,303,,31,,109,7.88,4.62,
Dallas Turner,EDGE,Alabama,College Stats,3-Jun,247,4.46,40.5,,127,,,
David Ugwoegbu,EDGE,Houston,College Stats,4-Jun,250,,31.5,21,,,,
Edefuan Ulofoshio,LB,Washington,College Stats,1-Jun,236,4.56,39.5,,128,,,
Sione Vaki,SAF,Utah,College Stats,11-May,210,4.62,39.5,20,125,,,
Devaughn Vele,WR,Utah,College Stats,4-Jun,203,4.47,36,,126,,,
Jared Verse,EDGE,Florida St.,College Stats,4-Jun,254,4.58,35,31,127,7.31,4.44,
Kimani Vidal,RB,Troy,College Stats,8-May,213,4.46,37.5,18,120,7.01,4.15,
Devontez Walker,WR,North Carolina,College Stats,2-Jun,193,4.36,40.5,,134,,,
Caedan Wallace,OT,Penn St.,College Stats,5-Jun,314,5.15,31,,116,,,
Josh Wallace,CB,Michigan,College Stats,11-May,185,,34.5,13,120,,4.35,
Trevin Wallace,LB,Kentucky,College Stats,1-Jun,237,4.51,37.5,,127,,,
Malik Washington,WR,Virginia,College Stats,9-May,191,4.47,42.5,19,126,,,
Tahj Washington,WR,USC,College Stats,10-May,174,,35,,122,,,
Nathaniel Watson,LB,Mississippi St.,College Stats,2-Jun,233,4.63,31,,111,,,
Eric Watts,DE,Connecticut,College Stats,6-Jun,274,4.67,36.5,21,117,7.59,4.73,
Ryan Watts,CB,Texas,College Stats,3-Jun,208,4.53,40.5,,125,6.82,4.13,
Xavier Weaver,WR,Colorado,College Stats,Jun-00,169,,,,,,,
Jack Westover,TE,Washington,College Stats,3-Jun,243,,,,,,,
Jordan Whittington,WR,Texas,College Stats,1-Jun,205,,,18,,,,
Nate Wiggins,CB,Clemson,College Stats,1-Jun,173,4.28,36,,127,,,
Jared Wiley,TE,TCU,College Stats,6-Jun,249,4.62,37,,118,7.19,,
Michael Wiley,RB,Arizona,College Stats,11-May,210,4.51,33.5,,119,,4.43,
Caleb Williams,QB,USC,College Stats,1-Jun,214,,,,,,,
Evan Williams,SAF,Oregon,College Stats,11-May,200,4.6,40.5,,126,,,
Isaiah Williams,WR,Illinois,College Stats,9-May,182,4.63,38,17,123,6.75,,
James Williams,SAF,Miami,College Stats,4-Jun,231,4.65,30,,117,,,
Miyan Williams,RB,Ohio St.,College Stats,9-May,229,,,,,,,
Johnny Wilson,WR,Florida St.,College Stats,6-Jun,231,4.52,37,,128,,4.11,
Payton Wilson,LB,North Carolina St.,College Stats,4-Jun,233,4.43,34.5,,119,,,
Roman Wilson,WR,Michigan,College Stats,11-May,185,4.39,,12,,,,
Mekhi Wingo,DT,LSU,College Stats,Jun-00,284,4.85,31.5,25,109,,,
Xavier Worthy,WR,Texas,College Stats,11-May,165,4.21,41,,131,,,
Jaylen Wright,RB,Tennessee,College Stats,11-May,210,4.38,38,,134,,,
Zak Zinter,G,Michigan,College Stats,6-Jun,309,,,,,,,
