Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Blake Fisher,OT,Notre Dame,College Stats,6-6,310,5.20,28.0,,114,7.76,4.73,
Braden Fiske,DT,Florida St.,College Stats,6-4,292,4.78,33.5,26,117,,4.37,
Jeremy Flax,OT,Kentucky,College Stats,6-6,343,5.64,28.0,,100,,,
Ryan Flournoy,WR,Southeast Missouri St.,,6-1,202,4.44,39.5,19,132,,,
Jaylan Ford,LB,Texas,College Stats,6-2,240,,33.5,,121,,,
Javon Foster,OT,Missouri,College Stats,6-6,313,5.30,32.5,,106,,,
Troy Franklin,WR,Oregon,College Stats,6-2,176,4.41,39.0,,124,6.90,4.31,
Zach Frazier,C,West Virginia,College Stats,6-3,313,,,,,,,
Taliese Fuaga,OT,Oregon St.,College Stats,6-6,324,5.13,32.0,,111,,,
X'Zauvea Gadlin,G,Liberty,College Stats,6-3,322,5.50,24.0,,96,8.26,4.97,
Nicholas Gargiulo,C,South Carolina,,6-5,318,5.25,32.5,,101,7.33,,
Easton Gibbs,LB,Wyoming,College Stats,6-0,232,4.73,31.5,,109,,,
Delmar Glaze,OT,Maryland,College Stats,6-4,315,5.21,25.5,,104,,,
Matthew Goncalves,OT,Pittsburgh,,6-6,327,,,,,,,
Franklin Gore,RB,Southern Mississippi,,5-8,201,,,12,,,,
Anthony Gould,WR,Oregon St.,College Stats,5-8,174,4.39,39.5,,129,,4.16,
Tylan Grable,OT,Central Florida,College Stats,6-6,306,4.95,36.5,,117,,,
Cedric Gray,LB,North Carolina,College Stats,6-2,234,4.64,35.5,17,120,,,
Renardo Green,CB,Florida St.,College Stats,6-0,186,4.49,37.5,,130,,,
Garret Greenfield,OT,South Dakota St.,,6-6,311,5.22,38.5,,113,7.76,4.85,
Lideatrick Griffin,WR,Mississippi St.,College Stats,5-10,181,4.43,35.5,,124,7.00,4.35,
Isaac Guerendo,RB,Louisville,College Stats,6-0,221,4.33,41.5,,129,6.94,4.15,
Tyler Guyton,OT,Oklahoma,College Stats,6-8,322,5.19,34.5,,107,7.50,4.71,
Kamal Hadden,CB,Tennessee,College Stats,6-1,196,,,,,,,
Gabriel Hall,DT,Baylor,,6-6,291,5.03,31.5,,115,7.65,4.67,
Dominique Hampton,SAF,Washington,College Stats,6-2,215,4.51,39.0,,122,6.83,4.14,
C.J. Hanson,G,Holy Cross,,6-5,300,5.00,33.5,,115,,,
Myles Harden,CB,South Dakota,,5-11,195,4.50,35.5,13,118,6.88,3.98,
Daequan Hardy,CB,Penn St.,College Stats,5-9,179,4.38,42.5,,126,,,
Jaylen Harrell,EDGE,Michigan,College Stats,6-4,250,,37.0,,118,,,
Marcus Harris,DT,Auburn,College Stats,6-2,286,5.06,29.5,27,103,,,
Marvin Harrison,WR,Ohio St.,College Stats,6-3,209,,,,,,,
Cam Hart,CB,Notre Dame,College Stats,6-3,202,4.50,39.5,11,130,7.12,4.24,
Sam Hartman,QB,Notre Dame,College Stats,6-1,211,4.80,28.5,,109,7.19,4.34,
Christian Haynes,G,Connecticut,College Stats,6-3,317,5.03,33.0,,102,,,
LaDarius Henderson,G,Michigan,College Stats,6-4,309,,,,,,,
Jaden Hicks,SAF,Washington St.,College Stats,6-2,211,,37.5,16,122,6.88,4.37,
George Holani,RB,Boise St.,College Stats,5-10,208,4.52,39.0,24,127,,4.33,
Dallin Holker,TE,Colorado St.,College Stats,6-3,241,4.78,32.5,,122,6.83,4.21,
Ty'Ron Hopper,LB,Missouri,College Stats,6-2,231,,,,,,,
Jalyx Hunt,EDGE,Houston Christian University,,6-4,252,4.64,37.5,19,128,,,
Jontrey Hunter,LB,Georgia St.,,6-2,236,,32.0,,111,,,
Byron Murphy II,DT,Texas,College Stats,6-1,297,4.87,33.0,28,111,,,
Bucky Irving,RB,Oregon,College Stats,5-9,192,4.55,29.5,,115,,,
Adisa Isaac,EDGE,Penn St.,College Stats,6-4,247,4.74,34.5,,123,,,
Brennan Jackson,EDGE,Washington St.,College Stats,6-4,264,4.69,33.5,21,114,,,
Jha'Quan Jackson,WR,Tulane,College Stats,5-9,188,4.42,32.0,12,118,,,
Khyree Jackson,CB,Oregon,College Stats,6-4,194,4.50,36.5,,133,,,
McKinnley Jackson,DT,Texas A&M,College Stats,6-2,326,5.26,23.0,,106,,,
Curtis Jacobs,LB,Penn St.,College Stats,6-1,241,4.58,35.0,18,124,,,
DJ James,CB,Auburn,College Stats,6-0,175,4.42,,,,,,
Javontae Jean-Baptiste,EDGE,Notre Dame,College Stats,6-5,239,4.66,34.5,,127,,,
Trajan Jeffcoat,EDGE,Arkansas,College Stats,6-4,266,4.69,31.5,21,120,,,
Jordan Jefferson,DT,LSU,College Stats,6-3,313,,31.0,34,104,,,
Kris Jenkins,DT,Michigan,College Stats,6-3,299,4.91,30.0,29,115,,4.78,
Carlton Johnson,CB,Fresno St.,College Stats,5-11,173,,,,,,,
Cedric Johnson,EDGE,Mississippi,College Stats,6-3,260,4.63,38.0,25,122,,,
Cornelius Johnson,WR,Michigan,College Stats,6-3,212,4.44,37.5,,127,,,
Dillon Johnson,RB,Washington,College Stats,6-0,217,4.68,31.5,,117,,,
Isaiah Johnson,CB,Syracuse,College Stats,6-3,205,4.64,38.5,,129,,,
